台湾地区十五岁以上人口婚姻状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶、同居,,,    离婚、分居,,,    丧偶,,
  年龄别,,,,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女
总计,"1 2,1 96,806","  6,402,146","  5,794,660","  4,354,275",2636278,"  1,71 7,997","    7,1 03,383","3,524,352","3,5 79,031","  1 62,212",90036,"  72,1 76","  576,936","  1 51,480"," 425,456"
15～1 9岁,"    2,044,604","  1,048,418","    996,1 86","  1,982,468","  1,039,342","    943,1 26","    61,378","    8,971",52407,    605,    73,    532,    1 53,    32,    1 21
20～24岁,"    1,963,1 66","    998,246","    964,920","  1,437,1 49","    872,371","    564,778","    518,597","  124,281","  3 94,316","    6,024","    1,385","    4,6 39","    1,396",    209,"    1,1 87"
25～29岁,"    1,764,729","    9 05,536","    8 59,1 93","    5 06,296","    357,419","    1 48,877","    1,235,538",  541，093,"  694,445","    1 8,1 95","    6,2 21"," 11,974","    4,700",    803,"    3,897"
30～34岁,"    1,1 78,753","    608,247","    570,506","    108,255","    75,835","    32,420","    1,042,283","  522,195","  520,088","    20,653","    8,896"," 11,7 57","    7,5 62","    1,321","    6,241"
35～39岁,"    900,410","    463,298","    437,112","    38,5 53",29505,"    9,048","    833,126","  423,050","  410,076","    17,1 81","    8,472","    8,709","  11,5 50","    2,271","    9,279"
40～44岁,"    880,622","    448,575","    432,047","    28,022","    22,723","    5,299","    814,362","  412,255","  402,107","    17,170","    8,723","    8,447","  21,068","    4,874","    1 6,1 94"
45～49岁,"    809,861","    434,248","    375,61 3","    31,651","    28,2 72","    3,379","    728,1 91","  387,1 8 5","  341,006","    16,631","    9,535","    7,096","  33,388","    9,2 56","    24,1 32"
50～54岁,"    808,413","    481,707","    326,706","    69,498","    66,680","    2,818","    6 67,615","  387,633","  279,982","    18,490","  12,1 71","    6,319","  52,810","    1 5,2 23","    37,587"
55～59岁,"    649,765","    384,1 45","    265,620","    69,275","    66,681","    2,594","    491,364","  286,202","  205,1 62","    1 6,518","  11,648","    4,870","  72,60 8","    19,614","    52,994"
60～64岁,"    4 71,380","    267,452","    203,928","    41,388","    39,331","    2,05 7","    327,645","  194,321","  133,324","    12,881","    9,377","    3,504","  89,466","    24,423","    65,043"
65～69岁,"    3 70,613","    202,218","    1 68,395","    27,617","    25,806","    1,811","    229,945","  1 40,761","    89,184","    10,605","    8,060","    2,545","  1 02,44 6","    27,591","    74,855"
70～74岁,"    1 83,187","    88,518","    94,669","    8,822","    7,956",    86 6,94957,"    58,056","    36,901","    4,397","    3,364","    1,033","  75,011","    19,142","    55,869"
75～79岁,"    1 02,419","    45,862","    56,5 57","    3,761","    3,1 90",    5 71,"    41,109","    26,868","    14,241","    1,965","    1,484",    481,"  55,584","    14,320","    41,264"
80岁及80岁,"    68,884","    25,676","    43,208",    1，5 20,    1，1 67,    353,"    17,273","    11,481","    5,792",    897,    6 27,    270,"  49,1 94","    1 2,401","    36,793"
以上,,,,,,,,,,,,,,,
