,,,
香港地区人口年龄状况,,,
    单位：人,,,
,,,
,,,
    年龄别,  合计,    男,    女
总计,"    4,986,560","    2,604,1 68","    2,382,392"
0—4岁,"    388,6 83","    202,950","    1 85,733"
  0,"    81,244","    42,683","    38,5 61"
  1,"    79,829","    41,71 8","    38,111"
  2,"    75,116","    39,1 08","    36,008"
  3,"    75,271","    39,123","    36,148"
  4,"    77,223","    40,318","    36,905"
5—9岁,"    408,890","    21 2,353","    1 96,5 37"
  5,"    77,809","    40,792","    37,017"
  6,"    82,308","    42,685","    39,623"
  7,"    82,283","    42,603","    39,6 80"
  8,"    84,018","    43,415","    40,6 03"
  9,"    82,472","    42,858","    39,614"
,,,
注：表内数字是香港当局1981年人口普查的数字(以下各表同)。,,,
,,,
,,,
,,,
    单位：人,,,
,,,
    年龄别,  合计,    男,    女
(续),,,
10—14岁,"    439,934","    227,062","    212,872"
  10,"        83,771","    43,385","    40,386"
  11,"    83,245","    42,918","    40,327"
  1 2,"    87,810","    45,245","    42,5 65"
  1 3,    91，411,"    47,111","    44,300"
  14,"    93,6 97","    48,403","    45,294"
1 5—19岁,"    563,925","    292,604","    271,321"
  15,"    1 01,540","    51,892","    49,648"
  16,"    110,452","    56,997",53455
  17,"    116,974","    60,5 41","    56,433"
  1 8,"    1 20,975","    63,5 27","    57,448"
  1 9,"    113,984","    59,647",54337
20—24岁,"    583,832","    307,600","    276,232"
  20,"    122,523","    64,211","    58,312"
  21,"    115,117",    60，207,"    54,910"
  22,"    119,683",63143,"    56,540"
  23,"    114,6 96","    60,693","    54,003"
  24,"    111,813","    59,346","    52,467"
25—29岁,"    483,126","    258,905","    224,221"
  25,"    105,5 56","    56,361","    49,195"
  26,"    99,2 21","    53,133","    46,088"
  27,"    94,840","    50,534","    44,306"
  28,"    93,753","    50,331","    43,422"
  29,"    89,756","    48,546","    41,210"
30—34岁,"    399,069","    219,2 53","    1 79,816"
  30,"    93,797","    51,453","    42,344"
  31,"    87,636","    48,349","    39,287"
  32,"    80,752","    44,2 23","    36,529"
  33,"    72,897","    39,822","    33,075"
  34,"    63,987","    35,406","    28,5 81"
35—39岁,"    232,878","    1 32,307","    100,571"
  35,"    52,259","    29,074","    23,185"
  36,"    48,914","    27,466",    21，448
  37,"    44,046","    25,356","    18,690"
  38,"    44,017","    25,466","    18,5 51"
  39,"    43,642","    24,945","    18,6 97"
,,,
,,,
,,,
香港地区人口年龄状况(续2),,,
    单位：人,,,
,,,
    年龄别,  合计,    男,    女
(续),,,
40—44岁,"    250,509","    1 40,808","    1 09,701"
  40,"    51,1 69","    29,482","    21,6 87"
  41,"    46,900","    26,607","    20,293"
  42,"    50,934","    28,5 02","    22,432"
  43,"    50,738","    28,344","    22,394"
  44,"    50,768","    27,873","    22,895"
45—49岁,"    260,548","    1 41,225","    119,323"
  45,"    52,362","    28,6 62","    23,700"
  46,"    48,2 59","    25,91 6","    22,343"
  47,"    53,927","    29,775","    24,1 52"
  48,"    54,367",    29 1 87,"    25,180"
  49,"    51,6 33","    27,685","    23,948"
50—54岁,"    256,11 8","    1 36,307","    119,811"
  50,"    60,013","    32,397","    27,616"
  51,"    49,2 35","    26,503","    22,732"
  52,"    50,601","    26,900","    23,701"
  53,"    48,597","    25,6 44","    22,953"
  54,"    47,672","    24,863","    22,809"
55—59岁,"    212,030","    1 09,476","    1 02,554"
  55,"    47,1 72","    24,889","    22,283"
  56,"    43,316","    22,561","    20,755"
  57,"    39,230","    19,856","    19,374"
  58,"    41,341","    21,1 73","    20,1 68"
  59,"    40,971","    20,9 97","    19,974"
60—64岁,"    1 80,209","    90,725","    89,484"
  60,"    45,065","    23,1 07","    21,958"
  61,"    36,361","    18,758","    17,6 03"
  62,"    33,748","    16,862","    16,886"
  63,"    33,148","    16,409","    16,739"
  64,"    31,887","    15,589","    16,2 98"
65—69岁,"    138,011","    65,530","    72,481"
  65,"    31,341","    15,312","    16,029"
