香港地区十五岁以上人口婚姻状况,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
          已,    合计,,,    未婚,,,    已婚,,,    丧偶,,,  离婚或分居,,
  年龄别,,,,,,,,,,,,,,,
,小计,    男,    女,小计,    男,    女,    小计,    男,    女,小计,  男,  女,小计,  男,  女
总计,"3,749,053"," 1,961,803"," 1,787,250"," 1,430,467",848037,582430,"    2,061,359","1,059,856","1,001,503",232966,"  41,492","191,474"," 24,261","2,418",11843
15—19岁,"  563,925","    292,6 04","  271,321","  550,951","  2 88,843","  262,108","    1 2,775","    3,6 85","    9,090",    11 3,    44,    69,    86,    32,    54
20—24岁,"  583,832","    307,6 00","  2 76,232","  4 71,955","  2 74,992","  1 96,963","    11 0,5 95","    32,136","    78,459",    359,    1 03,    256,    923,  369,  554
25—29岁,"  483,1 26","    258,905","  2 24,2 21","  216,851","  148,8 63","  67,988","    263,149","    108,6 07","    1 54,542",    8 52,    289,    563,"    2,2 74",  1，146, 1，1 28
30-34岁,"  399,069","    219,2 53","  1 79,816","    79,779","  59,962","  19,81 7","    314,6 73","    1 57,323","    1 57,350","    1,5 83",    373,"    1,210","    3,034","  1,5 95"," 1,439"
35—39岁,232878,"    132,307","  1 00,5 71","    24,6 05","  20,0 96","    4,509","    203,910","    110,506","    93,404","    2,1 98",    529,"    1,6 69","    2,1 65",  1，1 76,  989
40-44岁,"  2 50,5 09","    140,808","  1 09,701","    1 9,6 88",16736,"    2,952","    223,106","    1 21,037","  1 02,069","    4,858",    1，2 33,"    3,6 25","    2,857","  1,802"," 1,055"
45—49岁,"  2 60,5 48","    141,2 25","  119,323","    15,744","  13,037","    2,707","    231,843","    1 24,302","  1 07,5 41","    9,918","    2,182","    7,736","    3,043","  1,704"," 1,33 9"
50—54岁,"  2 56,118","    136,307","  119,811","    1 3,1 81","  1 0,1 03","    3,078",220614,"    1 20,418","  100,196","    19,2 8 2","    4,1 29","    15,1 5 3","    3,041","  1,6 57", 1，384
55—59岁,"  212,030","    1 09,476","  1 02,554","    10,147","    6,366","    3,781",173646,"    96,884","    76,762","    25,941","    4,972",20969,"    2,2 96","  1,2 54",1042
60—64岁,"  1 80,2 09","    90,725","    89,484","    9,1 21","    4,31 2","    4,809","    134,235","    79,015","    55,2 20","    35,1 64","    6,708","    28,456","    1,689",  690,  99 9
65岁及65岁以上,"  326,809","  132,593","    1 94,216","    1 8,445","    4,727","    13,71 8","    172,813","    1 05,943",66870,132698," 20,930"," 111,768","    2,853",  993,"  1,860"
