香港地区十五岁以上已婚妇女生育子女数,,,,,,,,
,,,,,,,,
    单位：人,,,,,,,,
,,,,,,,,
,,    每个已婚妇女活产子女数,,,,,,
  年龄别,合计,,,,,,,
,,  0人,  1人,  2人,  3人,  4人,  5人,6人及
,,,,,,,,6人以上
总计,"1,204,820","  1 26,287","  21 9,440","  258,226"," 1 90,884","  1 44,1 75","  1 01,344","  1 64,464"
15—19岁,"    9,213","    5,032","    3,474",    592,    79,    36,       -,    -
20—24岁,"    79,2 69","    28,524","    33,1 25",14097,"    2,739",    551,    1 55,    78
25—29岁,"  1 56,2 33","    30,482","    52,812","    48,886","    17,333","    4,801","    1,398",    521
30—34岁,"  1 59,999","    13,2 62","    29,6 97","    56,613","    36,7 28","    15,932","    5,2 03","    2,5 64"
35—39岁,"    96,062","    4,863","    10,1 64","    25,899",24927,"    16,460","    7,874","    5,875"
40—44岁,"  1 06,749","    4,515","    8,149","    20,979","    24,040","    20,828","    13,790","    14,448"
45—49岁,"  116,616","    4,438","    8,639","    15,1 09","    19,499","    22,6 56",18522,"    27,753"
50—54岁,"  116,733","    5,426",10727,"    13,620",15251,"    18,143",17702,"    35,864"
55—59岁,"    98,773","    6,2 30","    12,1 75","    12,934","    1 2,044","    13,0 67",12731,"    29,592"
60—64岁,"    84,675","    6,473","    13,501","    13,1 50","    11,240","    1 0,898","    9,389","  20,024"
65岁及65岁,"  180,498","    17,042","    36,977","    36,347",27004,"    20,803",14580,"    27,745"
以上,,,,,,,,
