香港地区就业人口的行业与职业状况,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,制造业(纺织,,  电力、煤气,,批发和零售、,运输、贮藏,财政管理业、,,不便分类
    职业别,总计,农业和渔业,采矿业,,其它制造业,  和自来水,  建筑,商业、餐馆和,,保险业、房地,,
,,,,品和服装),,,,,和通讯,产业及商业服,公共事业,
,,,,,,,,,,,,的行业
,,,,,,  供应,,旅店,,务业,,
总计,2486736,"    48,273","    1,644","    41 7,058","    607,951",14932,"  197,490","    476,098","  1 89,205","  11 7,288","  382,350","    34,447"
专业技术人员,"    145,738",    6,    56,"    1,715","  14,597","    2,185","  11,918","    4,933","    5,341","    13,885","    88,648",    2，454
行政管理人员,"    64,574",    25,    72,"    7,276","  14,798",    306,"    2,550","    17,265","    5,099","    11,991","    4,6 56",    536
办事员及有关工作人员,"    299,055",    45,    1 69,"    21,052","  38,453","    2,411","    7,084","    69,098","    32,345","    71,1 60","    55,155","    2,083"
商业销售人员,"    254,986",-,-,"    6,111","  22,705",    1 77,    906,"  206,378","  1,887","    10,918","  2,733","    3,171"
服务人员,"    387,462",    102,    109,"    26,559","  24,023",    1，063,"    8,6 25","  136,707","  11,841","    6,798","  1 67,314","    4,321"
农业和渔业生产人员,"    52,050","  47,559",-,    52,    200,    28,-,    240,    18,    15,"  2,924","    1,014"
生产人员和有关工作人,,,,,,,,,,,,
  员以及运输设备操作,1264217,    467,"    1,228","  353,261","    490,5 50","    8,599"," 1 65,741","    40,137"," 132,285","    2,150","  52,847","  16,952"
  人员和工人,,,,,,,,,,,,
军人和不便分类的人员,"    18,654",    69,    10,    1，032,"    2,625",    1 63,    666,"    1,340",    389,    371,"  8,073","    3,916"
