10.1982年各种文化程度人口,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,  不识字或识字很少,
,,,  大学肄业,,,,    地区别,  初中,  小学,,
    地区别,  合计,  大学毕业,,  高中,,,,,,  合计,其中：
,,,  或在校,,,,,,,(6周岁以上),12周岁以上
29个省、市、区合计,"  889,81 6,11 4","  4,41 4,495","    1,602,474","  66,478,028",,,29个省、市、区合计,"  1 78,277,1 40","  355,1 60,310","  283,883,667",235820002
  北京市,"    8,472,7 69","    330,308","    119,020","    1,628,336",,,  北京市,"    2,684,962","    2,41 7,372","    1,2 92,771","    1,1 47,2 35"
  天津市,"    7,055,908","    123,1 36","    54,1 45","    1,033,010",,,  天津市,"    2,214,307","    2,390,627","    1，2 40,683","    1，080,907"
  河北省,"    46,852，1 70","    1 82,952","    49,447","    3,990,1 96",,,  河北省,"    10,2 08,3 81","    19,2 87,1 30",13134064,"  11,845,252"
  山西省,"    22,447,748","    109,980","    40,1 56","    1,881,791",,,  山西省,"    5,526,531","    9,821，903","    5,067,387","    4,547,680"
  内蒙古自治区,"    16,904,571","    83,334","    26,4 67","    1,436,096",,,  内蒙古自治区,"    3,720,883","    6,314,4 75","    5,323,316","    4,318,1 25"
  辽宁省,"    32,018,979","    261,645","    101,791","    3,337,718",,,  辽宁省,"    9,866,637","    1 2,735,1 34","    5,716,054","    4,622,734"
  吉林省,"    20,001,547","    144,921","    52,960",2428969,,,  吉林省,"    4,709,218","    8,118,746","    4,546,7 33","    3,6 62,7 01"
  黑龙江省,"    28,7 83,028","    1 68,838","    54,910","    3,063,459",,,  黑龙江省,"    7,2 47,6 61","  11,607,545","    6,640,615","    5,2 48,712"
  上海市,"    10,948,545","    285,989","    125,374","    2,412,809",,,  上海市,"    3,325,303","    2,989,1 51","    1,809,919","    1,700,026"
  江苏省,"    54,653,696","    280,504","    104,643","    4,2 22,2 70",,,  江苏省,"    1 2，1 35,498","    19,732,951","    18,1 77,830","    16,480,2 64"
  浙江省,"    34,982,929","    1 26,914","    54,607","    2,019,524",,,  浙江省,"    6,915,644","    15,310,873","    10,555,367","    9,399,568"
  安徽省,"    43,914,1 88","    146,1 27","    56,028","    1,972,954",,,  安徽省,"    7,073,442","    14,753,600","    19,912,037","    16,586,352"
  福建省,"    22,4 81,2 32","    1 23,393","    33,301","    1,477,7 07",,,  福建省,"    3,2 62,343","    9,397,071",8187411,"    6,803,038"
  江西省,"    28,552,8 81","    114,426","    43,4 21","    1，825,110",,,  江西省,"    4,399,740","    12,805,737","    9,364,447","    7,2 96,508"
  山东省,"    66,769,674","    189,085","    73,486","    4,376,519",,,  山东省,"    13,1 71,751","    25,1 03,593","    23,855,2 4 0","    20,863,2 31"
  河南省,"    65,613,7 50","    1 81,598","    62,348","    4,694,318",,,  河南省,"    14,2 81,442","    23,1 92,882","    23,2 01,1 62","    20,0 35,045"
  湖北省,"    42,473,026","    210,9 67","    88,824","    3,592,953",,,  湖北省,"    8,944,551","    1 7,034,424","    12,6 01,307","    11，1 46,083"
  湖南省,"    48,1 02,462","    177,908","    68,355","    3,536,385",,,  湖南省,"    9,3 29,715","    23,2 35,789","    11，754,310","    9,506,313"
  广东省,"    51,760,694","    212,729","    69,7 66","    4,694,941",,,  广东省,"    10,024,533","    24,086,2 32","    1 2,6 72,4 93","    9,747,633"
  广西壮族自治区,"    31,1 47,987","    103,098","    29,233","    2,378,668",,,  广西壮族自治区,"    5,727,533","    14,1 39,619","    8,769,836","    6,2 70,393"
  四川省,"    90,931,051","    309,965","    116,972","    3,955,902",,,  四川省,"    15,423,474","    41,330,996","    29,793,7 42","    23,315,427"
  贵州省,"    24,464,706","    86,833","    23,559","    845,724",,,  贵州省,"    3,2 59,6 08","    8,216,01 9","    12,032,963","    9,1 65,7 23"
  云南省,"    27,835，1 65","    80,589","    27,2 77","    908,980",,,  云南省,"    3,328,392","    9,539,974","    13,949,953","    10,979,2 81"
  西藏自治区,"    1,612,747","    6,968","    1,038","    22,960",,,  西藏自治区,"    68,364","    311,5 83","    1,2 01,834","    980,1 32"
  陕西省,"    25,7 70,866","    180,023","    69,500","    2,2 69,669",,,  陕西省,"    5,5 99,602","    9,440,1 01",    8，211，9 71,"    7,1 44,388"
  甘肃省,"    17,429,828","    85,598","    22,447","    1,223,889",,,  甘肃省,"    2,388,1 59","    5,422,844","    8,286,891","    6,825,329"
  青海省,"    3,332,933","    25,7 79","    5,689","    1 99,2 61",,,  青海省,544725,"    9 99,470","    1,558,009","    1,2 43,654"
  宁夏回族自治区,"    3,2 87,094","    19,855","    5,814","    206,2 30",,,  宁夏回族自治区,"    6 05,457","    1,000,614","    1,449,1 24","    1，1 24,852"
  新疆维吾尔自治区,"  11，213,940",    61，033,"    21,896","    841,680",,,  新疆维吾尔自治区,"    2,2 89,2 84","    4,4 23,855","    3,576,1 92","    2,733,416"
