12.1982年人口普查登记质量抽样检查结果,,,,
,,,,
    (抽查范围：分属于29个省、市、自治区972个生产队,,,,
    和居民小组，43，57 0户),,,,
,,,,
,  普查登记,  抽查核实,  差错人数,  差错率
    抽查项目,  人口数,  人口数,,
,,,    (人),    (‰)
,    (人),    (人),,
1．人口数,"    1 87,362","    187,334",    28,    0.15
  重报,     -,     -,    133,    0.71
  漏报,     -,     -,    105,    0.56
2．性别,     -,     -,    6,    0.03
3．年龄,     -,     -,"    1,1 52",    6.15
4.1 981年出生人口,3829,"    3,836",    7,    1.83
5.1 981年死亡人口,"    1,1 36",    1，1 41,    5,    4.40
,,,,
注：上表是按照《第三次全国人口普查登记质量抽样检查细则》检查得出的结果。,,,,
  该细则见附录二。,,,,
