1.1982年总人口及其增长情况和人口密度,,,,,,,
,,,,,,,
,,,,,,,
,  198 2年普查人口数,  1 964年普查人口数②,    1 982年与1964年比较,,,  人口密度(人／平方公里),
    地区别,,,,,,,
,    (人),    (人),    增加人口数,,,,
,,,    (人),    增长％,平均每年增长％,    1982年,    1964年
全国总计,"    1,031,882,511",-,-,-,-,-,-
大陆29个省、市、,"    1,003,937,078","    691,220,1 04",312716974,    45.24,    2.1,    1 05,    72
自治区合计,,,,,,,
  北京市,"    9,2 30,6 87","    7,5 97,367","    1，633,320",    21.5,    1.1,    549,    452
  天津市,"    7,764,1 41","    6,2 49，1 64","    1，514,977",    24.2,    1.2,    687,    553
  河北省,"    53,005,875","    39,416,706","    13,589,1 69",    34.5,    1.7,    282,    210
  山西省,"    25,2 91,389","    18,015,067","    7,2 76,322",    40.4,    1.9,    1 62,    116
  内蒙古自治区,"    19,2 74,2 79","    12,334,1 38","    6,940，1 41",    56.3,    2.5,    16,    10
  辽宁省,"    35,7 21,6 93","    26,946,2 00","    8,775,493",    32.6,    1.6,    245,    185
  吉林省,"    22,5 60,053","    15,668,6 63","    6,891,390",    44.0,    2.1,    1 20,    84
  黑龙江省,"    32,6 65,5 46","    20,1 32,771","    1 2,5 32,775",    62.3,    2.7,    69,    43
  上海市,"    11,859,748","    10,816,458","    1,043,290",    9.6,    0.5,"    1,913","    1,745"
  江苏省,"    60,5 21,114","    44,522,091","    15,999,023",    35.9,    1.7,    590,    434
  浙江省,"    38,884,6 03","    28,318,573","    10,5 66,030",    37.3,    1.8,    382,    278
  安徽省,"    49,665,724","    31,2 41，1 84","    18,424,540",    59.0,    2.6,    356,    224
  福建省,"    25,873,2 59",16757223,"    9,116,036",    54.4,    2.4,    213,    138
,"    (25,931,1 06)①",,,,,,
  江西省,"    33,1 84,827","    21,068,019","    12,116,808",    57.5,    2.6,    1 99,    126
  山东省,"    74,419,054","    55,4 96,219","    18,922,835",    34.1,    1.6,    486,    363
  河南省,"    74,422,7 39","    50,324,359","    24,098,380",    47.9,    2.2,    446,    301
  湖北省,"    47,804,1 50","    33,709,344","    14,094,806",    41.8,    2.0,    255,    1 80
  湖南省,"    54,008,851","    37,1 82,2 86","    16,826,5 65",    45.3,    2.1,    257,    177
  广东省,"    59,2 99,220","    40,447,536","    18,851,6 84",    46.6,    2.1,    2 80,    191
  广西壮族自治区,"    36,420,960","    23,1 98,330","    13,222,6 30",    57.0,    2.6,    158,    101
  四川省,"    99,713,310","    68,012,5 65","    31,700,745",    46.6,    2.1,    1 76,    1 20
  贵州省,"    28,5 52,997","    17,1 40,5 21","    11，412,476",    66.6,    2.9,    1 62,    97
  云南省,"    32,553,81 7","    20,453,450","    12,1 00,367",    59.2,    2.6,    83,    52
  西藏自治区,"    1,892,393","    1,2 51,2 25","    641,1 68",    51.2,    2.3,    1.6③,    1
  陕西省,"    28,904,423","    20,7 66,915","    8,1 37,508",    39.2,    1.9,    141,    101
  甘肃省,"    19,5 69,2 61","    12,6 30,569","    6,938,6 92",    54.9,    2.5,    43,    28
  青海省,"    3,895,706","    2,1 45,6 04",1750102,    81.6,    3.4,5,    3
  宁夏回族自治区,"    3,895,5 78","    2,1 07,490","    1,788,088",    84.8,    3.5,    59,    32
  新疆维吾尔自治区,"    13,081,6 81","    7,2 70,067","    5,811,614",    79.9,    3.3,    8,    5
中国人民解放军,4238210,-,-,-,-,-,-
现役军人,,,,,,,
台湾省,"    1 8,270,749",-,-,-,-,-,-
香港澳门地区同胞,5378627,-,-,-,-,-,-
,,,,,,,
注①福建省括号内的数字包括金门、马祖等岛屿的人口57，847人。全国总计是按这个数字计算的。,,,,,,,
    ②1964年普查人口数已按现行区划进行了调整。,,,,,,,
    ③西藏自治区人口密度是按实施人口普查区域的人口计算的。,,,,,,,
