2.1982年常住人口的户口登记状况,,,,,,,
,,,,,,,
单位：人,,,,,,,
,,,,,,,
,    总人口,,,,,,  有常住户口
    地区别,,,,,,,
,    合计,  常住本地、户口在本地,  常住本地一年以,人住本地不满一,,原住本地，现在,  已外出一年
,,,,年，离开户口登,  人住本地,,
,,,  上，户口在外地,,  户口待定,国外工作或学,  以上的人口
,,,,记地一年以上,,习，暂无户口,
28个省、市、区合计①,"    1,002,044,685",990658313,"    6,364,51 8","    210,322","  4,754,602","    56,930","  5,527,521"
  北京市,"    9,2 30,687","    9,048,2 54","    1 3 1,664","    2,805","    35,399","    12,565","    45,066"
  天津市,"    7,764,1 41","    7,6 40,821","    1 04,1 61","    1,306","    16,500","    1,353","    57,978"
  河北省,"    53,005,875","    52,5 49,1 95","    303,953","    5,949","    144,2 24","    2,5 54","    359,5 32"
  山西省,"    25,2 91,389","    24,9 31,6 81","    265,6 74","    5,342","    87,864",    828,"    217,493"
  内蒙古自治区,"    19,2 74,2 79",18821488,"    237,524","    7,485","    207,510",    272,"    141,227"
  辽宁省,"    35,7 21,6 93","    35,2 49,1 94","    273,5 81","    7,927","    188,892","    2,099","    2 81,440"
  吉林省,"    22,5 60,0 53","    22,1 4 7,893","    241,699","    11,2 08","    158,701",    552,"    174,856"
  黑龙江省,"    32,6 65,5 46","    31，6 70,0 95","    527,810","    20,069","    446,665",    907,"    192,379"
  上海市,"    11,859,748","    11,6 0 7,827","    202,612","    3,862","    39,990","    5,457",    71，4 68
  江苏省,"    60,5 21,1 14","    59,894,1 06","    334,350","    8,6 52","    281,2 56","    2,7 50","    433,708"
  浙江省,"    38,884,6 03","    38,4 8 2,1 05","    202,2 40","    8,094","    191,342",    822,"    2 51,381"
  安徽省,"    49,6 65,7 24","    49,2 27,6 77","    310,962","    9,1 81","    116,462","    1,442","    207,676"
  福建省,"    25,873,2 59","    25,366,4 02","    234,008","    8,2 33","    263,619",    997,"    178,746"
  江西省,"    33,1 84,827","    32,804,743","    159,424","    6,308","    212,784","    1,5 68","    116,954"
  山东省,"    74,419,054","    73,6 66,6 52","    340,500","    10,311","    400,321","    1,2 70","    555,5 29"
  河南省,"    74,422,7 39","    73,7 66,1 74","    422,407","    13,412","    219,1 39","    1,6 07","    353,431"
  湖北省,"    47,804,1 50","    47,2 8 2,6 31","    289,319","    1 2,369","    217,1 84","    2,647","    197,616"
  湖南省,"    54,008,851","    53,6 74,2 81","    198,6 74","    8,454","    1 25,072","    2,370","    185,1 36"
  广东省,"    59,299,2 20",58715121,"    333,6 79","    8,722","    238,7 48","    2,950","    261,559"
  广西壮族自治区,"    36,420,9 60","    36,1 77,7 61","    142,5 95","    3,461","    96,5 68",    5 75,"    102,082"
  四川省,"    99,713,310","    99,1 57,868","    216,999","    11,069","    322,795","    4,5 79","    542,936"
  贵州省,"    28,552,997","    28,1 58,486","    102,412","    4,034","    286,496","    1,5 69","    58,850"
  云南省,"    32,5 53,817","    32,2 96,5 51","    100,355","    3,5 85","    152,5 36",    790,"    73,001"
  陕西省,"    28,904,4 23","    28,6 24,094","    195,2 72","    7,2 51","    74,859","    2,947","    157,1 55"
  甘肃省,"    19,5 69,2 61","    19,342,5 62","    131,6 69","    3,1 50","    91,1 87",    693,"    111,354"
  青海省,"    3,895,706","    3,783,739","    63,871","    1,6 38","    46,434",    24,"    44,5 43"
  宁夏回族自治区,"    3,895,5 78","    3,847,327","    31,484",    6 82,"    15,5 09",    576,"    22,442"
  新疆维吾尔自治区,"    13,081,6 81","    1 2,7 2 3,5 85","    265,6 20","    15,763","    76,5 46",    167,"    131,983"
,,,,,,,
注：①西藏自治区未调查本表所列项目。,,,,,,,
