2.第二次全国人口普查结果的几项主要统计数字,,,,,,,
,,,,,,,
,,,,,,,
  年,,,,  年,,,
,  合计,    男,    女,,  合计,    男,    女
  龄,,,,  龄,,,
总计,"694,581,759","356,51 7,011","338,064,748",,,,
,,,,27,"10,1 09,5 29","  5,386,660","  4,722,869"
不满1岁,"28,483,827","14,509,500","13,974,327",28,"10,2 49,874","  5,443,913","  4,805,961"
1,"30,2 48,1 04","15,515,387","14,732,71 7",29,"  9,903,645","  5,2 36,618","  4,667,027"
2,"15,5 69,1 54"," 8,025,0 93"," 7,544,061",30,"  10,1 09,784","  5,369,854","  4,739,930"
3,"11,535,2 64"," 5,961,473"," 5,573,791",31,"  9,737,585","  5,1 52,650","  4,584,935"
4,"14,305,607"," 7,450,4 38"," 6,855,1 69",32,"  9,000,697","  4,772,857","  4,2 27,840"
5,"14,883,857"," 7,758,2 34"," 7,1 25,623",33,"  8,978,911","  4,755,864","  4,223,047"
6,"20,396,314","10,699,407",9696907,34,8879113,"  4,668,573","  4,210,540"
7,"19,716,2 66","10,342,1 56"," 9,374,110",35,"  8,599,962","  4,514,1 80","  4,085,782"
8,"18,678,1 22","  9,771,901","8,906,2 21",36,"  8,701,1 24","  4,5 60,395","  4，1 40,729"
9,"20,502,875","10,711,651","9,791,2 24",37,"  7,873,1 62","  4,1 53,654","  3,719,508"
10,"19,212,1 80","10,001,1 28","9,211,052",38,"  7,860,668","  4,115,2 41","  3,745,427"
11,"18,338,761","  9,5 30,651","8,808,110",39,"  8,1 34,996","  4,2 47,75 4","  3,887,2 42"
12,"17,839,721","  9,2 57,381","8,582,340",40,"  7,856,873","  4,073,212","  3,783,661"
13,"15,382,557","  8,026,1 36",7，356，42,41,"  7,004,91 8","  3,632,453","  3,372,465"
14,"15,578,426","  8,1 89,963","7,388,463",42,"  6,968,457","  3,612,806","  3,355,651"
1 5,"13,468,853","  7,099,1 81","6,369,672",43,"  6,912,1 68","  3,570,690","  3,341,478"
16,"13,044,336","  6,885,212","6,1 59,1 24",44,"  6,902,799","  3,549,1 87","  3,353,61 2"
1 7,"12,807,076","  6,674,6 39","6,1 32,437",45,6321469,"  3,2 32,655","  3,088,814"
1 8,"11,881,957","  6,070,5 30","5,811,427",46,"  6,1 69,216","  3,1 54,761","  3,014,455"
19,"10,913,2 66","  5,626,787","5,2 86,479",47,"  6,251,2 3 9","  3,2 03,405","  3,047,834"
20,"10,508,21 8","  5,475,82 5",5032393,48,"  6,1 37,45 8","  3,094,701","  3,042,757"
21,"  9,997,593","  5,2 00,977",4796616,49,"  5,973,454","  3,025,1 59",2948295
22,"10,590,408","  5,498,218"," 5,092,1 90",50,"  6,1 47,886","  3,1 13,758","  3,034,1 28"
23,"10,030,1 50","  5,2 31,306"," 4,798,844",51,"  5,331,216","  2,694,842","  2,636,374"
24,"  9,694,38 2","  5,076,719",4617663,52,"  5,065,640","  2,557,780","  2,507,860"
25,"  9,950,723","  5,2 78,678",4672045,53,"  4,882,08 4","  2,435,5 05","  2,446,581"
26,"10，1 81,6 37","  5,452,5 81",4729056,54,"  5,078,5 56",2490250,"  2,588,306"
,,,,,,,
注：本表不含台湾省，福建省的金门、马祖等岛屿及香港、澳门地区同胞的人口。,,,,,,,
