3.1982年按户口登记状况分类的人口,,,,,
,,,,,
    单位：人,,,,,
,,,,,
,    1 98 2年7月1日按户口登记状况分类 的人口,,,,  1981年统计年报人口
    地区别,,,,,
,    合计,  常住本地、户口在本地,    人住本地、户口待定,  有常住户口、已外出,    (1 2月31日)
,,,,  一年以上,
29个省、市、区合计,1000940436,"    990,658,31 3","    4,754,602","    5,527,521","    996,222,244"
  北京市,"    9,1 28,719","    9,048,254","    35,399","    45,066","    9,018,886"
  天津市,"    7,71 5,2 99","    7,6 40,821","    16,5 00","    57,978","    7,627,5 20"
  河北省,"    53,052,951","    52,5 49,1 95","    144,224","    359,5 32","    52,5 62,921"
  山西省,"    25,2 37,038",24931681,"    87,864","    217,493","    25,087,671"
  内蒙古自治区,"    19,1 70,2 25","    1 8,821,488","    207,510","    141,2 27","    19,029,1 57"
  辽宁省,"    35,719,526","    35,2 49,1 94","    188,892","    2 81,440","    35,348,371"
  吉林省,"    22,4 81,450","    22,1 47,893","    158,7 01","    174,8 56","    22,309,455"
  黑龙江省,"    32,309,1 39","    31,6 70,095","    446,6 65","    192,379","    32,392,727"
  上海市,"    11,719,2 85","    11,6 07,827","    39,990",    71，4 68,"    11,6 28,380"
  江苏省,"    60,6 09,070","    59,894,1 06","    281,2 56","    433,708","    60,1 02,421"
  浙江省,"    38,924,828","    38,4 82,1 05","    191,342","    251,381","    38,715,1 24"
  安徽省,"    49,5 51,81 5","    49,2 27,677","    116,462","    207,6 76","    49,5 65,5 02"
  福建省,"    25,808,767","    25,366,402","    2 63,619","    178,746","    25,5 68,993"
  江西省,"    33,1 34,481","    32,804,743","    212,784","    116,954","    33,039,2 35"
  山东省,"    74,6 22,5 02","    73,6 66,6 52","    400,321","    555,5 29","    73,948,324"
  河南省,"    74,338,744","    73,766,1 74","    219,1 39","    353,4 31","    73,969,703"
  湖北省,"    47,6 97,4 31","    47,2 82,6 31","    217,1 84","    1 97,616","    47,403,489"
  湖南省,"    53,984,489","    53,6 74,2 81","    125,072","    185,1 36","    53,600,511"
  广东省,"    59,215,428","    58,715,1 21","    238,748",    261，559,"    58,840,625"
  广西壮族自治区,"    36,376,411","    36,1 77,761","    96,5 68","    102,082","    36,1 28,355"
  四川省,"    100,023,5 99","    99,1 57,868","    322,795","    542,936","    99,2 40,339"
  贵州省,"    28,5 03,832","    28,1 58,486","    286,496","    58,850","    28,2 67,827"
  云南省,"    32,522,088","    32,2 96,551","    152,5 36",    73，001,"    32,2 27,6 84"
  西藏自治区①,-,-,-,-,"    1,859,5 73"
  陕西省,"    28,856,1 08","    28,6 24,094","    74,859","    157,1 55","    28,6 45,1 97"
  甘肃省,"    19,5 45,1 03","    1 9,342,5 62",    91，1 87,    111，354,"    19,414,01 2"
  青海省,"    3,874,716","    3,783,7 39","    46,434","    44,543","    3,815,986"
  宁夏回族自治区,"    3,885,2 78","    3,847,327","    15,509","    22,442","    3,833,771"
  新疆维吾尔自治区,"    12,932,1 14",12723585,"    76,5 46","    131,983","    13,030,4 85"
,,,,,
注：①西藏自治区在1982年普查中未调查户口登记状况。,,,,,
