4.1982年总户数、总人口和性比例,,,,,,,
,,,,,,,
,,,,,,,
,    总户数,    总人口(人),,,    占总人口％,,  性比例
    地区别,,,,,,,
,    (户),    合计,    男,    女,    男,    女,  (女=100)
全国总计,-,"    1,031,882,511",-,-,-,-,-
大陆29个省、市、区,,,,,,,
和现役军人合计,"    221,1 73,785","    1,008,1 75,288","    51 9,433,369","  488,741,919",    51.5,    48.5,    1 06.3
  北京市,"    2,352,300","    9,2 30,6 87","    4,6 70,510","    4,5 60,1 77",    50.6,    49.4,    1 02.4
  天津市,"    1,921,113","    7,764,1 41","    3,942,043","    3,822,098",    50.8,    49.2,    103.1
  河北省,"    12,378,542","    53,005,8 75","    27,1 28,903","    25,876,9 72",    51.2,    48.8,    104.8
  山西省,"    5,927,402","    25,2 91，3 89","    13,1 62,702","    12,1 28,6 87",    52.0,    48.0,    108.5
  内蒙古自治区,"    4,2 00,2 30","    19,2 74,2 79","    10,053,5 01","    9,2 20,778",    52.2,47.8,    109.0
  辽宁省,"    8,5 57,4 23","    35,7 21,6 93","    18,2 24,6 80","    1 7,497,013",    51.0,    49.0,    104.2
  吉林省,"    5,083,025","    22,5 60,053","    11,5 54,6 94","    11,005,359",    51.2,    48.8,    105.0
  黑龙江省,"    7,1 57,986","    32,6 65,5 46","    16,722,5 62","    15,9 42,9 84",    51.2,    48.8,    104.9
  上海市,"    3,1 51,7 78","    11,859,748","    5,909,965",5949783,    49.8,    50.2,    99.3
  江苏省,"    15,1 20,826","    60,5 21,114","    30,7 67,366","    29,7 53,7 48",    50.8,    49.2,    103.4
  浙江省,"    9,6 04,4 04","    38,884,6 03","    20,1 66,892","    18,717,711",    51.9,    48.1,    107.7
  安徽省,"    10,5 22,7 80","    49,6 65,7 24","    25,763,4 40","    23,9 02,2 84",    51.9,    48.1,    107.8
  福建省,"    5,1 70,364","    25,873,2 59","    13,308,813","    12,564,446",    51.4,    48.6,    105.9
,,"    (25,931,1 06)①",,,,,
  江西省,"    6,532,617","    33,1 84,827","    1 7,114,961","    16,069,8 66",    51.6,    48.4,    106.5
  山东省,"    17,390,448","    74,419,054","    37,737,424","    36,6 81，6 30",    50.7,    49.3,    1 02.9
  河南省,"    1 5,36 5,407","    74,422,739","    37,951,734","    36,471,005",    51.0,    49.0,    104.1
  湖北省,"    10,1 58,448","    47,804,1 50","    24,5 44,398","    23,2 59,752",    51.3,48.7,    1 05.5
  湖南省,"    12,3 39,61 8",54008851,"    28,052,466","    25,9 56,385",    51.9,    48.1,    1 08.1
  广东省,"    11,962,21 8","    59,2 99,2 20","    30,312,257","    28,9 86,9 63",    51.1,    48.9,    104.6
  广西壮族自治区,"    6,938,850","    36,4 20,960","    18,852,619","    17,5 68,341",    51.8,    48.2,    107.3
  四川省,"    22,870,6 71","    99,713,310","    51,446,784","    48,2 66,526",    51.6,    48.4,    106.6
  贵州省,"    5,6 87,2 32","    28,5 5 2,997","    14,6 41,472","    13,911,5 25",    51.3,    48.7,    1 05.2
  云南省,"    6,1 40,974","    32,5 5 3,817","    16,500,2 68","    1 6,053,5 49",    50.7,    49.3,    1 02.8
  西藏自治区,"    324,6 79",1892393,"    935,851","    9 56,5 42",    49.5,    50.5,    97.8
  陕西省,"    6,1 54,61 2","    28,9 04,4 23","    14,968,6 78","    13,935,745",    51.8,    48.2,    107.4
  甘肃省,"    3,756,5 01","    19,5 69,2 61","    10,1 24,577","    9,4 44,6 84",    51.7,    48.3,    1 07.2
  青海省,"    722,882","    3,8 95,706","    2,004,819","    1,890,887",    51.5,    48.5,    106.0
  宁夏回族自治区,"    742,047","    3,8 95,5 78","    2,006,7 95","    1,888,7 83",    51.5,    48.5,    106.2
  新疆维吾尔自治区,"    2,9 38,408","    13,081,6 81","    6,7 32,805","    6,348,876",    51.5,    48.5,    106.0
中国人民解放军,-,"    4,2 38,21 0","    4,1 29,390","    1 08,8 20",    97.4,    2.6,"    3,7 94.7"
现役军人,,,,,,,
台湾省,-,"    1 8,270,749",-,-,-,-,-
香港澳门地区同胞,-,"    5,378,627",-,-,-,-,-
,,,,,,,
,,,,,,,
    注：①福建省括号内的数字包括金门、马祖等岛屿的人口57，847人。全国总计是按这个数字计算的。,,,,,,,
