5.1982年市、镇、县人口,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,    市镇合计,,    市,,,    镇,,,
    地区别,  总人口数,,,,,,,,,  县人口数
,,  户数,  人口数,个数,    户数,  人口数,  个数,  户数,  人口数,
29个省、市、区合计,1003937078,"  48,708,657",206588582,236,34528827," 1 44,679,340","    2,664"," 1 4,1 79,830"," 61,909,242"," 797,348,496"
  北京市,"    9,2 30,6 87","  1,5 37,4 60","  5,970,2 27",    1,"    1,441,5 40","  5,5 97,972",    14,"    95,920","  372,2 55","  3,2 60,4 6 0"
  天津市,"    7,7 64,1 41","  1,3 59,028","  5,333,6 22",    1,"    1,311,921","  5,1 42,5 65",    7,"    47,1 07","  1 91,057","  2,430,519"
  河北省,"  53,005,875","  1，815,043","  7,2 72,1 30",    11,"    1,517,049","  6,048,1 89",    50,"  297,994","  1,2 23,941","  45,733,74 5"
  山西省,"  25,2 91,389","  1,1 77,617","  5,314,5 28",    7,"    952,850","  4,2 52,437",    48,"  2 24,7 67","  1,062,091","  19,976,8 61"
  内蒙古自治区,"  19,2 74,2 79","  1,2 82,078","  5,5 61,306",    10,"    745,382","  3,1 93,5 88",    1 02,"  536,6 96","  2,367,71 8","  13,712,973"
  辽宁省,"  35,7 21,6 93","  3,795,005","  15,1 32,3 03",    13,"    2,958,2 41","  11,878,5 87",    93,"  8 36,7 64","  3,2 53,71 6","  20,5 89,390"
  吉林省,"  22,5 60,053","  2,1 67,1 28","  8,941,1 08",    9,"    1,319,1 26","  5,51 5,089",    1 01,"  848,002","  3,426,01 9","  13,618,945"
  黑龙江省,"  32,665,546","  3,068,6 33","  13,2 41,6 97",    12,"    1,968,363","  8,5 31,940",    1 01,"  1，1 00,2 70","  4,7 09,757","  19,4 23,849"
  上海市,"  11,859,748","  1,810,5 42","  6,975,1 79",    1,"    1,6 43,444","  6,320,872",    33,"  167,098","    6 54,307","    4,884,5 69"
  江苏省,"  60,5 21，114","  2,593,326","  9,5 72,1 86",    11,"    1,810,6 49","  6,745,01 8",    114,"  782,6 77","  2,827,1 68",50948928
  浙江省,"  38,884,6 03","  2,5 84,2 67","  9,996,952",    9,"    1,743,917","  6,8 60,514",    1 65,"  840,350","  3,1 36,4 38","  28,887,6 51"
  安徽省,"  49,665,72 4","  1,627,335","  7,082,496",    12,"    1,1 22,2 91","  4,885,1 43",    118,"  505,044","  2,1 97,353","  42,5 83,2 2 8"
  福建省②,"  25,873,2 59","  1,1 97,867","  5,480,7 08",    7,"    739,21 5","  3,311,851",    119,"  458,6 52","  2,1 68,857","  20,392,551"
  江西省,"  33,1 84,827","  1,379,1 35","  6,4 52,413",    10,"    910,2 47","  4,21 8,6 97",    106,"  468,888","  2,2 33,71 6","  26,732,41 4"
  山东省,"  74,419,054","  3,397,021","  14,1 90,511",    10,"    2,1 34,995","  8,6 90,3 35",    97,"  1,2 62,026","  5,5 00,1 76",60228543
  河南省,"  74,422,73 9","  2,2 48,1 26","  10,509,1 11",17,"    1,527,025","  6,923,322",    109,"    721,1 01","  3,5 85,7 89","  63,913,6 28"
  湖北省,"  47,804,1 50","  1，916,392","  8,2 75,865",    11,"    1,2 93,1 36","  5,471,5 91",    127,"    6 23,2 56","  2,804,2 74","  39,5 28,2 85"
  湖南省,"  54,008,85 1","  1,798,079","  7,7 66,2 20",    15,"    1,2 03,783","  5,074,475",    1 86,"    5 94,2 96","  2,6 91,745","  46,2 42,6 31"
  广东省,"  59,2 99,220","  2,428,345","  11,0 81,5 73",    14,"    1,631,823","  7，11 7,6 59",    1 32,"    7 96,5 22","  3,963,914",48217647
  广西壮族自治区,"  36,420,960","    927,526",4306961,    7,"    545,795","  2,4 77,687",    92,"    381,731","  1，829,2 74",32113999
  四川省,"  99,713,310","  3,427,775","  14,2 51,1 31",    13,"    2,414,319","  9,880,5 04",    309,"  1,013,4 56","  4,370,6 27","  85,4 62,1 79"
  贵州省,"  28,552,997","  1，1 91,5 65","  5,6 31,434",    5,"    835,877","  4,056,445",    93,"    355,6 88","  1,574,989","  22,921,5 63"
  云南省,"  32,5 53,817","    916,6 50","  4,1 87,2 76",    6,"    550,6 60","  2,434,6 65",    128,"    365,990","  1,7 52,611","  28,366,5 41"
  西藏自治区,"    1,892,393","    15,762","    1 79,450",    1,"    10,049","    105,897",    9,"    5,713","    73,5 53","    1,712,943"
  陕西省,"    28,904,4 23","  1,2 08,1 79","  5,4 90,6 08",    6,"    908,626","  4,058,1 02",    81,"    2 99,5 53","  1,432,506","  23,413,815"
  甘肃省,"    19,5 69,2 61","    643,974","  3,002,4 99",    5,"    432,341","  1,974,5 79",    45,"    211,6 33","  1,027,920","  1 6,5 66,76 2"
  青海省,"    3,895,706","    1 68,2 31","    797,931",    2,"    134,831","    628,748",    7,"    33,4 00","    1 69,1 83","    3,097,775"
  宁夏回族自治区,"    3,895,5 78","    194,368","    875,940",    2,"    148,520","    667,736",    14,"    45,848","    2 08,2 04","    3,019,6 38"
  新疆维吾尔自治区,"  13,081,6 8 1","    832,2 00","    3,715,21 7",    8,"    572,812","  2,615,1 33",    64,"  2 59,388"," 1,1 00,084","    9,366,4 64"
,,,,,,,,,,
,,,,,,,,,,
    注：①市的户数及人口数内不包含市辖县的户数及人口数；县的户数及人口数内不包含镇的户数及人口数。②金门、马祖等岛屿除外。,,,,,,,,,,
