5.一九八二年各省、市、自治区行政区划,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,  省级,,  地级,,    市,,,  县级,,人民
顺,,,,,,省,地,,,
,合计,行政单位,合计,行政单位,合计,,,合计,行政单位,公社
,,,,,,直辖,州辖,,,
,, 3直辖市,, 168地区,,,,, 2002县,
序,,,,,,,,,69自治县,
,,,,30自治州,,,,,54旗,
,    30,22省,208,,233, 104, 129, 2137,3自治旗,
,,,,1行政区,,,,,4特区,"53,648"
号,,,,,,,,,3工农区,
,,,,,,,,,1林区,
,,5自治区,,9盟,,,,,,
,,,,,,,,,1镇,
1,    北京市,, -,  -,  -, -,  -,    9, 9县,    257
2,    天津市,,  -,     -,   -,  -,    -,    5, 5县,208
,,,,,,,,, 137县,
3,    河北省,,    10, 10地区,    11,    2,    9,    139,,"3,598"
,,,,,,,,,2自治县,
4,    山西省,,    7, 7地区,    7,    4,    3,    101, 101县,1，885
,,,,,,,,, 22县,
5,    内蒙古自治区,,    9, 9盟,    10,    3,    7,    79,54旗,"1,328"
,,,,,,,,,3自治旗,
,,,,,,,,, 43县,
6,    辽宁省,,    2, 2地区,    13,  10,    3,    45,,1，125
,,,,,,,,,2自治县,
,,,, 3地区,,,,, 35县,
7,    吉林省,,    4,,    9,    2,    7,    37,,    851
,,,,1自治州,,,,,2自治县,
,,,,,,,,, 65县,
8,    黑龙江省,,    7, 7地区,    12,    7,    5,    66,,"1,035"
,,,,,,,,,1自治县,
9,    上海市,,   -,     -,    -,  -,  -,    10, 10县,    206
10,  江苏省,,    7, 7地区,    11,    7,    4,    64, 64县,1920
11,  浙江省,,    7, 7地区,    9,    3,    6,    63, 63县,"2,966"
12,  安徽省,,    8, 8地区,    12,    8,    4,    70, 70县,"3,311"
13,  福建省,,    7, 7地区,    7,    2,    5,    61, 61县,    867
14,  江西省,,    6, 6地区,    10,    4,    6,    81, 81县,"1,576"
15,  山东省,,    9, 9地区,    10,    4,    6,    105, 105县,2004
