6.1982年家庭户与集体户的总户数和总人口,,,,,,,
,,,,,,,
,,,,,,,
,    总户数(户),,,    总人口(人),,,    家庭户平均
    地区别,,,,,,,
,    合计,  家庭户,  集体户,    合计,    家庭户,    集体户,    每户人口数
29个省、市、区合计,"    221,1 73,785","    220，1 00,775",1073010,"    1,003,937,078","    970,984,572","    32,952,506",    4.4
  北京市,"    2,352,300","    2,337,5 85","    14,715","    9,2 30,6 87","    8,6 30,876","    599,811",    3.7
  天津市,"    1,921,113","    1，914,2 62","    6,851",7764141,"    7,472,364",291777,    3.9
  河北省,"    1 2,378,5 42","    12,3 21,5 24","    57,018","    53,005,875","    50,953,745","    2,052,1 30",    4.1
  山西省,"    5,927,4 02","    5,892,002","    35,400","    25,2 91,389","    23,958,044","    1,333,345",    4.1
  内蒙古自治区,"    4,2 00,2 30","    4,1 87,2 88","    12,942","    19,2 74,2 79","    18,900,980","    373,2 99",    4.5
  辽宁省,"    8,5 57,4 23",8536043,"    21,380","    35,7 21,6 93","    34,870,897","    850,796",    4.1
  吉林省,"    5,083,025","    5,073,5 66","    9,459","    22,5 60,053","    22,2 77,853","    282,200",    4.4
  黑龙江省,"    7,1 57,986","    7,1 45,4 59","    1 2,527","    32,6 65,546","    32,1 72,1 76","    493,370",    4.5
  上海市,"    3,1 51,778","    3,1 27,1 28","    24,650","    11,859,7 48","    11,2 47,7 09","    612,039",    3.6
  江苏省,"  15,1 20,826","  15,0 67,077","    53,749","    60,5 21,114","    58,864,4 79","    1,6 56,6 35",    3.9
  浙江省,"    9,6 04,4 04","    9,5 58,775","    45,6 29","    38,884,6 03","    37,836,934","    1,047,6 69",    4.0
  安徽省,"  10,5 22,780","  10,471,930","    50,850","    49,6 65,724","    48,5 38,326","    1,1 27,398",    4.6
  福建省,"    5,1 70,364","    5,1 42,893","    27,471","    25,873,2 59","    24,925,6 98","    947,5 61",    4.8
  江西省,"    6,5 32,617","    6,493,1 61","    39,4 56","    33,1 84,827","    32,051,6 87","    1,1 33,1 40",    4.9
  山东省,"  1 7,390,4 48","  1 7,335,4 56","    54,992","    74,419,054","    72,1 09,516","    2,309,5 38",    4.2
  河南省,"  15,365,407","  15,306,2 29","    59,1 78","    74,422,7 39","    72,321,886","    2,1 00,853",    4.7
  湖北省,"  10,1 58,4 48","  10,089,5 86","    68,862","    47,804,1 50","    45,6 61,8 67","    2,1 42,2 83",    4.5
  湖南省,"  12,339,618","  12,2 79,1 25","    6 0,493","    54,008,851","    51，725,409","    2,2 83,442",    4.2
  广东省,"  11,962,218","  11,881,722","    80,4 96","    59,2 99,2 20","    57,013,757","    2,2 85,4 63",    4.8
  广西壮族自治区,"    6,938,850","    6,898,025","    40,825","    36,4 20,960","    35,4 25,709","    995,2 51",    5.1
  四川省,"  22,870,6 71","  22,748,894","    1 21,777","    99,713,310","    96,6 09,923","    3,1 03,387",    4.2
  贵州省,"    5,6 87,2 32","    5,6 59,458","    27,7 74","    28,5 52,997","    27,889,427","    663,5 70",    4.9
  云南省,"    6,1 40,974","    6,095,2 94","    45,6 80","    32,5 53,817","    31，5 24,1 31","    1,029,6 86",    5.2
  西藏自治区,"    324,6 79","    322,1 91","    2,488","    1，892,393","    1，6 30,783","    261,610",    5.1
  陕西省,"    6,1 54,612","    6,1 03,089","    51,5 23","    28,904,4 23","    27,338,1 66","    1,5 66,2 57",    4.5
  甘肃省,"    3,7 56,5 01","    3,730,5 87","    25,914","    19,5 69,2 61","    18,907,827","    6 61,4 34",    5.1
  青海省,"    722,882","    71 8,5 29","    4,353","    3,895,706","    3,706,6 42","    189,064",    5.2
  宁夏回族自治区,"    742,047","    736,614","    5,433","    3,895,5 78","    3,748,7 53","    146,825",    5.1
  新疆维吾尔自治区,"    2,938,4 08","    2,927,2 83","    11,1 25","    13,081，6 81","    12,6 69,008","    412,6 73",    4.3
