7.1981年人口自然变动情况,,,,,,
,,,,,,
        单位：人,,,,,,
,,,,,,
,    出生,,,    死亡,,
    地区别,,,,,,
,    合计,    男,    女,    合计,    男,    女
29个省、市、区合计,"    20,689,704","    1 0,765,292","    9,924,41 2","    6,290,1 03","    3,323,948","    2,966,1 55"
  北京市,"    156,875","    81,0 96","    75,779","    51,6 25","    27,5 55","    24,070"
  天津市,"    1 40,808","    73,005","    67,8 03","    46,1 68","    24,5 50","    21,618"
  河北省,"    1,2 50,4 61","    649,811","    6 00,650","    31 5,512","    1 71,046","    144,4 66"
  山西省,"    506,1 37","    264,371","    241,7 66","    1 63,027",90885,"    72,1 42"
  内蒙古自治区,"    436,7 03","    225,5 66","    211,1 37","    109,035","    63,6 02","    45,433"
  辽宁省,"    6 50,492","    336,41 2","    314,080","    186,882","    103,035","    83,847"
  吉林省,"    392,516","    203,6 00","    188,916","    118,2 40","    66,5 81","    51,6 59"
  黑龙江省,"    637,488","    329,358","    308,1 30","    159,6 24",90093,"    69,5 31"
  上海市,"    186,328","    95,5 98","    90,7 30","    74,348","    38,6 20","    35,728"
  江苏省,"    1,1 03,41 8","    572,5 99","    5 30,819","    364,1 65","    193,1 50","    171,015"
  浙江省,"    6 90,044","    359,6 07","    330,437","    241,1 91","    1 31,4 54","    109,737"
  安徽省,"    9 22,339","    488,1 98","    434,1 41","    255,879",131019,"    1 24,860"
  福建省,"    5 59,864","    2 91,5 23","    268,341","    148,833","    79,824","    69,009"
  江西省,"    6 71,335","    348,353","    322,982","    21 5,041","    111,6 74","    103,367"
  山东省,"    1,384,068","    724,5 53","    6 59,515","    459,7 58","    239,7 02","    220,056"
  河南省,"    1,51 5,51 2","    794,936","    720,576","    441,1 73","    2 30,406","    210,7 67"
  湖北省,"    950,513","    491,2 69","    459,2 44","    345,2 46","    1 82,419","    162,827"
  湖南省,"    1,1 23,047","    582,097","    5 40,950","    373,7 78","    198,961","    174,817"
  广东省,"    1,457,407","    764,961","    6 92,446","    322,821","    168,5 01","    1 54,320"
  广西壮族自治区,"    974,427","    511,939",    462，488,"    200,5 44","    1 06,900","    93,6 44"
  四川省,"    1,772,5 31","    9 20,1 38","    852,393","    6 93,2 75","    351,733","    341,5 42"
  贵州省,"    781,302","    4 03,571","    377,7 31","    2 37,5 47","    117,6 63","    119,884"
  云南省,"    811,1 91","    417,7 40","    393,4 51","    2 75,1 60","    138,2 82","    1 36,878"
  西藏自治区,"    57,6 43","    29,010","    28,633","    1 8,406","    9,326","    9,080"
  陕西省,"    5 79,488","    302,448","    2 77,040","    2 02,319","    111,5 23","    90,796"
  甘肃省,"    388,366","    200,083","    188,283","    110,355","    58,5 65","    51,7 90"
  青海省,"    1 01,058","    52,053","    49,005","    28,374","    14,863","    13,511"
  宁夏回族自治区,"    112,2 51","    57,808","    54,443","    23,034","    1 2,756","    10,2 78"
  新疆维吾尔自治区,"    376,092","    193,5 89","    1 82,5 03","    1 08,743","    59,2 60","    49,4 83"
