8.1981年人口自然增长率,,,
,,,
,,,
,  出生率,  死亡率,  自然增长率
    地区别,,,
,    (‰),    (‰),    (‰)
29个省、市、区,    20.91,6.36,    1 4.55
  北京市,    17.55,    5.78,    11.77
  天津市,    18.60,    6.10,    1 2.50
  河北省,    23.99,    6.05,    17.94
  山西省,    20.31,    6.54,    1 3.77
  内蒙古自治区,    23.11,    5.77,    1 7.34
  辽宁省,    18.53,    5.32,    13.21
  吉林省,    17.67,    5.32,    1 2.35
  黑龙江省,    1 9.79,    4.95,    1 4.84
  上海市,    16.14,    6.44,    9.70
  江苏省,    18.47,    6.1 0,    1 2.37
  浙江省,    1 7.93,    6.27,    11.66
  安徽省,    18.73,    5.20,    1 3.53
  福建省,    2 2.07,    5.87,    16.20
  江西省,    2 0.42,    6.5 4,    1 3.88
  山东省,    1 8.84,    6.26,    1 2.58
  河南省,    2 0.64,    6.01,    14.63
  湖北省,    20.1 7,    7.33,    1 2.84
  湖南省,    21.11,    7.03,    14.08
  广东省,    24.99,    5.54,    1 9.45
  广西壮族自治区,    27.25,    5.61,    21.64
  四川省,    17.96,    7.02,    1 0.94
  贵州省,    27.89,    8.48,    1 9.41
  云南省,    25.36,    8.6 0,    1 6.76
  西藏自治区,    31.05,    9.92,    21.1 3
  陕西省,    2 0.35,    7.10,    1 3.2 5
  甘肃省,    20.1 2,    5.72,    1 4.40
  青海省,    2 6.6 5,    7.48,    1 9.1 7
  宁夏回族自治区,    2 9.65,    6.08,    2 3.57
  新疆维吾尔自治区,    2 9.08,    8.41,    2 0.67
