表10—10 1989年全国镇分年龄、性别的死亡人口数,,,,,,,,,
,,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,    262 326 874,    134 693 617,    127 633 257,    1 464 771,    813 604,    651 167,    5.5838,    6.0404,    5.1019
0——4岁,28 008 451,    14 674 558,    13 333 893,    147 863,    74 553,    73 310,    5.2792,    5.0804,    5.4980
  0,    5 760 597,    3 040 503,    2 720 094,    108 093,    53 684,    54 409,    18.7642,    17.6563,    20.0026
  1,    5 927 689,    3 112 661,    2 815 028,    16 715,    8 513,    8 202,    2.8198,    2.7350,    2.9136
  2,    5 974 042,    3 123 376,    2 850 666,    11 062,    5 714,    5 348,    1.8517,    1．8294,    1.8761
  3,    5 314 165,    2 771 628,    2 542 537,    6 972,    3 828,    3 144,    1．3120,    1.3811,    1.2366
  4,    5 031 958,    2 626 390,    2 405 568,    5 021,    2 814,    2 207,    0．9978,    1.0714,    0．9175
5——9岁,    24 290 394,    12 646 986,    11 643 408,    16 396,    9 999,    6 397,    0.6750,    0.7906,    0.5494
  5,    4 759 247,    2 483 394,    2 275 853,    4 050,    2 335,    1 715,    0.8510,    0.9402,    0.7536
  6,    4 951 291,    2 587 060,    2 364 231,    3 513,    2 164,    1 349,    0．7095,    0.8365,    0.5706
  7,    5 365 029,    2 792 477,    2 572 552,    3 399,    2 112,    1 287,    0.6335,    0.7563,    0.5003
  8,    4 478 111,    2 325 780,    2 152 331,    2 849,    1 787,    1 062,    0．6362,    0.7683,    0.4934
  9,    4 736 716,    2 458 275,    2 278 441,    2 585,    1 601,    984,    0．5457,    0.6513,    0.4319
10——14岁,    23 565 709,12 165 009,    11 400 700,    12 709,    7 530,    5 179,    0．5393,    0.6190,    0．4543
  10,    4 706 961,    2 435 390,    2 271 571,    2 494,    1 530,    964,    0.5299,    0.6282,    0.4244
  11,    4 501 217,    2 325 004,    2 176 213,    2 263,    1 326,    937,    0.5028,    0.5703,    0.4306
  12,    4 570 190,    2 359 414,    2 210 776,    2 403,    1 422,    981,    0.5258,    0.6027,    0.4437
  13,    4 764 185,    2 458 783,    2 305 402,    2 613,    1 537,    1 076,    0.5485,    0.6251,    0.4667
  14,    5 023 156,    2 586 418,    2 436 738,    2 936,    1 715,    1 221,    0.5845,    0.6631,    0.5011
15——19岁,    28 784 276,    14 637 442,    14 146 834,    26 197,    15 135,    11 062,    0.9101,    1.0340,    0.7819
  15,    5 453 793,    2 797 203,    2 656 590,    3 551,    2 039,    1 512,    0.6511,    0.7289,    0.5692
  16,    5 707 637,    2 921 884,    2 785 753,    4 442,    2 522,    1 920,    0.7783,    0.8631,    0.6892
  17,    5 694 027,    2 907 163,    2 786 864,    5 094,    2 960,    2 134,    0.8946,    1.0182,    0.7657
  18,    5 978 751,    3 037 599,    2 941 152,    6 365,    3 706,    2 659,    1．0646,    1.2200,    0.9041
  19,    5 950 068,    2 973 593,    2 976 475,    6 745,    3 908,    2 837,    1．1336,    1.3142,    0．9531
20——24岁,    28 997 486,    14 616 681,    14 380 805,    35 141,    20 372,    14 769,    1.2119,    1．3938,    1.0270
  20,    6 183 564,    3 087 526,    3 096 038,    7 416,    4 325,    3 091,    1.1993,    1.4008,    0．9984
  21,    5 637 442,    2 833 508,    2 803 934,    6 895,    3 980,    2 915,    1.2231,    1.4046,    1.0396
  22,    5 350 246,    2 698 196,    2 652 050,    6 564,    3 878,    2 686,    1.2269,    1．4373,    1.0128
  23,    5 959 312,    3 020 016,    2 939 296,    7 084,    4 054,    3 030,    1.1887,    1.3424,    1.0309
  24,    5 866 922,    2 977 435,    2 889 487,    7 182,    4 135,    3 047,    1.2242,    1.3888,    1．0545
25——29岁,    22 413 925,    11 423 699,    10 990 226,    27 062,    15 893,    11 169,    1.2074,    1.3912,    1.0163
  25,    5 947 990,    3 013 660,    2 934 330,    6 999,    4 006,    2 993,    1．1767,    1.3293,    1.0200
  26,    6 423 622,    3 288 041,    3 135 581,    6 999,    4 140,    2 859,    1.0896,    1.2591,    0．9118
  27,    3 899 796,    1 980 016,    1 919 780,    4 984,    2 915,    2 069,    1．2780,    1.4722,    1．0777
  28,    2 713 538,    1 369 014,    1 344 524,    3 736,    2 175,    1 561,    1.3768,    1.5887,    1.1610
  29,    3 428 979,    1 772 968,    1 656 011,    4 344,    2 657,    1 687,    1.2668,    1.4986,    1．0187
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表10——10 1989年全国镇分年龄、性别的死亡人口数(第二口径)(续01),,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    合计,    男,    女
30——34岁,    21 050 177,    10 907 437,    10 142 740,    30 899,    18 703,    12 196,    1.4679,    1.7147,    1.2024
  30,    3 499 544,    1 820 452,    1 679 092,    5 058,    3 068,    1 990,    1.4453,    1.6853,    1.1852
  31,    4 561 415,    2 382 300,    2 179 115,    6 124,    3 718,    2 406,    1.3426,    1.5607,    1.1041
  32,    4 321 157,    2 230 443,    2 090 714,    6 213,    3 712,    2 501,    1.4378,    1.6642,    1.1962
  33,    4 121 853,    2 120 246,    2 001 607,    6 378,    3 812,    2 566,    1.5474,    1.7979,    1.2820
  34,    4 546 208,    2 353 996,    2 192 212,    7 126,    4 393,    2 733,    1.5675,    1．8662,    1.2467
35——39岁,    19 221 098,    9 973 794,    9 247 304,    36 146,    22 457,    13 689,    1.8805,    2.2516,    1.4803
  35,    4 286 370,    2 209 248,    2 077 122,    7 437,    4 575,    2 862,    1.7350,    2.0708,    1.3779
  36,    4 015 045,    2 073 308,    1 941 737,    7 108,    4 358,    2 750,    1.7703,    2.1020,    1.4163
  37,    3 919 133,    2 026 336,    1 892 797,    7 147,    4 430,    2 717,    1.8236,    2.1862,    1.4354
  38,    3 405 244,    1 765 799,    1 639 445,    6 892,    4 265,    2 627,    2.0239,    2.4153,    1.6024
  39,    3 595 306,    1 899 103,    1 696 203,    7 562,    4 829,    2 733,    2.1033,    2.5428,    1.6112
40——44岁,    13 636 475,    7 225 153,    6 411 322,    37 469,    23 583,    13 886,    2.7477,    3.2640,    2.1659
  40,    3 033 365,    1 599 187,    1 434 178,    7 415,    4 749,    2 666,    2.4445,    2.9696,    1.8589
  41,    2 862 904,    1 515 586,    1 347 318,    7 181,    4 543,    2 638,    2.5083,    2.9975,    1.9580
  42,    2 756 808,    1 463 504,    1 293 304,    7 471,    4 654,    2 817,    2.7100,    3.1800,    2.1781
  43,    2 556 145,    1 352 703,    1 203 442,    7 458,    4 607,    2 851,    2.9177,    3.4058,    2.3690
  44,    2 427 253,    1 294 173,    1 133 080,    7 944,    5 030,    2 914,    3.2728,    3.8867,    2.5718
45——49岁,    11 014 220,    5 887 935,    5 126 285,    46 401,    29 376,    17 025,    4.2128,    4.9892,    3.3211
  45,    2 283 086,    1 220 488,    1 062 598,    7 962,    5 075,    2 887,    3.4874,    4.1582,    2.7169
  46,    2 176 610,    1 164 391,    1 012 219,    8 466,    5 380,    3 086,    3.8895,    4.6204,    3.0487
  47,    2 229 546,    1 185 826,    1 043 720,    9 061,    5 746,    3 315,    4.0641,    4.8456,    3.1761
  48,    2 197 747,    1 177 160,    1 020 587,    10 061,    6 334,    3 727,    4.5779,    5.3807,    3.6518
  49,    2 127 231,    1 140 070,    987 161,    10 851,    6 841,    4 010,    5.1010,    6.0005,    4.0622
50——54岁,    10 410 979,    5 544 831,    4 866 148,    70 323,    44 723,    25 600,    6.7547,    8.0657,    5.2608
  50,    2 063 455,    1 112 052,    951 403,    11 934,    7 643,    4 291,    5.7835,    6.8729,    4.5102
  51,    2 128 544,    1 148 519,    980 025,    13 023,    8 303,    4 720,    6.1183,    7.2293,    4.8162
  52,    2 092 982,    1 117 665,    975 317,    13 909,    8 871,    5 038,    6.6455,    7.9371,    5.1655
  53,    2 102 025,    1 108 457,    993 568,    15 283,    9 744,    5 539,    7.2706,    8.7906,    5.5749
  54,    2 023 973,    1 058 138,    965 835,    16 174,    10 162,    6 012,    7.9912,    9.6037,    6.2247
55——59岁,    9 370 813,    4 930 635,    4 440 178,    100 523,    64 394,    36 129,    10.7272,    13.0600,    8.1368
  55,    2 028 301,    1 070 031,    958 270,    17 425,    11 060,    6 365,    8.5909,    10.3361,    6.6422
  56,    1 979 002,    1 044 438,    934 564,    18 520,    11 969,    6 551,    9.3583,    11.4598,    7.0097
  57,    1 812 062,    952 991,    859 071,    18 944,    12 145,    6 799,    10.4544,    12.7441,    7.9144
  58,    1 766 282,    931 592,    834 690,    21 426,    13 758,    7 668,    12.1306,    14.7683,    9.1866
  59,    1 785 166,    931 583,    853 583,    24 208,    15 462,    8 746,    13.5606,    16.5976,    10.2462
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表10——10 1989年全国镇分年龄、性别的死亡人口数(第二口径)(续02),,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
60——64岁,    7 553 330,    3 846 198,    3 707 132,    135 588,    85 628,    49 960,    17.9508,    22.2630,    13.4767
  60,    1 604 543,    826 584,    777 959,    24 831,    15 871,    8 960,    15.4754,    19.2007,    11.5173
  61,    1 640 928,    845 488,    795 440,    25 993,    16 547,    9 446,    15.8404,    19.5709,    11.8752
  62,    1 461 335,    749 971,    711 364,    26 360,    16 637,    9 723,    18.0383,    22.1835,    13.6681
  63,    1 406 097,    713 103,    692 994,    27 855,    17 507,    10 348,    19.8102,    24.5505,    14.9323
  64,    1 440 427,    711 052,    729 375,    30 549,    19 066,    11 483,    21.2083,    26.8138,    15.7436
65——69岁,    5 795 285,    2 802 451,    2 992 834,    165 904,    100 167,    65 737,    28.6274,    35.7426,    21.9648
  65,    1 317 716,    647 188,    670 528,    30 910,    19 028,    11 882,    23.4573,    29.4010,    17.7204
  66,    1 169 595,    570 252,    599 343,    30 030,    18 478,    11 552,    25.6756,    32.4032,    19.2744
  67,    1 158 115,    563 557,    594 558,    32 297,    19 688,    12 609,    27.8876,    34.9352,    21.2074
  68,    1 090 234,    522 884,    567 350,    35 529,    21 348,    14 181,    32.5884,    40.8274,    24.9952
  69,    1 059 625,    498 570,    561 055,    37 138,    21 625,    15 513,    35.0482,    43.3740,    27.6497
70——74岁,    3 971 939,    1 793 199,    2 178 740,    186 716,    105 145,    81 571,    47.0088,    58.6354,    37.4395
  70,    892 045,    414 196,    477 849,    37 584,    21 589,    15 995,    42.1324,    52.1227,    33.4729
  71,    854 746,    391 813,    462 933,    36 316,    20 885,    15 431,    42.4875,    53.3035,    33.3331
  72,    804 414,    363 075,    441 339,    37 847,    21 341,    16 506,    47.0492,    58.7785,    37.3998
  73,    741 463,    327 096,    414 367,    36 930,    20 511,    16 419,    49.8069,    62.7064,    39.6243
  74,    679 271,    297 019,    382 252,    38 039,    20 819,    17 220,    55.9997,    70.0932,    45.0488
75——79岁,    2 489 188,    1 030 048,    1 459 140,    170 426,    87 571,    82 855,    68.4665,    85.0164,    56.7834
  75,    652 583,    282 373,    370 210,    37 603,    20 351,    17 252,    57.6218,    72.0713,    46.6006
  76,    541 332,    228 419,    312 913,    34 553,    18 390,    16 163,    63.8296,    80.5099,    51.6533
  77,    478 979,    198 057,    280 922,    32 710,    16 832,    15 878,    68.2911,    84.9856,    56.5210
  78,    421 539,    169 335,    252 204,    32 932,    16 461,    16 471,    78.1233,    97.2097,    65.3082
  79,    394 755,    151 864,    242 891,    32 628,    15 537,    17 091,    82.6538,    102.3086,    70.3649
80——84岁,    1 221 410,    433 342,    788 068,    130 164,    57 444,    72 720,    106.5686,    132.5604,    92.2763
  80,    328 859,    123 586,    205 273,    31 624,    14 907,    16 717,    96.1628,    120.6205,    81．4379
  81,    278 913,    101 335,    177 578,    27 302,    12 418,    14 884,    97.8872,    122.5440,    83.8167
  82,    235 534,    82 492,    153 042,    25 815,    11 154,    14 661,    109.6020,    135.2131,    95.7972
  83,    208 650,    70 366,    138 284,    24 068,    10 193,    13 875,    115.3511,    144.8569,    100.3370
  84,    169 454,    55 563,    113 891,    21 355,    8 772,    12 583,    126.0224,    157.8748,    110.4828
85——89岁,    436 986,    131 220,    305 766,    66 714,    24 712,    42 002,    152.6685,    188.3250,    137.3665
  85,    135 751,    42 726,    93 025,    18 578,    7 318,    11 260,    136.8535,    171.2774,    121.0427
  86,    107 716,    33 026,    74 690,    15 710,    5 993,    9 717,    145.8465,    181.4631,    130.0977
  87,    84 818,    25 099,    59 719,    13 512,    4 957,    8 555,    159.3058,    197.4979,    143.2542
  88,    64 671,    18 430,    46 241,    11 035,    3 835,    7 200,    170.6329,    208.0846,    155.7060
  89,    44 030,    11 939,    32 091,    7 879,    2 609,    5 270,    178.9462,    218.5275,    164.2205
90岁及以上,    94 733,    22 999,    71 734,    22 130,    6 219,    15 911,    233.6039,    270.4031,    221.8056
