表10—11 1989年全国县分年龄、性别的死亡人口数,,,,,,,,,
,,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,    520 448 954,    267 726 350,  252 722 604,  3 339 452,    1 816 663,    1 522 789,    6.4165,    6.7855,    6.0255
0——4岁,    56 620 801,    29 614 105,    27 006 696,    437 305,    219 345,    217 960,    7.7234,    7.4068,    8.0706
  0,    11 675 113,    6 161 383,    5 513 730,    316 789,    157 899,    158 890,    27.1337,    25.6272,    28.8172
  1,    12 081 322,    6 331 515,    5 749 807,    52 207,    26 231,    25 976,    4.3213,    4.1429,    4.5177
  2,    12 150 379,    6 341 396,    5 808 983,    33 851,    17 065,    16 786,    2.7860,    2.6910,    2.8897
  3,    10 713 400,    5 571 820,    5 141 580,    20 788,    10 839,    9 949,    1.9404,    1．9453,    1.9350
  4,    10 000 587,    5 207 991,    4 792 596,    13 670,    7 311,    6 359,    1.3669,    1．4038,    1.3268
5——9岁,    48 696 726,    25 264 042,    23 432 684,    40 903,    23 990,    16 913,    0.8400,    0.9496,    0.7218
  5,    9 388 453,    4 890 180,    4 498 273,    10 353,    5 786,    4 567,    1.1027,    1.1832,    1.0153
  6,    9 806 821,    5 108 747,    4 698 074,    8 913,    5 181,    3 732,    0.9089,    1．0141,    0.7944
  7,    10 833 057,    5 613 725,    5 219 332,    8 342,    4 964,    3 378,    0.7701,    0.8843,    0.6472
  8,    9 089 379,    4 698 294,    4 391 085,    6 791,    4 174,    2 617,    0.7471,    0.8884,    0.5960
  9,    9 579 016,    4 953 096,    4 625 920,    6 504,    3 885,    2 619,    0.6790,    0.7844,    0.5662
10——14岁,    50 842 848,    26 171 988,    24 670 860,    33 221,    19 132,    14 089,    0.6534,    0.7310,    0.5711
  10,    9 619 723,    4 961 341,    4 658 382,    6 112,    3 552,    2 560,    0．6354,    0.7159,    0.5495
  11,    9 501 967,    4 893 687,    4 608 280,    5 852,    3 444,    2 408,    0．6159,    0.7038,    0.5225
  12,    9 922 916,    5 112 345,    4 810 571,    6 193,    3 517,    2 676,    0．6241,    0.6879,    0.5563
  13,    10 563 718,    5 432 828,    5 130 890,    6 996,    4 032,    2 964,    0.6623,    0.7422,    0.5777
  14,    11 234 524,    5 771 787,    5 462 737,    8 068,    4 587,    3 481,    0.7181,    0.7947,    0.6372
15——19岁,    60 454 503,    30 856 867,    29 597 636,    67 308,    37 245,    30 063,    1.1134,    1.2070,    1．0157
  15,    12 090 897,    6 209 767,    5 881 130,    9 728,    5 443,    4 285,    0.8046,    0.8765,    0.7286
  16,    12 107 076,    6 217 036,    5 890 040,    11 616,    6 387,    5 229,    0．9594,    1.0273,    0.8878
  17,    11 753 672,    6 023 293,    5 730 379,    13 295,    7 371,    5 924,    1.1311,    1.2237,    1.0338
  18,    12 287 171,    6 281 439,    6 005 732,    15 644,    8 653,    6 991,    1.2732,    1.3776,    1.1641
  19,    12 215 687,    6 125 332,    6 090 355,    17 025,    9 391,    7 634,    1.3937,    1．5331,    1.2535
20——24岁,    58 059 973,    29 668 616,    28 391 357,    85 922,    46 186,    39 736,    1.4799,    1．5567,    1.3996
  20,    12 678 042,    6 417 025,    6 261 017,    18 277,    9 888,    8 389,    1．4416,    1．5409,    1.3399
  21,    11 605 679,    5 933 034,    5 672 645,    17 363,    9 366,    7 997,    1.4961,    1．5786,    1.4097
  22,    10 945 452,    5 598 833,    5 346 619,    16 277,    8 678,    7 599,    1.4871,    1．5500,    1.4213
  23,    11 781 161,    6 057 061,    5 724 100,    17 086,    9 107,    7 979,    1．4503,    1.5035,    1.3939
  24,    11 049 639,    5 662 663,    5 386 976,    16 919,    9 147,    7 772,    1.5312,    1.6153,    1.4427
25——29岁,    39 638 190,    20 370 304,    19 267 886,    59 298,    32 274,    27 024,    1．4960,    1.5844,    1.4025
  25,    10 977 704,    5 619 047,    5 358 657,    16 543,    8 819,    7 724,    1.5070,    1.5695,    1.4414
  26,    11 571 183,    5 985 675,    5 585 508,    15 833,    8 657,    7 176,    1.3683,    1.4463,    1.2848
  27,    6 866 370,    3 496 056,    3 370 314,    10 308,    5 607,    4 701,    1.5012,    1.6038,    1．3948
  28,    4 507 602,    2 281 679,    2 225 923,    7 658,    4 196,    3 462,    1.6989,    1.8390,    1.5553
  29,    5 715 331,    2 987 847,    2 727 484,    8 956,    4 995,    3 961,    1.5670,    1.6718,    1.4523
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    合计,    男,    女
30——34岁,    37 507 759,    19 645 847,    17 861 912,    66 423,    38 156,    28 267,    1.7709,    1.9422,    1.5825
  30,    5 769 388,    3 046 672,    2 722 716,    10 261,    5 887,    4 374,    1.7785,    1．9323,1.6065
  31,    7 882 926,    4 171 668,    3 711 258,    12 935,    7 395,    5 540,    1.6409,    1.7727,    1.4928
  32,    7 807 747,    4 081 989,    3 725 758,    13 502,    7 773,    5 729,    1.7293,    1.9042,    1.5377
  33,    7 579 882,    3 933 022,    3 646 860,    13 807,    7 949,    5 858,    1.8215,    2.0211,    1.6063
  34,    8 467 816,    4 412 496,    4 055 320,    15 918,    9 152,    6 766,    1.8798,    2.0741,    1.6684
35——39岁,    36 744 819,    19 001 416,    17 743 403,    80 624,    47 013,    33 611,    2.1942,    2.4742,    1.8943
  35,    8 062 012,    4 170 108,    3 891 904,    16 476,    9 428,    7 048,    2.0437,    2.2609,    1.8109
  36,    7 729 246,    3 984 513,    3 744 733,    16 476,    9 462,    7 014,    2.1316,    2.3747,    1.8730
  37,    7 615 337,    3 925 062,    3 690 275,    15 753,    9 244,    6 509,    2.0686,    2.3551,    1.7638
  38,    6 449 269,    3 316 883,    3 132 386,    15 158,    8 819,    6 339,    2.3503,    2.6588,    2.0237
  39,    6 888 955,    3 604 850,    3 284 105,    16 761,    10 060,    6 701,    2.4330,    2.7907,    2.0404
40——44岁,    26 903 910,    14 025 103,    12 878 807,    84 310,    50 369,    33 941,    3.1337,    3.5913,    2.6354
  40,    5 915 313,    3 096 577,    2 818 736,    16 977,    10 240,    6 737,    2.8700,    3.3069,    2.3901
  41,    5 657 987,    2 961 019,    2 696 968,    16 143,    9 715,    6 428,    2.8531,    3.2810,    2.3834
  42,    5 449 545,    2 840 898,    2 608 647,    16 595,    9 836,    6 759,    3.0452,    3.4623,    2.5910
  43,    5 041 748,    2 600 606,    2 441 142,    16 636,    9 918,    6 718,    3.2996,    3.8137,    2.7520
  44,    4 839 317,    2 526 003,    2 313 314,    17 959,    10 660,    7 299,    3.7111,    4.2201,    3.1552
45——49岁,    22 024 735,    11 666 876,    10 357 859,    104 031,    63 272,    40 759,    4.7234,    5.4232,    3.9351
  45,    4 654 626,    2 459 466,    2 195 160,    18 174,    10 994,    7 180,    3.9045,    4.4701,    3.2708
  46,    4 371 322,    2 316 143,    2 055 179,    18 775,    11 555,    7 220,    4.2950,    4.9889,    3.5131
  47,    4 450 793,    2 356 314,    2 094 479,    20 162,    12 225,    7 937,    4.5300,    5.1882,    3.7895
  48,    4 347 611,    2 309 230,    2 038 381,    22 665,    13 774,    8 891,    5.2132,    5.9648,    4.3618
  49,    4 200 383,    2 225 723,    1 974 660,    24 255,    14 724,    9 531,    5.7745,    6.6154,    4.8267
50——54岁,    20 294 831,    10 787 444,    9 507 387,    151 381,    92 833,    58 548,    7.4591,    8.6057,    6.1582
  50,    4 013 598,    2 148 630,    1 864 968,    26 093,    15 931,    10 162,    6.5011,    7.4145,    5.4489
  51,    4 150 594,    2 231 620,    1 918 974,    27 917,    17 217,    10 700,    6.7260,    7.7150,    5.5759
  52,    4 104 389,    2 182 641,    1 921 748,    29 803,    18 196,    11 607,    7.2613,    8.3367,    6.0398
  53,    4 077 996,    2 155 418,    1 922 578,    32 529,    20 012,    12 517,    7.9767,    9.2845,    6.5105
  54,    3 948 254,    2 069 135,    1 879 119,    35 039,    21 477,    13 562,    8.8746,    10.3797,    7.2172
55——59岁,    18 653 338,    9 749 584,    8 903 754,    218 551,    135 385,    83 166,    11.7165,    13.8862,    9.3406
  55,    3 984 349,    2 097 996,    1 886 353,    37 985,    23 670,    14 315,    9.5336,    11.2822,    7.5887
  56,    3 936 776,    2 069 542,    1 867 234,    39 614,    24 520,    15 094,    10.0625,    11.8480,    8.0836
  57,    3 602 574,    1 876 098,    1 726 476,    41 212,    25 514,    15 698,    11.4396,    13.5995,    9.0925
  58,    3 532 376,    1 842 026,    1 690 350,    46 801,    29 149,    17 652,    13.2492,    15.8244,    10.4428
  59,    3 597 263,    1 863 922,    1 733 341,    52 939,    32 532,    20 407,    14.7165,    17.4535,    11.7732
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表10——11 1989年全国县分年龄、性别的死亡人口数(第二口径)(续02),,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
60——64岁,    15 424 894,    7 868 572,    7 556 322,    302 092,    184 415,    117 677,    19.5847,    23.4369,    15.5733
  60,    3 262 264,    1 678 985,    1 583 279,    55 244,    33 828,    21 416,    16.9343,    20.1479,    13.5264
  61,    3 341 791,    1 723 197,    1 618 594,    57 491,    35 338,    22 153,    17.2036,    20.5072,    13.6866
  62,    2 962 496,    1 522 514,    1 439 982,    57 907,    35 425,    22 482,    19.5467,    23.2674,    15.6127
  63,    2 842 891,    1 446 874,    1 396 017,    62 065,    37 530,    24 535,    21.8316,    25.9387,    17.5750
  64,    3 015 452,    1 497 002,    1 518 450,    69 385,    42 294,    27 091,    23.0098,    28.2525,    17.8412
65——69岁,    12 115 214,    5 917 278,    6 197 936,    375 362,    220 737,    154 625,    30.9827,    37.3038,    24.9478
  65,    2 789 452,    1 384 345,    1 405 107,    69 977,    42 121,    27 856,    25.0863,    30.4267,    19.8248
  66,    2 437 462,    1 202 456,    1 235 006,    67 664,    40 370,    27 294,    27.7600,    33.5730,    22.1003
  67,    2 373 680,    1 163 359,    1 210 321,    71 280,    42 092,    29 188,    30.0293,    36.1814,    24．1159
  68,    2 262 006,    1 094 917,    1 167 089,    80 403,    46 662,    33 741,    35.5450,    42.6169,    28.9104
  69,    2 252 614,    1 072 201,    1 180 413,    86 038,    49 492,    36 546,    38.1947,    46.1593,    30.9604
70——74岁,    8 280 873,    3 819 733,    4 461 140,    422 702,    233 054,    189 648,    51.0456,    61.0132,    42.5111
  70,    1 874 842,    881 315,    993 527,    85 996,    48 401,    37 595,    45.8684,    54.9191,    37.8399
  71,    1 780 427,    831 792,    948 635,    83 088,    46 670,    36 418,    46.6675,    56.1078,    38.3899
  72,    1 677 670,    775 559,    902 111,    85 169,    47 148,    38 021,    50.7662,    60.7923,    42.1467
  73,    1 548 621,    703 211,    845 410,    83 639,    45 478,    38 161,    54.0087,    64.6719,    45.1390
  74,    1 399 313,    627 856,    771 457,    84 810,    45 357,    39 453,    60.6083,    72.2411,    51．1409
75——79岁,    4 928 799,    2 120 690,    2 808 109,    370 084,    189 195,    180 889,    75.0860,    89.2139,    64.4167
  75,    1 324 082,    588 745,    735 337,    82 941,    43 884,    39 057,    62.6404,    74.5382,    53.1144
  76,    1 075 038,    469 602,    605 436,    75 830,    39 758,    36 072,    70.5370,    84.6632,    59.5802
  77,    935 565,    402 656,    532 909,    70 097,    36 005,    34 092,    74.9248,    89.4188,    63.9734
  78,    813 312,    342 057,    471 255,    70 498,    35 241,    35 257,    86.6801,    103.0267,    74.8151
  79,    780 802,    317 630,    463 172,    70 718,    34 307,    36 411,    90.5710,    108.0093,    78.6123
80——84岁,    2 338 816,    881 741,    1 457 075,    276 920,    123 805,    153 115,    118.4018,    140.4097,    105.0838
  80,    646 952,    254 948,    392 004,    68 877,    32 255,    36 622,    106.4638,    126.5160,    93.4225
  81,    541 469,    208 515,    332 954,    58 982,    26 981,    32 001,    108.9296,    129.3960,    96.1124
  82,    448 588,    167 214,    281 374,    55 145,    24 521,    30 624,    122.9302,    146.6444,    108.8373
  83,    388 869,    140 785,    248 084,    50 168,    21 673,    28 495,    129.0100,    153.9440,    114.8603
  84,    312 938,    110 279,    202 659,    43 748,    18 375,    25 373,    139.7977,    166.6228,    125.2005
85——89岁,    767 746,    253 253,    514 493,    126 189,    48 675,    77 514,    164.3630,    192.1991,    150.6609
  85,    247 776,    85 028,    162 748,    36 839,    14 974,    21 865,    148.6786,    176.1067,    134.3488
  86,    191 599,    63 838,    127 761,    30 617,    12 015,    18 602,    159.7973,    188.2108,    145.6000
  87,    144 744,    46 933,    97 811,    24 528,    9 351,    15 177,    169.4578,    199.2415,    155.1666
  88,    108 203,    33 923,    74 280,    20 172,    7 384,    12 788,    186.4274,    217.6694,    172.1594
  89,    75 424,    23 531,    51 893,    14 033,    4 951,    9 082,    186.0548,    210.4033,    175.0140
90岁及以上,    150 179,    42 891,    107 288,    36 826,    11 582,    25 244,    245.2140,    270.0333,    235.2919
