 表10—12全国分民族的死亡人口数,,,,,,,,,,,,
 (1989．1．1．——1990．6．30．),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    民族别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,  10 328 902,    5 647 317,    4 681 585,    3 280 799,  805 163, 1 475 636,    3 292 160,    1 814 609,    1 477 551,    3 755 943,    2 027 545,    1 728 398
汉族,    9 417 386,    5 154 446,    4 262 940,    2 997 959,  650 907, 1 347 052,    3 002 433,    1 657 134,    1 345 299,    3 416 994,    1 846 405,    1 570 589
蒙古族,    38 540,    22 472,    16 068,    10 760,    6 376,    4 384,    11 674,    6 861,    4 813,    16 106,    9 235,    6 871
回族,    66 504,    36 695,    29 809,    20 147,    11 276,    8 871,    21 065,    11 669,    9 396,    25 292,    13 750,    11 542
藏族,    59 516,    30 374,    29 142,    18 523,    9 542,    8 981,    18 137,    9 279,    8 858,    22 856,    11 553,    11 303
维吾尔族,    91 140,    49 778,    41 362,    29 176,    15 958,    13 218,    27 076,    15 068,    12 008,    34 888,    18 752,    16 136
苗族,    80 817,    42 707,    38 110,    25 435,    13 596,    11 839,    26 477,    13 996,    12 481,    28 905,    15 115,    13 790
彝族,    79 549,    42 059,    37 490,    23 983,    12 771,    11 212,    26 428,    14 109,    12 319,    29 138,    15 179,    13 959
壮族,    141 377,    74 195,    67 182,    44 771,    23 780,    20 991,    45 316,    23 972,    21 344,    51 290,    26 443,    24 847
布依族,    31 140,    16 381,    14 759,    9 114,    4 859,    4 255,    10 564,    5 487,    5 077,    11 462,    6 035,    5 427
朝鲜族,    19 234,    10 899,    8 335,    5 939,    3 439,    2 500,    6 171,    3 544,    2 627,    7 124,    3 916,    3 208
满族,    63 908,    38 215,    25 693,    19 344,    11 616,    7 728,    19 504,    11 801,    7 703,    25 060,    14 798,    10 262
侗族,    25 069,    13 661,    11 408,    8 080,    4 431,    3 649,    7 990,    4 343,    3 647,    8 999,    4 887,    4 112
瑶族,    21 741,    12 050,    9 691,    6 929,    3 920,    3 009,    7 035,    3 875,    3 160,    7 777,    4 255,    3 522
白族,    16 646,    8 705,    7 941,    5 396,    2 841,    2 555,    5 480,    2 848,    2 632,    5 770,    3 016,    2 754
土家族,    59 060,    31 578,    27 482,    19 101,    10 190,    8 911,    18 086,    9 853,    8 233,    21 873,    1 1535,    10 338
哈尼族,    18 308,    9 537,    8 771,    5 687,    2 981,    2 706,    6 261,    3 208,    3 053,    6 360,    3 348,    3 012
哈萨克族,    10 511,    6 048,    4 463,    2 893,    1 703,    1 190,    3 201,    1 861,    1 340,    4 417,    2 484,    1 933
傣族,    11 554,    6 242,    5 312,    3 842,    2 095,    1 747,    3 689,    2 016,    1 673,    4 023,    2 131,    1 892
黎族,    10 339,    5 843,    4 496,    3 287,    1 899,    1 388,    3 361,    1 873,    1 488,    3 691,    2 071,    1 620
傈僳族,    8 693,    4 459,    4 234,    2 785,    1 450,    1 335,    2 812,    1 413,    1 399,    3 096,    1 596,    1 500
佤族,    6 905,    3 586,    3 319,    2 082,    1 081,    1 001,    2 528,    1 300,    1 228,    2 295,    1 205,    1 090
畲族,    5 727,    3 293,    2 434,    1 935,    1 095,    840,    1 834,    1 078,    756,    1 958,    1 120,    838
高山族,    23,    14,    9,      5,      3,      2,      5,    4,    1,    13,       7,    6
拉祜族,    7 201,    3 815,    3 386,    2 316,    1 228,    1 088,    2 352,    1 222,    1 130,    2 533,    1 365,    1 168
水族,    3 694,    1 973,    1 721,    1 125,    584,    541,    1 260,    703,    557,    1 309,    686,    623
东乡族,    3 048,    1 553,    1 495,    831,    451,    380,    1 015,    488,    527,    1 202,    614,    588
纳西族,    3 203,    1 675,    1 528,    1 004,    525,    479,    1 077,    566,    511,    1 122,    584,    538
景颇族,    1 880,    949,    931,    572,    287,    285,    696,    353,    343,    612,    309,    303
柯尔克孜族,    1 948,    998,    950,    549,    291,    258,    529,    256,    273,    870,    451,    419
土族,    1 921,    1 042,    879,    530,    279,    251,    601,    350,    251,    790,    413,    377
达斡尔族,    1 213,    736,    477,    339,    212,    127,    378,    231,    147,    496,    293,    203
