表10—13 全国6岁以上死亡人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    年龄别,,,,,,,,,,,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    145 304,    115 829,    29 475,    717 470,    562 617,    154 853,    2 347 035,    1 819 189,    527 846,  5 815 196,    2 472 173,    3 343 023
总计,    9 104 489,    5 034 072,    4 070 417,    19 122,    16 245,    2 877,    21 456,    18 415,    3 041,    38 906,    29 604,    9 302,,,6——9岁,     ——,     ——,     ——,     ——,     ——,     ——,    38 537,    25 193,    13 344,    41 151,    23 118,    18 033
6——9岁,    79 688,    48 311,    31 377,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  6,     ——,     ——,     ——,     ——,     ——,     ——,    4 821,    3 140,    1 681,    18 101,    10 407,    7 694
  6,    22 922,    13 547,    9 375,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  7,     ——,     ——,     ——,     ——,     ——,     ——,    10 301,    6 710,    3 591,    11 411,    6 505,    4 906
  7,    21 712,    13 215,    8 497,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  8,     ——,     ——,     ——,     ——,     ——,     ——,    11 561,    7 718,    3 843,    6 833,    3 709,    3 124
  8,    18 394,    11 427,    6 967,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,  9,     ——,     ——,     ——,     ——,     ——,     ——,    11 854,    7 625,    4 229,    4 806,    2 497,    2 309
  9,    16 660,    10 122,    6 538,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,    ——,,,10——14岁,    50,    36,    14,    8 278,    5 362,    2 916,    57 174,    34 172,    23 002,    18 344,    9 389,    8 955
10——14岁,    83 856,    48 964,    34 892,    ——,    ——,    ——,    ——,    ——,    ——,    10,    5,    5,,,  10,    ——,    ——,    ——,    8,    7,    1,    12 034,    7 463,    4 571,    3 969,    2 043,    1 926
