,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30)(续06),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30)(续10),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30)(续18),,,,,,,,,,,,,,,,,,表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30)(续20),,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——14全国15岁以上死亡人口生前所从事的主要职业(1989．1．1——1990．6．30)(续26),,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    科学技术管理人员和辅助人员,,,    飞机和船舶技术人员,,,    卫生技术人员,,,    经济业务人员,,,,,,    法律工作人员,,,    教学人员,,,文艺、体育工作人员,,,    文化工作人员,,,    宗教职业者,,,,,,,,,,,,,,,,,,,,,,,,    行政办事人员,,,    政治、保卫工作人员,,,    邮电工作人员,,,    其他办事人员和有关人员,,,    四、商业工作人员,,,,,,,,,,,,,,,,,,,,,,,,    服务员,,,    厨师和炊事员,,,    导游员,,,    生活日用品修理人员,,,    其他服务性工作人员,,,,,,    六、农、林、牧、渔劳动者,,,    农业劳动者,,,    林业劳动者,,,    牧业劳动者,,,    渔业劳动者,,,,,,    狩猎业劳动者,,,    农业机械操作人员,,,    其他农林牧渔劳动者,,,    七、生产工人、运输,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    造纸和纸制品制作工人,,,    印刷工人和有关人员,,,    石料切割和雕刻工,,,    锻工、工具制造工、,,,,,,,,,    电气、电子设备安装工、,,,    广播电台(站)录音设备,,,    管工、焊工、冷作工,,,    玻璃、陶瓷和搪瓷制品工人,,,    油漆工人,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    一、各类专业、技术人员,,,    科学研究人员,,,    工程技术人员和农林技术人员,,,,,    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    二、国家机关、党群组织、,,,    国家机关及其工,,,,,,    企、事业单位及其,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    售货人员,,,    采购员和供销人员,,,    收购人员,,,    其他商业工作人员,,,    五、服务性工作人员,,,,,    年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,    工人和有关人员,,,    工段长,,,,,,    采矿、采石、勘探、,,,,,,,,,,,,,,,,,,    皮革、皮毛制造及制品制作工人,,,    裁剪缝纫工人,,,    食品饮料制造工人,,,    制烟工人,,,    木材加工和木、竹、麻、,,,,,    年龄别,,,,,,,,,,    机床安装操作工,,,  机器装配工和精密仪器制造工,,,,,,    修理工、装配工和有关人员,,,    操作人员和电影放映员,,,    和金属构件安装工,,,,,,,,,,,,    其他生产工人和有关人员,,,    建筑工人,,,    动力设备操作工,,,    装卸工和有关设备操作工,,,    运输设备操作工,,,,
    年龄别,,,,,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    企事业单位负责人,,,    作机构负责人,,,    党群组织负责人,,,,,,    三、办事人员和有关人员,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,    钻井、采盐工人,,,    金属冶炼和处理工人,,,    化学工人,,,    橡胶和塑料制品生产工人,,,    纺织、针织、印染工人,,,,,    年龄别,,,,,,,,,,,,,    藤、棕、草制品制作工人,,,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,    年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,
,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    214,    183,    31,    1 072,    1 052,    20,    29 758,    22 892,    6 866,    47 371,    38 543,    8 828,,,总计,    1 166,    1 072,    94,    52 985,    41 563,    11 422,    3 414,    2 960,    454,    2 581,    1 717,    864,    2 521,    1 867,    654,,,    年龄别,,,,,,,,,,    工作机构负责人,,,,,,,,总计,    35 424,    31 876,    3 548,    15 441,    14 053,    1 388,    3 532,    2 817,    715,    2 041,    1 664,    377,    124 337,    91 723,    32 614,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    102 791,    72 109,    30 682,    31 661,    26 381,    5 280,    11,    9,    2,    8 383,    7 827,    556,    1 061,    753,    308,,,总计,    6 789 361,    3 792 174,    2 997 187,    6 692 959,    3 733 226,  2 959 733,  17 884,    13 824,    4 060,    49 439,    21 097,    28 342,    24 271,    20 455,    3 816,,,总计,    54,    49,    5,    1 773,    1 695,    78,    2 981,    1 828,    1 153,  562 288,  452 110,    110 178,    4 235,    4 041,    194,,,    年龄别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    5 648,    3 124,    2 524,    5 906,    3 648,    2 258,    2 469,    2 404,    65,    38 822,    33 454,    5 368,    26 136,    23 427,  2 709,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,
总计,    8 940 946,    4 936 797,    4 004 149,    166 702,    133 772,    32 930,    6 114,    3 883,    2 231,    19 506,    18 040,    1 466,,,15——19岁,    2,    1,    1,    6,    6,   ——,    96,    43,    53,    210,    103,    107,,,15——19岁,    2,   ——,    2,    274,    116,    158,    39,    16,    23,    11,8,    3,    54,    48,    6,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,15——19岁,    66,    38,    28,    208,    202,    6,    36,    22,    14,    12,    4,    8,    912,    483,    429,,,总计,    99 542,    68 941,    30 601,    19 666,    18 463,    1 203,    4 682,    3 922,    760,    447,    397,    50,  143 907,  107 079,  36 828,,,15——19岁,    759,    327,    432,    116,    71,    45,    1,    1,  ——,    128,    115,    13,    12,    6,    6,,,15——19岁,    129 455,    69 471,    59 984,    127 372,    68 184,    59 188,    307,    191,    116,    1 261,    673,    588,    409,    333,    76,,,15——19岁,    2,    2,   ——,    72,    70,    2,    32,    18,    14,    9 432,    6 379,    3 053,    1,    1,   ——,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    4 640,    3 356,    1 284,    27 493,    13 025,    14 468,    22 032,    17 471,    4 561,    921,    479,    442,    55 354,  48 794,    6 560,,,15——19岁,    122,    66,    56,    77,    32,    45,    66,    64,    2,    466,    342,    124,    324,    291,    33,,,总计,    22 544,    18 897,    3 647,    1 085,    950,    135,    15 004,    12 740,    2 264,    5 264,    3 885,    1 379,    5 556,    4 044,    1 512,,,总计,    21 359,    12 343,    9 016,    46 150,    42 290,    3 860,    9 223,    8 314,    909,  41 500,    36 963,    4 537,    62 928,    58 584,  4 344,,
15——19岁,    179 058,    100 590,    78 468,    860,    434,    426,    134,    71,    63,    32,    22,    10,,,  15,   ——,   ——,   ——,    1,    1,   ——,    ——,    ——,    ——,    2,    ——,    2,,,  15,   ——,   ——,   ——,    20,    13,    7,    3,    1,    2,   ——,   ——,   ——,    8,    7,    1,,,总计,    77 365,    72 660,    4 705,    11 261,    10 876,    385,    20 096,    17 796,    2 300,  46 008,    43 988,    2 020,  56 438,    50 410,    6 028,,,  15,   ——,   ——,   ——,    1,    1,  ——,  ——,  ——,  ——,  ——,  ——,  ——,    30,    14,    16,,,15——19岁,    811,    397,    414,    80,    70,    10,    18,    13,    5,    3,    3,   ——,    1 016,    520,    496,,,  15,    33,    11,    22,    3,    1,    2,  ——,  ——,  ——,    8,    8,  ——,    2,   ——,    2,,,  15,    14 432,    7 561,    6 871,    14 170,    7 404,    6 766,    26,    15,    11,    203,    118,    85,    28,    20,    8,,,  15,   ——,   ——,   ——,    3,    3,   ——,    2,    1,    1,    414,    231,    183,   ——,   ——,   ——,,,总计,    41 282,    39 429,    1 853,    15 258,    12 718,    2 540,    7 113,    4 876,    2 237,    5 060,    2 503,    2 557,  27 600,    9 599,    18 001,,,15——19岁,    84,    30,    54,    784,    123,    661,    220,    143,    77,    16,    7,    9,    652,    536,    116,,,  15,    8,    3,    5,    3,    1,    2,    5,    5,   ——,    14,    12,    2,    8,    6,    2,,,15——19岁,    393,    306,    87,    13,    10,    3,    225,    184,    41,    81,    42,    39,    130,    96,    34,,,15——19岁,    602,    261,    341,    1 065,    983,    82,    143,    119,    24,    258,    209,    49,    991,    914,    77,,
  15,    24 695,    13 999,    10 696,    53,    33,    20,    17,    10,    7,    2,    1,    1,,,  16,   ——,   ——,   ——,    2,    2,   ——,    5,    3,    2,    9,    3,    6,,,  16,   ——,   ——,   ——,    21,    7,    14,     3,    1,    2,    1,    1,   ——,    12,    10,    2,,,15——19岁,    16,    7,    9,   ——,     ——,  ——,    3,    ——,    3,    13,    7,    6,    322,    266,    56,,,  16,    1,    1,   ——,    8,    8,—,    1,    1,  ——,  ——,  ——,  ——,    85,    40,    45,,,  15,    28,    14,    14,    1,   ——,    1,    1,   ——,    1,   ——,   ——,   ——,    46,    20,    26,,,  16,    69,    31,    38,    10,    3,    7,  ——,  ——,  ——,    15,    11,    4,   ——,   ——,   ——,,,  16,    20 481,    10 853,    9 628,    20 153,    10 656,    9 497,    42,    27,    15,    231,    126,    105,    46,    36,    10,,,  16,   ——,   ——,   ——,    6,    5,    1,    3,    3,   ——,    919,    575,    344,   ——,   ——,   ——,,,15——19岁,    1 059,    1 003,    56,    216,    166,    50,    145,    94,    51,    129,    48,    81,    860,    168,    692,,,  15,    5,    1,    4,    56,    8,    48,    8,    7,    1,    1,  ——,    1,    32,    20,    12,,,  16,    10,    4,    6,    7,    4,    3,    13,    13,   ——,    44,    33,    11,    29,    28,    1,,,  15,    9,    7,    2,    2,    1,    1,    3,    2,    1,    3,    1,    2,    8,    7,    1,,,  15,    48,    14,    34,    47,    44,    3,    2,    2,   ——,    10,    9,    1,    33,    29,    4,,
  16,    29 930,    16 745,    13 185,    77,    40,    37,    23,    12,    11,    1,    1,    ——,,,  17,   ——,   ——,   ——,    2,    2,   ——,    15,    9,    6,    23,    14,    9,,,  17,    1,   ——,    1,    38,    18,    20,    9,    6,    3,    1,   ——,    1,    13,    13,  ——,,,  15,    1,   ——,    1,   ——,     ——,  ——,    1,    ——,    1,   ——,   ——,   ——,    1,    1,   ——,,,  17,    13,    8,    5,    41,    39,    2,    5,    3,    2,    2,    1,    1,    156,    83,    73,,,  16,    81,    36,    45,    1,    1,   ——,    1,    1,  ——,    2,    2,   ——,    94,    45,    49,,,  17,    145,    63,    82,    13,    8,    5,  ——,  ——,  ——,    27,    24,    3,    4,    2,    2,,,  17,    26 089,    14 051,    12 038,    25 650,    13 778,    11 872,    47,    29,    18,    272,    151,    121,    94,    73,    21,,,  17,   ——,   ——,   ——,    18,    18,   ——,    8,    2,    6,    1 653,    1 084,    569,    1,    1,   ——,,,  15,    38,    35,    3,    10,    6,    4,    4,    3,    1,    8,    1,    7,    42,    3,    39,,,  16,    5,    2,    3,    103,    12,    91,    14,    10,    4,    2,    2,   ——,    69,    51,    18,,,  17,    21,    13,    8,    12,    6,    6,    13,    11,    2,    72,    49,    23,    60,    56,    4,,,  16,    27,    19,    8,    2,    1,    1,    17,    15,2,    6,    2,    4,    16,    14,    2,,,  16,    68,    29,    39,    116,    108,    8,    12,    9,    3,    28,    24,    4,    74,    67,    7,,
  17,    35 529,    19 892,    15 637,    136,    78,    58,    29,    14,    15,    5,    2,    3,,,  18,   ——,   ——,   ——,    1,    1,   ——,    15,    5,    10,    62,    31,    31,,,  18,   ——,   ——,   ——,    69,    24,    45,    9,    3,    6,    4,    2,    2,    11,    10,    1,,,  16,    2,   ——,    2,   ——,     ——,  ——,   ——,    ——,   ——,    2,   ——,    2,    10,    10,   ——,,,  18,    18,    10,    8,    67,    65,    2,    12,    8,    4,    2,   ——,    2,    255,    133,    122,,,  17,    139,    70,    69,    15,    12,    3,    1,   ——,    1,    1,    1,   ——,    189,    97,    92,,,  18,    215,    104,    111,    37,    25,    12,    1,    1,  ——,    32,    31,    1,2,   ——,    2,,,  18,    32 185,    17 390,    14 795,    31 676,    17 081,    14 595,    92,    59,    33,    264,    126,    138,    126,    103,    23,,,  18,   ——,   ——,   ——,    16,    15,    1,    11,    6,    5,    2 658,    1 844,    814,   ——,   ——,   ——,,,  16,    82,    77,    5,    22,    15,    7,    11,    7,    4,    13,    3,    10,    103,    13,    90,,,  17,    15,    6,    9,    170,    24,    146,    38,    23,    15,    2,  ——,    2,    113,    91,    22,,,  18,    31,    18,    13,    22,    9,    13,    15,    15,   ——,    145,    109,    36,    79,    69,    10,,,  17,    56,    41,    15,    3,    3,   ——,    41,    31,    10,    13,    5,    8,    23,    18,    5,,,  17,    130,    60,    70,    205,    192,    13,    15,    14,    1,    48,    42,    6,    168,    156,    12,,
  18,    41 946,    23 546,    18 400,    210,    98,    112,    33,    16,    17,    6,    6,    ——,,,  19,    2,    1,    1,   ——,    ——,   ——,    61,    26,    35,    114,    55,    59,,,  19,    1,   ——,    1,    126,    54,    72,    15,    5,    10,    5,    5,   ——,    10,    8,    2,,,  17,    4,    2,    2,   ——,     ——,  ——,   ——,    ——,   ——,    4,    2,    2,    61,    51,    10,,,  19,    34,    19,    15,    91,    89,    2,    18,    10,    8,    8,    3,    5,    386,    213,    173,,,  18,    228,    112,    116,    21,    17,    4,    6,    4,    2,   ——,  ——,   ——,    287,    161,    126,,,  19,    297,    118,    179,    53,    34,    19,  ——,  ——,  ——,    46,    41,    5,    4,    4,   ——,,,  19,    36 268,    19 616,    16 652,    35 723,    19 265,    16 458,    100,    61,    39,    291,    152,    139,    115,    101,    14,,,  19,    2,    2,   ——,    29,    29,   ——,    8,    6,    2,    3 788,    2 645,    1 143,   ——,   ——,   ——,,,  17,    151,    142,    9,    36,    26,    10,    27,    22,    5,    26,    10,    16,    152,    24,    128,,,  18,    24,    7,    17,    204,    46,    158,    74,    53,    21,    5,    4,    1,    192,    161,    31,,,  19,    52,    28,    24,    33,    12,    21,    20,    20,   ——,    191,    139,    52,    148,    132,    16,,,  18,    115,    93,    22,    2,    2,   ——,    68,    52,    16,    20,    10,    10,    39,    29,    10,,,  18,    167,    69,    98,    290,    267,    23,    37,    32,    5,    70,    49,    21,    303,    279,    24,,
  19,    46 958,    26 408,    20 550,    384,    185,    199,    32,    19,    13,    18,    12,    6,,,20——24岁,    5,    5,   ——,    15,    14,    1,    409,    157,    252,    1 114,    552,    562,,,20——24岁,    34,    30,    4,    1 423,    700,    723,    82,    59,    23,    74,    39,    35,    61,    57,    4,,,  18,    4,    2,    2,   ——,     ——,  ——,    1,    ——,    1,    3,    2,    1,    99,    83,    16,,,20——24岁,    451,    284,    167,    681,    643,    38,    140,    89,    51,    51,    35,    16,    2 668,    1 473,    1 195,,,  19,    335,    165,    170,    42,    40,    2,    9,    8,    1,   ——,  ——,   ——,    400,    197,    203,,,20——24岁,    1 638,    807,    831,    291,    190,    101,    2,    1,    1,    325,    298,    27,    25,    16,    9,,,20——24岁,    190 060,    100 543,    89 517,    186 819,    98 564,    88 255,    661,    441,    220,    1 641,    743,    898,    698,    587,    111,,,20——24岁,    4,    4,   ——,    170,    169,    1,    67,    35,    32,    24 157,    18 085,    6 072,    26,    22,    4,,,  18,    302,    290,    12,    63,    51,    12,    34,    24,    10,    33,    13,    20,    235,    50,    185,,,  19,    35,    14,    21,    251,    33,    218,    86,    50,    36,    6,    1,    5,    246,    213,    33,,,20——24岁,    245,    154,    91,    209,    109,    100,    99,    96,    3,    1 327,    1 026,    301,    931,    839,    92,,,  19,    186,    146,    40,    4,    3,    1,    96,    84,    12,    39,    24,    15,    44,    28,    16,,,  19,    189,    89,    100,    407,    372,    35,    77,    62,    15,    102,    85,    17,    413,    383,    30,,
