表10—15全国15岁以上死亡人口的婚姻状况,,,,,,,,,,,,,,,
(1989．1．1——1990．6．30),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
总计,  8 940 946,    4 936 797,  4 004 149,    628 049,    486 268,  141 781,    4 757 841, 3 051 337, 1 706 504,  3 456 282, 1 316 546, 2 139 736,  98 774, 82 646,  16 128
15——19岁,    179 058,    100 590,    78 468,    168 925,    98 043,  70 882,    9 506,    2 281,    7 225,    401,    178,    223,    226,    88,    138
  15,    24 695,    13 999,    10 696,    24 417,    13 888,  10 529,    221,    81,    140,    50,    25,    25,    7,    5,    2
  16,    29 930,    16 745,    13 185,    29 477,    16 612,  12 865,    393,    109,    284,    52,    23,    29,    8,    1,    7
  17,    35 529,    19 892,    15 637,    34 385,    19 599,  14 786,    1 055,    256,    799,    69,    30,    39,    20,    7,    13
  18,    41 946,    23 546,    18 400,    39 363,    22 966,  16 397,    2 424,    515,    1 909,    99,    40,    59,    60,    25,    35
  19,    46 958,    26 408,    20 550,    41 283,    24 978,  16 305,    5 413,    1 320,    4 093,    131,    60,    71,    131,    50,    81
20——24岁,  243 239,    135 061,    108 178,    139 706,    97 948,  41 758,    100 020,    35 167,    64 853,    1 548,    728,    820,    1 965,    1 218,    747
  20,    50 603,    28 310,    22 293,    39 950,    25 398,  14 552,    10 247,    2 722,    7 525,    200,    86,    114,    206,    104,    102
  21,    49 691,    27 572,    22 119,    33 843,    22 886,  10 957,    15 311,    4 407,    10 904,    242,    106,    136,    295,    173,    122
  22,    45 708,    25 423,    20 285,    25 741,    18 650,    7 091,    19 327,    6 442,    12 885,    297,    125,    172,    343,    206,    137
  23,    48 281,    26 529,    21 752,    21 929,    16 537,    5 392,    25 514,    9 498,    16 016,    355,    174,    181,    483,    320,    163
  24,    48 956,    27 227,    21 729,    18 243,    14 477,    3 766,    29 621,    12 098,    17 523,    454,    237,    217,    638,    415,    223
25——29岁,    186 602,    105 698,    80 904,    45 947,    38 961,    6 986,    134 868,    62 941,    71 927,    2 366,    1 293,    1 073,    3 421,    2 503,    918
  25,    48 627,    26 948,    21 679,    14 909,    12 216,    2 693,    32 508,    13 985,    18 523,    471,    251,    220,    739,    496,    243
  26,    48 399,    27 425,    20 974,    12 535,    10 600,    1 935,    34 528,    15 936,    18 592,    534,    285,    249,    802,    604,    198
  27,    36 552,    20 766,    15 786,    8 197,    7 123,    1 074,    27 181,    12 856,    14 325,    508,    298,    210,    666,    489,    177
  28,    25 324,    14 550,    10 774,    5 102,    4 440,    662,    19 297,    9 507,    9 790,    404,    214,    190,    521,    389,    132
  29,    27 700,    16 009,    11 691,    5 204,    4 582,    622,    21 354,    10 657,    10 697,    449,    245,    204,    693,    525,    168
30——34岁,    201 184,    119 042,    82 142,    30 229,    27 838,    2 391,    162 858,    85 407,    77 451,    3 705,    2 204,    1 501,    4 392,    3 593,    799
  30,    31 652,    18 783,    12 869,    5 624,    5 083,    541,    24 730,    12 790,    11 940,    566,    326,    240,    732,    584,    148
  31,    38 443,    22 790,    15 653,    6 226,    5 711,    515,    30 724,    15 994,    14 730,    639,    394,    245,    854,    691,    163
  32,    42 333,    25 122,    17 211,    6 308,    5 845,    463,    34 346,    18 077,    16 269,    735,    421,    314,    944,    779,    165
  33,    42 013,    24 769,    17 244,    5 927,    5 484,    443,    34 424,    18 107,    16 317,    791,    463,    328,    871,    715,    156
  34,    46 743,    27 578,    19 165,    6 144,    5 715,    429,    38 634,    20 439,    18 195,    974,    600,    374,    991,    824,    167
35——39岁,    244 777,    146 721,    98 056,    27 934,    26 000,    1 934,    205 431,    112 572,    92 859,    6 180,    3 686,    2 494,    5 232,    4 463,    769
  35,    50 097,    29 705,    20 392,    6 283,    5 816,    467,    41 671,    22 354,    19 317,    1 090,    640,    450,    1 053,    895,    158
  36,    48 831,    29 108,    19 723,    5 800,    5 438,    362,    40 856,    22 119,    18 737,    1 081,    633,    448,    1 094,    918,    176
  37,    49 007,    29 357,    19 650,    5 593,    5 223,    370,    41 152,    22 493,    18 659,    1 246,    768,    478,    1 016,    873,    143
  38,    46 750,    27 991,    18 759,    5 028,    4 662,    366,    39 502,    21 740,    17 762,    1 235,    741,    494,    985,    848,    137
  39,    50 092,    30 560,    19 532,    5 230,    4 861,    369,    42 250,    23 866,    18 384,    1 528,    904,    624,    1 084,    929,    155
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表10——15全国15岁以上死亡人口的婚姻状况(1989．1．1——1990．6．30)(续01),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    年龄别,,,,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女
40——44岁,    256 136,    156 391,    99 745,    22 996,    21 494,    1 502,    217 669,  124 696,    92 973,    10 348,    5 724,    4 624,    5 123,    4 477,  646
  40,    52 111,    32 060,    20 051,    5 266,    4 893,    373,    43 942,    25 180,    18 762,    1 835,    1 062,    773,    1 068,    925,  143
  41,    49 164,    30 274,    18 890,    4 567,    4 279,    288,    41 786,    24 068,    17 718,    1 818,    1 047,    771,    993,    880,  113
  42,    50 663,    30 909,    19 754,    4 474,    4 181,    293,    43 225,    24 772,    18 453,    2 015,    1 138,    877,    949,    818,  131
  43,    50 426,    30 559,    19 867,    4 304,    4 029,    275,    42 997,    24 488,    18 509,    2 150,    1 173,    977,    975,    869,  106
  44,    53 772,    32 589,    21 183,    4 385,    4 112,    273,    45 719,    26 188,    19 531,    2 530,    1 304,    1 226,    1 138,    985,  153
45——49岁,    315 584,    193 815,    121 769,    22 619,    21 384,    1 235,  266 946,    156 786,  110 160,    20 237,    10 548,    9 689,    5 782,    5 097,  685
  45,    55 221,    34 071,    21 150,    4 369,    4 105,    264,    47 027,    27 561,    19 466,    2 779,    1 493,    1 286,    1 046,    912,  134
  46,    56 498,    34 900,    21 598,    4 270,    4 044,    226,    47 987,    28 261,    19 726,    3 250,    1 714,    1 536,    991,    881,  110
  47,    61 343,    37 614,    23 729,    4 398,    4 166,    232,    52 106,    30 530,    21 576,    3 735,    1 948,    1 787,    1 104,    970,  134
  48,    68 294,    41 829,    26 465,    4 613,    4 361,    252,    57 789,    33 955,    23 834,    4 627,    2 407,    2 220,    1 265,    1 106,  159
  49,    74 228,    45 401,    28 827,    4 969,    4 708,    261,    62 037,    36 479,    25 558,    5 846,    2 986,    2 860,    1 376,    1 228,  148
50——54岁,    474 723,    293 601,    181 122,    24 856,    23 648,    1 208,    391 506,    237 623,    153 883,    50 151,    24 934,    25 217,    8 210,    7 396,  814
  50,    79 379,    49 091,    30 288,    4 912,    4 669,    243,    65 909,    39 508,    26 401,    7 150,    3 643,    3 507,    1 408,    1 271,  137
  51,    87 219,    54 126,    33 093,    4 888,    4 635,    253,    72 583,    43 881,    28 702,    8 213,    4 201,    4 012,    1 535,    1 409,  126
  52,    94 303,    58 419,    35 884,    4 858,    4 624,    234,    78 072,    47 443,    30 629,    9 759,    4 918,    4 841,    1 614,    1 434,  180
  53,    102 898,    63 455,    39 443,    5 093,    4 855,    238,    84 594,    51 461,    33 133,    11 463,    5 572,    5 891,    1 748,    1 567,  181
