表10—16 1989年全国分年龄按月分布的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,    三月,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    552 574,    304 421,    248 153,    524 611,    291 111,    233 500,    537 039,  299 549, 237 490,  545 735,  303 163,  242 572,    551 923,  305 158, 246 765,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    6 572 959,    3 619 772,    2 953 187,    507 054,    279 474,    227 580,    592 139,    321 106,    271 033,    567 382,    309 502,    257 880,,,0——4岁,    59 528,    30 058,    29 470,    57 631,    29 193,    28 438,  60 160,    31 103,  29 057,    63 747,    31 952,  31 795,    69 453,  34 111,    35 342,,,总计,    481 886,    267 164,    214 722,    583 028,    320 994,    262 034,    542 259,    297 938,    244 321,    587 329,    320 192,    267 137
0——4岁,    721 060,    362 910,    358 150,    42 213,    21 469,    20 744,    51 730,    26 516,    25 214,    57 580,    29 221,    28 359,,,  0,    42 936,    21 296,    21 640,    39 687,    19 775,    19 912,  39 638,    20 058,  19 580,    42 515,    20 842,  21 673,    48 152,  23 350,    24 802,,,0——4岁,    58 814,    29 268,    29 546,    71 753,    35 680,    36 073,    62 762,    31 405,    31 357,    65 689,    32 934,    32 755
  0,    526 907,    262 421,    264 486,    33 601,    17 001,    16 600,    40 358,    20 649,    19 709,    43 079,    21 627,    21 452,,,  1,    7 052,    3 675,    3 377,    7 567,    3 829,    3 738,    8 424,    4 484,    3 940,    8 842,    4 518,    4 324,    8 546,    4 205,    4 341,,,  0,    42 776,    21 265,    21 511,    54 013,    26 704,    27 309,    48 672,    24 104,    24 568,    51 480,    25 750,    25 730
  1,    82 911,    42 051,    40 860,    3 951,    2 038,    1 913,    5 343,    2 732,    2 611,    6 375,    3 289,    3 086,,,  2,    4 618,    2 436,    2 182,    4 962,    2 659,    2 303,    5 830,    3 055,    2 775,    5 931,    3 061,    2 870,    6 413,    3 201,    3 212,,,  1,    6 581,    3 170,    3 411,    7 359,    3 653,    3 706,    6 109,    3 120,    2 989,    6 762,    3 338,    3 424
  2,    54 522,    27 934,    26 588,    2 212,    1 125,    1 087,    2 941,    1 482,    1 459,    4 010,    2 097,    1 913,,,  3,    2 907,    1 539,    1 368,    3 170,    1 670,    1 500,    3 668,    2 015,    1 653,    3 777,    2 032,    1 745,    3 744,    1 924,    1 820,,,  2,    4 723,    2 334,    2 389,    5 115,    2 544,    2 571,    3 964,    2 018,    1 946,    3 803,    1 922,    1 881
  3,    33 706,    17 883,    15 823,    1 459,    790,    669,    1 757,    934,    823,    2 473,    1 306,    1 167,,,  4,    2 015,    1 112,    903,    2 245,    1 260,    985,    2 600,    1 491,    1 109,    2 682,    1 499,    1 183,    2 598,    1 431,    1 167,,,  3,    2 848,    1 492,    1 356,    3 268,    1 709,    1 559,    2 441,    1 322,    1 119,    2 194,    1 150,    1 044
  4,    23 014,    12 621,    10 393,    990,    515,    475,    1 331,    719,    612,    1 643,    902,    741,,,5——9岁,    5 496,    3 203,    2 293,    6 525,    4 007,    2 518,    9 172,    5 827,    3 345,    10 912,    7 019,    3 893,    9 045,    5 534,    3 511,,,  4,    1 886,    1 007,    879,    1 998,    1 070,    928,    1 576,    841,    735,    1 450,    774,    676
5——9岁,    72 296,    43 309,    28 987,    3 346,    1 873,    1 473,    3 940,    2 231,    1 709,    4 738,    2 666,    2 072,,,  5,    1 499,    844,    655,    1 728,    1 008,    720,    2 184,    1 290,    894,    2 320,    1 371,    949,    2 080,    1 223,    857,,,5——9岁,    5 482,    3 277,    2 205,    5 460,    3 095,    2 365,    4 282,    2 392,    1 890,    3 898,    2 185,    1 713
  5,    17 977,    10 234,    7 743,    798,    441,    357,    1 026,    540,    486,    1 227,    682,    545,,,  6,    1 208,    703,    505,    1 405,    870,    535,    2 010,    1 271,    739,    2 331,    1 521,    810,    1 930,    1 153,777,,,  5,    1 366,    789,    577,    1 493,    806,    687,    1 184,    658,    526,    1 072,    582,    490
