表10—1省、自治区、直辖市的市分性别死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    地区别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
总计,  2 778 435,  1 543 307,  1 235 128,    883 088,    492 645,  390 443,   885 648,    496 860,    388 788,    1 009 699,    553 802,    455 897
北京市,    53 477,    29 114,    24 363,    16 467,    9 031,    7 436,    16 965,    9 298,    7 667,    20 045,    10 785,    9 260
天津市,    48 821,    26 554,    22 267,    14 943,    8 109,    6 834,    16 037,    8 808,    7 229,    17 841,    9 637,    8 204
河北省,    102 817,    58 109,    44 708,    30 514,    17 311,    13 203,    33 406,    19 013,    14 393,    38 897,    21 785,    17 112
山西省,    57 692,    34 049,    23 643,    17 962,    10 703,    7 259,    18 189,    10 768,    7 421,    21 541,    12 578,    8 963
内蒙古自治区,    43 593,    25 821,    17 772,    12 797,    7 609,    5 188,    13 719,    8 239,    5 480,    17 077,    9 973,    7 104
辽宁省,    164 260,    93 381,    70 879,    50 978,    29 205,    21 773,    51 742,    29 868,    21 874,    61 540,    34 308,    27 232
吉林省,    109 627,    64 132,    45 495,    36 005,    21 184,    14 821,    34 607,    20 507,    14 100,    39 015,    22 441,    16 574
黑龙江省,    126 346,    73 783,    52 563,    37 949,    22 326,    15 623,    39 588,    23 364,    16 224,    48 809,    28 093,    20 716
上海市,    79 858,    41 945,    37 913,    26 976,    14 091,    12 885,    25 021,    13 399,    11 622,    27 861,    14 455,    13 406
江苏省,    197 101,    107 502,    89 599,    62 193,    33 914,    28 279,    63 910,    35 054,    28 856,    70 998,    38 534,    32 464
浙江省,    157 583,    87 306,    70 277,    52 784,    29 054,    23 730,    50 621,    28 359,    22 262,    54 178,    29 893,    24 285
安徽省,    77 778,    42 966,    34 812,    23 465,    13 076,    10 389,    25 238,    14 096,    11 142,    29 075,    15 794,    13 281
福建省,    51 726,    29 260,    22 466,    17 324,    9 784,    7 540,    16 521,    9 462,    7 059,    17 881,    10 014,    7 867
江西省,    74 246,    40 040,    34 206,    21 915,    12 132,    9 783,    24 529,    13 307,    11 222,    27 802,    14 601,    13 201
山东省,    305 170,    167 191,    137 979,    100 634,    55 722,    44 912,    93 252,    52 046,    41 206,    111 284,    59 423,    51 861
河南省,    111 924,    62 870,    49 054,    33 580,    19 058,    14 522,    35 700,    20 218,    15 482,    42 644,    23 594,    19 050
湖北省,    227 824,    124 967,    102 857,    69 422,    38 356,    31 066,    74 343,    40 860,    33 483,    84 059,    45 751,    38 308
湖南省,    142 008,    79 422,    62 586,    47 428,    26 677,    20 751,    45 338,    25 569,    19 769,    49 242,    27 176,    22 066
广东省,    119 579,    64 369,    55 210,    39 596,    21 275,    18 321,    38 009,    20 781,    17 228,    41 974,    22 313,    19 661
广西壮族自治区,    62 111,    31 224,    30 887,    19 663,    9 908,    9 755,    19 556,    9 890,    9 666,    22 892,    11 426,    11 466
海南省,    6 054,    3 495,    2 559,    1 991,    1 145,    846,    1 937,    1 111,    826,    2 126,    1 239,    887
四川省,    189 420,    104 198,    85 222,    64 241,    35 201,    29 040,    59 830,    33 123,    26 707,    65 349,    35 874,    29 475
贵州省,    58 120,    31 845,    26 275,    18 071,    10 091,    7 980,    19 184,    10 527,    8 657,    20 865,    11 227,    9 638
云南省,    54 669,    29 302,    25 367,    17 426,    9 397,    8 029,    17 816,    9 644,    8 172,    19 427,    10 261,    9 166
西藏自治区,    1 483,    881,    602,    447,    289,    158,    455,    258,    197,    581,    334,    247
陕西省,    64 094,    36 870,    27 224,    19 556,    11 296,    8 260,    20 726,    11 998,    8 728,    23 812,    13 576,    10 236
甘肃省,    46 494,    26 189,    20 305,    15 059,    8 520,    6 539,    15 417,    8 745,    6 672,    16 018,    8 924,    7 094
青海省,    4 31 5,    2 613,    1 702,    1 244,    773,    471,    1 387,    864,    523,    1 684,    976,    708
宁夏回族自治区,    8 035,    4 774,    3 261,    2 745,    1 645,    1 100,    2 483,    1 487,    996,    2 807,    1 642,    1 165
新疆维吾尔自治区,    32 210,    19 135,    13 075,    9 713,    5 763,    3 950,    10 122,    6 197,    3 925,    12 375,    7 175,    5 200
