表10—2 省、自治区、直辖市的镇分性别死亡人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    地区别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计, 2 301 405,    1 268 042,  1 033 363,    731 647,    405 978,    325 669,    733 124,    407 626,    325 498,    836 634,    454 438,    382 196
北京市,    14 431,    7 929,    6 502,    4 407,    2 397,    2 010,    4 306,    2 460,    1 846,    5 718,    3 072,    2 646
天津市,    5 533,    3 013,    2 520,    1 679,    921,    758,    1 697,    904,    793,    2 157,    1 188,    969
河北省,    107 792,    61 061,    46 731,    31 965,    18 348,    13 617,    35 068,    19 979,    15 089,    40 759,    22 734,    18 025
山西省,    83 221,    47 347,    35 874,    26 367,    15 256,    11 111,    26 039,    14 921,    11 118,    30 815,    17 170,    13 645
内蒙古自治区,    30 150,    17 848,    12 302,    8 337,    4 998,    3 339,    9 041,    5 448,    3 593,    12 772,    7 402,    5 370
辽宁省,    76 368,    42 752,    33 616,    22 991,    12 911,    10 080,    23 344,    13 364,    9 980,    30 033,    16 477,    13 556
吉林省,    50 755,    29 692,    21 063,    16 522,    9 715,    6 807,    15 908,    9 396,    6 512,    18 325,    10 581,    7 744
黑龙江省,    57 640,    34 008,    23 632,    16 718,    9 968,    6 750,    17 711,    10 606,    7 105,    23 211,    13 434,    9 777
上海市,    7 634,    4 035,    3 599,    2 733,    1 407,    1 326,    2 297,    1 232,    1 065,    2 604,    1 396,    1 208
江苏省,    114 116,    61 866,    52 250,    34 965,    19 196,    15 769,    37 178,    20 266,    16 912,    41 973,    22 404,    19 569
浙江省,    71 897,    40 763,    31 134,23 283,    13 154,    10 129,    23 481,    13 468,    10 013,    25 133,    14 141,    10 992
安徽省,    62 741,    34 827,    27 914,    17 997,    10 104,    7 893,    20 563,    11 558,    9 005,    24 181,    13 165,    11 016
福建省,    80 036,    43 740,    36 296,    26 694,    14 677,    12 017,    26 005,    14 231,    11 774,    27 337,    14 832,    12 505
江西省,    51 490,    27 728,    23 762,    14 911,    8 270,    6 641,    16 985,    9 221,    7 764,    19 594,    10 237,    9 357
山东省,    185 565,    101 307,    84 258,    61 406,    33 823,    27 583,    57 292,    31 680,    25 612,    66 867,    35 804,    31 063
河南省,    135 236,    75 030,    60 206,    42 652,    24 067,    18 585,    43 364,    24 159,    19 205,    49 220,    26 804,    22 416
湖北省,    181 855,    100 055,    81 800,    54 477,    30 045,    24 432,    59 345,    33 042,    26 303,    68 033,    36 968,    31 065
湖南省,    120 712,    66 910,    53 802,    40 209,    22 384,    17 825,    38 236,    21 352,    16 884,    42 267,    23 174,    19 093
广东省,    331 286,    177 245,    154 041,    111 048,    59 955,    51 093,    104 989,    56 510,    48 479,    115 249,    60 780,    54 469
广西壮族自治区,    96 582,    52 533,    44 049,    30 711,    16 882,    13 829,    30 417,    16 671,    13 746,    35 454,    18 980,    16 474
海南省,    30 300,    16 623,    13 677,    10 172,    5 654,    4 518,    9 609,    5 290,    4 319,    10 519,    5 679,    4 840
四川省,    154 529,    84 072,    70 457,    52 217,    28 255,    23 962,    48 042,    26 619,    21 423,    54 270,    29 198,    25 072
贵州省,    44 036,    23 579,    20 457,    13 823,    7 472,    6 351,    14 719,    7 925,    6 794,    15 494,    8 182,    7 312
云南省,    99 179,    52 265,    46 914,    32 223,    16 849,    15 374,    32 432,    17 277,    15 155,    34 524,    18 139,    16 385
西藏自治区,    1 616,    903,    713,    443,    269,    174,    549,    296,    253,    624,    338,    286
陕西省,    56 432,    32 597,    23 835,    17 363,    10 149,    7 214,    18 303,    10 654,    7 649,    20 766,    11 794,    8 972
甘肃省,    24 867,    13 858,    11 009,    7 798,    4 471,    3 327,    8 254,    4 556,    3 698,    8 815,    4 831,    3 984
青海省,    4 976,    2 869,    2 107,    1 401,    832,    569,    1 542,    890,    652,    2 033,    1 147,    886
宁夏回族自治区,    4 348,    2 560,    1 788,    1 381,    829,    552,    1 439,    845,    594,    1 528,    886,    642
新疆维吾尔自治区,    16 082,    9 027,    7 055,    4 754,    2 720,    2 034,    4 969,    2 806,    2 163,    6 359,    3 501,    2 858
