表10—3省、自治区、直辖市的县分性别死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    地区别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,    女,    小计,    男,    女
总计,  5 249 059,    2 835 966,    2 413 093,  1 666 064,    906 540,    759 524,    1 673 388,    910 123,    763 265,    1 909 607,    1 019 303,    890 304
北京市,    16 528,    9 010,    7 518,    5 067,    2 800,    2 267,    4 964,    2 707,    2 257,    6 497,    3 503,    2 994
天津市,    20 881,    11 180,    9 701,    6 421,    3 513,    2 908,    6 505,    3 500,    3 005,    7 955,    4 167,    3 788
河北省,    287 159,    161 504,    125 655,    85 570,    48 417,    37 153,    94 123,    53 397,    40 726,    107 466,    59 690,    47 776
山西省,    120 419,    67 903,    52 516,    38 969,    22 350,    16 619,    36 638,    20 659,    15 979,    44 812,    24 894,    19 918
内蒙古自治区,    99 384,    58 512,    40 872,    28 601,    17 056,    11 545,    29 116,    17 202,    11 914,    41 667,    24 254,    17 413
辽宁省,    98 832,    55 644,    43 188,    29 626,    16 806,    12 820,    30 109,    17 176,    12 933,    39 097,    21 662,    17 435
吉林省,    62 387,    35 841,    26 546,    20 439,    11 893,    8 546,    19 461,    11 287,    8 174,    22 487,    12 661,    9 826
黑龙江省,    80 482,    47 008,    33 474,    23 539,    13 952,    9 587,    24 461,    14 439,    10 022,    32 482,    18 617,    13 865
上海市,    41 001,    21 240,    19 761,    14 273,    7 348,    6 925,    12 791,    6 654,    6 137,    13 937,    7 238,    6 699
江苏省,    272 492,    148 598,    123 894,    82 982,    45 936,    37 046,    90 786,    49 623,    41 163,    98 724,    53 039,    45 685
浙江省,    146 672,    82 646,    64 026,    48 635,    27 176,    21 459,    47 932,    27 361,    20 571,    50 105,    28 109,    21 996
安徽省,    316 540,    168 657,    147 883,    93 677,    50 461,    43 216,    103 820,    55 686,    48 134,    119 043,    62 510,    56 533
福建省,    122 400,    65 783,    56 617,    40 439,    21 965,    18 474,    39 251,    21 246,    18 005,    42 710,    22 572,    20 138
江西省,    222 954,    117 506,    105 448,    65 236,    34 971,    30 265,    75 650,    40 048,    35 602,    82 068,    42 487,    39 581
山东省,    292 567,    158 504,    134 063,    97 379,    53 343,    44 036,    91 250,    49 863,    41 387,    103 938,    55 298,    48 640
河南省,    514 877,    279 818,    235 059,    162 588,    89 676,    72 912,    166 118,    90 627,    75 491,    186 171,    99 515,    86 656
湖北省,    119 833,    65 236,    54 597,    36 881,    20 006,    16 875,    38 386,    21 137,    17 249,    44 566,    24 093,    20 473
湖南省,    375 561,  204 800,    170 761,    123 668,    68 230,    55 438,    117 695,    64 585,    53 110,    134 198,    71 985,    62 213
广东省,    48 633,    26 387,    22 246,    16 313,    8 942,    7 371,    15 744,    8 530,    7 214,    16 576,    8 915,    7 661
广西壮族自治区,    208 762,    110 444,    98 318,    66 770,    35 991,    30 779,    67 059,    35 434,    31 625,    74 933,    39 019,    35 914
海南省,    14 330,    8 065,    6 265,    4 619,    2 638,    1 981,    4 653,    2 614,    2 039,    5 058,    2 813,    2 245
四川省,    794 690,    414 187,    380 503,    270 488,    140 233,    130 255,    244 701,    129 037,    115 664,    279 501,    144 917,    134 584
贵州省,    231 294,    118 823,    112 471,    71 785,    37 247,    34 538,    76 767,    39 589,    37 178,    82 742,    41 987,    40 755
云南省,    262 412,    136 218,    126 194,    83 523,    43 542,    39 981,    86 412,    45 039,    41 373,    92 477,    47 637,    44 840
西藏自治区,    25 864,    13 424,    12 440,    8 051,    4 237,    3 814,    8 086,    4 182,    3 904,    9 727,    5 005,    4 722
陕西省,    186 073,    105 049,    81 024,    58 278,    33 076,    25 202,    58 441,    33 334,    25 107,    69 354,    38 639,    30 715
甘肃省,    118 916,    63 547,    55 369,    36 261,    19 566,    16 695,    38 517,    20 746,    17 771,    44 138,    23 235,    20 903
青海省,    33 403,    17 631,    15 772,    10 173,    5 385,    4 788,    10 042,    5 417,    4 625,    13 188,    6 829,    6 359
宁夏回族自治区,    22 000,    12 148,    9 852,    6 882,    3 779,    3 103,    6 675,    3 686,    2 989,    8 443,    4 683,    3 760
新疆维吾尔自治区,    91 713,    50 653,    41 060,    28 931,    16 005,    12 926,    27 235,    15 318,    11 917,    35 547,    19 330,    16 217
