表10—4全国分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  小计,    男,     女,    小计,    男,    女
总计,    10 328 899,  5 647 315,  4 681 584,  3 280 799,    1 805 163,  1 475 636,  3 292 160,    1 814 609,    1 477 551,    3 755 940,    2 027 543,    1 728 397
0——4岁,    1 197 265,    597 893,    599 372,    328 842,    167 560,    161 282,    392 218,    195 350,    196 868,    476 205,    234 983,    241 222
  0,    889 502,    439 839,    449 663,    239 299,    120 406,    118 893,    287 608,    142 015,    145 593,    362 595,    177 418,    185 177
  1,    133 457,    67 049,    66 408,    38 712,    20 047,    18 665,    44 199,    22 004,    22 195,    50 546,    24 998,    25 548
  2,    86 084,    43 863,    42 221,    24 573,    12 854,    11 719,    29 949,    15 080,    14 869,    31 562,    15 929,    15 633
  3,    52 765,    27 802,    24 963,    15 434,    8 254,    7 180,    18 272,    9 629,    8 643,    19 059,    9 919,    9 140
  4,    35 457,    19 340,    16 117,    10 824,    5 999,    4 825,    12 190,    6 622,    5 568,    12 443,    6 719,    5 724
5——9岁,    106 832,    63 661,    43 171,    33 217,    19 807,    13 410,    39 079,    23 502,    15 577,    34 536,    20 352,    14 184
  5,    27 144,    15 350,    11 794,    8 462,    4 805,    3 657,    9 515,    5 429,    4 086,    9 167,    5 116,    4 051
  6,    22 922,    13 547,    9 375,    7 368,    4 391,    2 977,    8 218,    4 864,    3 354,    7 336,    4 292,    3 044
  7,    21 712,    13 215,    8 497,    6 660,    4 003,    2 657,    8 274,    5 086,    3 188,    6 778,    4 126,    2 652
  8,    18 394,    11 427,    6 967,    5 423,    3 384,    2 039,    6 788,    4 240,    2 548,    6 183,    3 803,    2 380
  9,    16 660,    10 122,    6 538,    5 304,    3 224,    2 080,    6 284,    3 883,    2 401,    5 072,    3 015,    2 057
10——14岁,    83 856,    48 964,    34 892,    27 917,    16 341,    11 576,    30 555,    17 932,    12 623,    25 384,    14 691,    10 693
  10,    16 011,    9 513,    6 498,    5 107,    3 062,    2 045,    5 871,    3 491,    2 380,    5 033,    2 960,    2 073
  11,    15 027,    8 935,    6 092,    4 728,    2 839,    1 889,    5 679,    3 355,    2 324,    4 620,    2 741,    1 879
  12,    15 471,    8 970,    6 501,    5 224,    3 025,    2 199,    5 614,    3 271,    2 343,    4 633,    2 674,    1 959
  13,    17 446,    10 050,    7 396,    5 977,    3 465,    2 512,    6 254,    3 662,    2 592,    5 215,    2 923,    2 292
  14,    19 901,    11 496,    8 405,    6 881,    3 950,    2 931,    7 137,    4 153,    2 984,    5 883,    3 393,    2 490
