表10—5全国市分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
总计,  2 778 435,  1 543 307,  1 235 128,  883 088,    492 645,    390 443,    885 648,    496 860,    388 788,    1 009 699,    553 802,    455 897
0——4岁,    224 589,    112 978,    111 611,    62 256,    31 941,    30 315,    73 636,    37 071,    36 565,    88 697,    43 966,    44 731
  0,    170 412,    84 194,    86 218,    46 851,    23 491,    23 360,    55 174,    27 347,    27 827,    68 387,    33 356,    35 031
  1,    22 653,    11 750,    10 903,    6 446,    3 464,    2 982,    7 543,    3 843,    3 700,    8 664,    4 443,    4 221
  2,    15 365,    8 122,    7 243,    4 314,    2 359,    1 955,    5 295,    2 796,    2 499,    5 756,    2 967,    2 789
  3,    9 496,    5 138,    4 358,    2 626,    1 449,    1 177,    3 320,    1 767,    1 553,    3 550,    1 922,    1 628
  4,    6 663,    3 774,    2 889,    2 019,    1 178,    841,    2 304,    1 318,    986,    2 340,    1 278,    1 062
5——9岁,    22 309,    13 840,    8 469,    6 702,    4 131,    2 571,    8 295,    5 189,    3 106,    7 312,    4 520,    2 792
  5,    5 371,    3 148,    2 223,    1 603,    954,    649,    1 971,    1 159,    812,    1 797,    1 035,    762
  6,    4 772,    2 925,    1 847,    1 477,    904,    573,    1 683,    1 006,    677,    1 612,    1 015,    597
  7,    4 683,    2 948,    1 735,    1 433,    883,    550,    1 760,    1 130,    630,    1 490,    935,    555
  8,    3 933,    2 560,    1 373,    1 073,    682,    391,    1 498,    981,    517,    1 362,    897,    465
  9,    3 550,    2 259,    1 291,    1 116,    708,    408,    1 383,    913,    470,    1 051,    638,    413
10——14岁,    17 991,    10 849,    7 142,    5 722,    3 495,    2 227,    6 820,    4 116,    2 704,    5 449,    3 238,    2 211
  10,    3 419,    2 115,    1 304,    1 070,    675,    395,    1 302,    796,    506,    1 047,    644,    403
  11,    3 268,    2 029,    1 239,    998,    629,    369,    1 294,    795,    499,    976,    605,    371
  12,    3 266,    1 953,    1 313,    1 012,    620,    392,    1 230,    737,    493,    1 024,    596,    428
  13,    3 747,    2 197,    1 550,    1 220,    726,    494,    1 402,    832,    570,    1 125,    639,    486
  14,    4 291,    2 555,    1 736,    1 422,    845,    577,    1 592,    956,    636,    1 277,    754,    523
15——19岁,    41 603,    24 058,    17 545,    13 611,    7 885,    5 726,    14 836,    8 680,    6 156,    13 156,    7 493,    5 663
  15,    5 298,    3 128,    2 170,   1 743,    1 029,    714,    1 916,    1 129,    787,    1 639,    970,    669
  16,    6 681,    3 820,    2 861,    2 258,    1 292,    966,    2 413,    1 416,    997,    2 010,    1 112,    898
