表10—6全国镇分年龄、性别的死亡人口数,,,,,,,,,,,,
(1989．1．1．——1990．6．30．)(第二口径),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    2 301 405,    1 268 042,    1 033 363,    731 647,    405 978,    325 669,    733 124,    407 626,    325 498,    836 634,    454 438,    382 196
0——4岁,    243 701,    122 146,    121 555,    68 276,    34 712,    33 564,    79 587,    39 841,    39 746,    95 838,    47 593,    48 245
  0,    180 640,    89 312,    91 328,    49 765,    24 901,    24 864,    58 328,    28 783,    29 545,    72 547,    35 628,    36 919
  1,    26 883,    13 544,    13 339,    7 770,    4 039,    3 731,    8 945,    4 474,    4 471,    10 168,    5 031,    5 137
  2,    17 548,    9 078,    8 470,    4 962,    2 622,    2 340,    6 100,    3 092,    3 008,    6 486,    3 364,    3 122
  3,    10 956,    5 928,    5 028,    3 295,    1 768,    1 527,    3 677,    2 060,    1 617,    3 984,    2 100,    1 884
  4,    7 674,    4 284,    3 390,    2 484,    1 382,    1 102,    2 537,    1 432,    1 105,    2 653,    1 470,    1 183
5——9岁,    24 036,    14 687,    9 349,    7 528,    4 600,    2 928,    8 868,    5 399,    3 469,    7 640,    4 688,    2 952
  5,    6 073,    3 531,    2 542,    1 960,    1 125,    835,    2 090,    1 210,    880,    2 023,    1 196,    827
  6,    5 084,    3 114,    1 970,    1 656,    1 034,    622,    1 857,    1 130,    727,    1 571,    950,    621
  7,    4 923,    3 066,    1 857,    1 487,    930,    557,    1 912,    1 182,    730,    1 524,    954,    570
  8,    4 235,    2 667,    1 568,    1 270,    799,    471,    1 579,    988,    591,    1 386,    880,    506
  9,    3 721,    2 309,    1 412,    1 155,    712,    443,    1 430,    889,    541,    1 136,    708,    428
10——14岁,    18 236,    10 773,    7 463,    6 063,    3 564,    2 499,    6 646,    3 966,    2 680,    5 527,    3 243,    2 284
  10,    3 582,    2 187,    1 395,    1 141,    709,    432,    1 353,    821,    532,    1 088,    657,    431
  11,    3 285,    1 917,    1 368,    1 032,    605,    427,    1 231,    721,    510,    1 022,    591,    431
  12,    3 426,    2 023,    1 403,    1 161,    674,    487,    1 242,    748,    494,    1 023,    601,    422
  13,    3 758,    2 200,    1 558,    1 316,    758,    558,    1 297,    779,    518,    1 145,    663,    482
  14,    4 185,    2 446,    1 739,    1 413,    81 8,    595,    1 523,    897,    626,    1 249,    731,    518
15——19岁,    38 474,    22 022,    16 452,    12 550,    7 171,    5 379,    13 647,    7 964,    5 683,    12 277,    6 887,    5 390
  15,    5 206,    2 978,    2 228,    1 728,    962,    766,    1 823,    1 077,    746,    1 655,    939,    716
  16,    6 380,    3 602,    2 778,    2 139,    1 183,    956,    2 303,    1 339,    964,    1 938,    1 080,    858
