表10—7 全国县分年龄、性别的死亡人口数,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    1989年上半年,,,    1989年下半年,,,    1990年上半年,,
    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女
总计,    5 249 059,  2 835 966, 2 413 093,  1 666 064,    906 540,    759 524,    1 673 388,    910 123,    763 265,    1 909 607,    1 019 303,    890 304
0——4岁,    728 975,    362 769,    366 206,    198 310,    100 907,    97 403,    238 995,    118 438,    120 557,    291 670,    143 424,    148 246
  0,    538 450,    266 333,    272 117,    142 683,    72 014,    70 669,    1 74 106,    85 885,    88 221,    221 661,    108 434,    113 227
  1,    83 921,    41 755,    42 166,    24 496,    12 544,    11 952,    27 711,    13 687,    14 024,    31 714,    15 524,    16 190
  2,    53 171,    26 663,    26 508,    15 297,    7 873,    7 424,    18 554,    9 192,    9 362,    19 320,    9 598,    9 722
  3,    32 313,    16 736,    15 577,    9 513,    5 037,    4 476,    11 275,    5 802,    5 473,    11 525,    5 897,    5 628
  4,    21 120,    11 282,    9 838,    6 321,    3 439,    2 882,    7 349,    3 872,    3 477,    7 450,    3 971,    3 479
5——9岁,    60 487,    35 134,    25 353,    18 987,    11 076,    7 911,    21 916,    12 914,    9 002,    19 584,    11 144,    8 440
  5,    15 700,    8 671,    7 029,    4 899,    2 726,    2 173,    5 454,    3 060,    2 394,    5 347,    2 885,    2 462
  6,    13 066,    7 508,    5 558,    4 235,    2 453,    1 782,    4 678,    2 728,    1 950,    4 153,    2 327,    1 826
  7,    12 106,    7 201,    4 905,    3 740,    2 190,    1 550,    4 602,    2 774,    1 828,    3 764,    2 237,    1 527
  8,    10 226,    6 200,    4 026,    3 080,    1 903,    1 177,    3 711,    2 271,    1 440,    3 435,    2 026,    1 409
  9,    9 389,    5 554,    3 835,    3 033,    1 804,    1 229,    3 471,    2 081,    1 390,    2 885,    1 669,    1 216
10——14岁,    47 629,    27 342,    20 287,    16 132,    9 282,    6 850,    17 089,    9 850,    7 239,    14 408,    8 210,    6 198
  10,    9 010,    5 211,    3 799,    2 896,    1 678,    1 218,    3 216,    1 874,    1 342,    2 898,    1 659,    1 239
  11,    8 474,    4 989,    3 485,    2 698,    1 605,    1 093,    3 154,    1 839,    1 315,    2 622,    1 545,    1 077
  12,    8 779,    4 994,    3 785,    3 051,    1 731,    1 320,    3 142,    1 786,    1 356,    2 586,    1 477,    1 109
  13,    9 941,    5 653,    4 288,    3 441,    1 981,    1 460,    3 555,    2 051,    1 504,    2 945,    1 621,    1 324
  14,    11 425,    6 495,    4 930,    4 046,    2 287,    1 759,    4 022,    2 300,    1 722,    3 357,    1 908,    1 449
15——19岁,    98 981,    54 510,    44 471,    32 608,    18 162,    14 446,    34 700,    19 083,    15 617,    31 673,    17 265,    14 408
