,,,,,,,,,
表10——8 1989年全国分年龄、性别的死亡人口数,,,,,,,,,
    单位：人、‰,,,,,,,,,
,,,,,,,,,
,    1989年年中人口,,,    1989年死亡人口,,,    死亡率,,
    年龄别,,,,,,,,,
,    合计,    男,    女,  合计,    男,    女,    合计,    男,    女
总计,    1 113 772 197,    573 130 236,    540 641 961,    6 572 959,    3 619 772,    2 953 187,    5.9015,    6.3158,    5.4624
0——4岁,    113 511 338,    59 357 447,    54 153 891,    721 060,    362 910,    358 150,    6.3523,    6.1140,    6.6136
  0,    23 465 062,    12 370 860,    11 094 202,    526 907,    262 421,    264 486,    22.4550,    21.2128,    23.8400
  1,    24 257 591,    12 710 626,    11 546 965,    82 911,    42 051,    40 860,    3.4179,    3.3083,    3.5386
  2,    24 343 277,    12 701 689,    11 641 588,    54 522,    27 934,    26 588,    2.2397,    2.1992,    2.2839
  3,    21 441 261,    11 156 891,    10 284 370,    33 706,    17 883,    15 823,    1.5720,    1.6029,    1.5385
  4,    20 004 147,    10 417 381,    9 586 766,    23 014,    12 621,    10 393,    1.1505,    1.2115,    1.0841
5——9岁,    98 648 218,    51 223 572,    47 424646,    72 296,    43 309,    28 987,    0.7329,    0.8455,    0.6112
  5,    19 072 807,    9 932 132,    9 140 675,    17 977,    10 234,    7 743,    0.9425,    1.0304,    0.8471
  6,    20 211 358,    10 527 549,    9 683 809,    15 586,    9 255,    6 331,    0.7712,    0.8791,    0.6538
  7,    22 030 139,    11 428 621,    10 601 518,    14 934,    9 089,    5 845,    0.6779,    0.7953,    0.5513
  8,    18 098 203,    9 371 985,    8 726 218,    12 211,    7 624,    4 587,    0.6747,    0.8135,    0.5257
  9,    19 235 711,    9 963 285,    9 272 426,    11 588,    7 107,    4 481,    0.6024,    0.7133,    0.4833
10——14岁,    99 704 237,    51 384 483,    48 319 754,    58 472,    34 273,    24 199,    0.5865,    0．6670,    0.5008
  10,    19 320 361,    9 980 622,    9 339 739,    10 978,    6 553,    4 425,    0.5682,    0．6566,    0．4738
  11,    18 875 034,    9 733 215,    9 141 819,    10 407,    6 194,    4 213,    0.5514,    0.6364,    0．4608
  12,    19 377 969,    9 994 094,    9 383 875,    10 838,    6 296,    4 542,    0．5593,    0.6300,    0.4840
  13,    20 472 618,    10 544 608,    9 928 010,    12 231,    7 127,    5 104,    0.5974,    0．6759,    0.5141
  14,    21 658 255,    11 131 944,    10 526 311,    14 018,    8 103,    5 915,    0.6472,    0.7279,    0.5619
15——19岁,    124 679 272,    63 790 320,    60 888 952,    121 952,    68 945,    53 007,    0.9781,    1.0808,    0.8706
  15,    23 505 321,    12 053 916,    11 451 405,    16 938,    9 640,    7 298,    0.7206,    0．7997,    0.6373
  16,    24 558 302,    12 593 404,    11 964 898,    20 729,    11 617,    9 112,    0.8441,    0.9225,    0.7616
  17,    24 521 693,    12 582 330,    11 939 363,    24 037,    13 581,    10 456,    0.9802,    1.0794,    0.8758
  18,    26 024 044,    13 350 327,    12 673 717,    28 806,    16 283,    12 523,    1.1069,    1.2197,    0.9881
  19,    26 069 912,    13 210 343,    12 859 569,    31 442,    17 824,    13 618,    1.2061,    1.3492,    1．0590
20——24岁,    124 412 558,    63 727 753,    60 684 805,    161 052,    90 153,    70 899,    1.2945,    1.4147,    1.1683
  20,    27 190 928,    13 840 333,    13 350 595,    34 373,    19 366,    15 007,    1.2641,    1．3992,    1.1241
  21,    24 585 213,    12 604 542,    11 980 671,    32 082,    17 901,    14 181,    1．3049,    1．4202,    1．1837
  22,    22 854 311,    11 708 282,    11 146 029,    30 176,    16 914,    13 262,    1.3204,    1.4446,    1.1898
  23,    25 227 888,    12 962 126,    12 265 762,    32 140,    17 795,    14 345,    1.2740,    1.3728,    1.1695
  24,    24 554 218,    12 612 470,    11 941 748,    32 281,    18 177,    14 104,    1.3147,    1．4412,    1.1811
25——29岁,    94 315 123,    48 509 895,    45 805 228,    119 438,    68 135,    51 303,    1.2664,    1．4046,    1.1200
  25,    25 320 219,    12 977 219,    12 343 000,    32 188,    17 922,    14 266,    1.2712,    1.3810,    1.1558
  26,    27 060 470,    13 985 733,    13 074 737,    31 296,    17 860,    13 436,    1.1565,    1．2770,    1．0276
  27,    15 950 359,    8 157 546,    7 792 813,    20 974,    11 962,    9 012,    1.3150,    1.4664,    1.1565
  28,    11 519 903,    5 857 383,    5 662 520,    16 165,    9 373,    6 792,    1.4032,    1.6002,    1.1995
  29,    14 464 172,    7 532 014,    6 932 158,    18 815,    11 018,    7 797,    1.3008,    1.4628,    1.1248
