表11—2 全国按现住地和1985年7月1日常住地类型分性别、文化程度的迁入人口数,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  文化程度,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,     男,    女
总计,    22 828 938,    12 272 845,    10 556 093,    3 569 783,    2 300 351,    1 269 432,    4 811 289,    2 651 389,    2 159 900,  14 447 866,    7 321 105,    7 126 761
北京市,    83 978,    49 535,    34 443,    19 296,    11 831,    7 465,    12 908,    7 661,    5 247,    51 774,    30 043,    21 731
天津市,    35 239,    18 815,    16 424,    4 031,    2 640,    1 391,    6 428,    3 477,    2 951,    24 780,    12 698,    12 082
河北省,    807 282,    423 500,    383 782,    140 617,    91 798,    48 819,    125 653,    68 281,    57 372,    541 012,    263 421,    277 591
山西省,    620 757,    342 930,    277 827,    118 768,    76 783,    41 985,    138 734,    75 897,    62 837,    363 255,    190 250,    173 005
内蒙古自治区,    570 937,    301 220,    269 717,    93 961,    56 783,    37 178,    132 603,    70 756,    61 847,    344 373,    173 681,    170 692
辽宁省,    877 190,    441 320,    435 870,    172 892,    105 049,    67 843,    222 514,    110 729,    111 785,    481 784,    225 542,    256 242
吉林省,    603 859,    295 067,    308 792,    101 639,    58 580,    43 059,    213 808,    105 860,    107 948,    288 412,    130 627,    157 785
黑龙江省,    1 039 870,    525 095,    514 775,    162 350,    91 285,    71 065,    254 014,    128 045,    125 969,    623 506,    305 765,    317 741
上海市,    171 536,    101 413,    70 123,    44 479,    29 337,    15 142,    40 489,    22 454,    18 035,    86 568,    49 622,    36 946
江苏省,    1 182 969,    672 302,    510 667,    166 965,    118 142,    48 823,    150 048,    88 493,    61 555,    865 956,    465 667,    400 289
浙江省,    793 262,    448 864,    344 398,    109 990,    76 964,    33 026,    172 756,    101 520,    71 236,    510 516,    270 380,    240 136
安徽省,    863 000,    476 666,    386 334,    146 516,    99 327,    47 189,    132 791,    75 271,    57 520,    583 693,    302 068,    281 625
福建省,    714 375,    417 589,    296 786,    126 528,    84 703,    41 825,    169 115,    97 515,    71 600,    418 732,    235 371,    183 361
江西省,    725 899,    403 764,    322 135,    109 189,    73 488,    35 701,    136 525,    79 177,    57 348,    480 185,    251 099,    229 086
山东省,    1 183 125,    657 163,    525 962,    209 850,    139 860,    69 990,    395 355,    215 792,    179 563,    577 920,    301 511,    276 409
河南省,    1 232 123,    694 772,    537 351,    240 652,    158 155,    82 497,    124 563,    70 060,    54 503,    866 908,    466 557,    400 351
湖北省,    1 077 686,    581 315,    496 371,    152 165,    98 542,    53 623,    276 664,    152 686,    123 978,    648 857,    330 087,    318 770
湖南省,    1 287 764,    650 642,    637 122,    219 700,    140 086,    79 614,    228 989,    121 789,    107 200,    839 075,    388 767,    450 308
广东省,    2 646 043,    1 396 565,    1 249 478,    233 026,    145 599,    87 427,    507 831,    279 651,    228 180,    1 905 186,    971 315,    933 871
