,,,,,,,,,,,,
    表11——3全国按现住地和1985年7月1日常住地类型分性别、职业的迁入人口数,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  职业和,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,    14 085 340,    7 861 824,    6 223 516,    2 209 822,    1 515 349,    694 473,    2 659 159,    1 543 331,    1 115 828,    9 216 359,    4 803 144,    4 413 215
北京市,    47 105,    30 236,    16 869,    11 976,    8 006,    3 970,    7 111,    4 437,    2 674,    28 018,    17 793,    10 225
天津市,    20 265,    12 102,    8 163,    2 932,    2 014,    918,    3 471,    2 092,    1 379,    13 862,    7 996,    5 866
河北省,    465 283,    256 564,    208 719,    88 750,    59 466,    29 284,    68 556,    38 750,    29 806,    307 977,    158 348,    149 629
山西省,    299 695,    207 752,    91 943,    68 208,    47 278,    20 930,    63 660,    42 225,    21 435,    167 827,    118 249,    49 578
内蒙古自治区,    286 909,    179 324,    107 585,    53 966,    36 369,    17 597,    55 485,    34 661,    20 824,    177 458,    108 294,    69 164
辽宁省,    487 815,    268 892,    218 923,    92 648,    60 380,    32 268,    121 091,    64 381,    56 710,    274 076,    144 131,    129 945
吉林省,    292 975,    160 206,    132 769,    47 342,    29 646,    17 696,    99 681,    54 435,    45 246,    145 952,    76 125,    69 827
黑龙江省,    487 629,    312 628,    175 001,    79 801,    50 210,    29 591,    107 304,    64 326,    42 978,    300 524,    198 092,    102 432
上海市,    110 009,    66 757,    43 252,    27 777,    18 803,    8 974,    25 890,    14 769,    11 121,    56 342,    33 185,    23 157
江苏省,    856 952,    490 214,    366 738,    117 080,    87 866,    29 214,    90 557,    55 028,    35 529,    649 315,    347 320,    301 995
浙江省,    521 997,    305 143,    216 854,    78 619,    57 186,    21 433,    100 954,    60 707,    40 247,    342 424,    187 250,    155 174
安徽省,    529 623,    295 864,    233 759,    93 996,    67 853,    26 143,    70 866,    41 327,    29 539,    364 761,    186 684,    178 077
