表11—5 全国按现住地和1985年7月1日常住地类型分性别、婚姻状况的迁人人口数,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  婚姻状况,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  21 001 623,  11 313 449,    9 688 174,    3 370 103,    2 197 137,  1 172 966,  4 412 290,  2 443 198,  1 969 092,    13 219 230,    6 673 114,  6 546 116
北京市,    80 101,    47 571,    32 530,    18 071,    11 218,    6 853,    12 091,    7 228,    4 863,    49 939,    29 125,    20 814
天津市,    33 109,    17 706,    15 403,    3 764,    2 502,    1 262,    5 708,    3 098,    2 610,    23 637,    12 106,    11 531
河北省,    749 460,    393 650,    355 810,    132 256,    87 522,    44 734,    115 019,    62 762,    52 257,    502 185,    243 366,    258 819
山西省,    561 097,    311 388,    249 709,    111 942,    73 188,    38 754,    126 797,    69 686,    57 111,    322 358,    168 514,    153 844
内蒙古自治区,    513 377,    271 604,    241 773,    88 500,    53 931,    34 569,    120 592,    64 486,    56 106,    304 285,    153 187,    151 098
辽宁省,    804 582,    404 098,    400 484,    163 700,    100 290,    63 410,    202 712,    100 579,    102 133,    438 170,    203 229,    234 941
吉林省,    538 232,    261 846,    276 386,    95 259,    55 293,    39 966,    190 297,    93 871,    96 426,    252 676,    112 682,    139 994
黑龙江省,    904 221,    454 739,    449 482,    149 747,    84 738,    65 009,    226 453,    113 707,    112 746,    528 021,    256 294,    271 727
上海市,    163 612,    97 368,    66 244,    42 550,    28 327,    14 223,    37 991,    21 211,    16 780,    83 071,    47 830,    35 241
江苏省,    1 129 311,    644 815,    484 496,    159 850,    114 476,    45 374,    141 186,    83 927,    57 259,    828 275,    446 412,    381 863
浙江省,    744 546,    423 404,    321 142,    106 330,    75 042,    31 288,    161 925,    95 953,    65 972,    476 291,    252 409,    223 882
安徽省,    797 650,    441 912,    355 738,    139 365,    95 606,    43 759,    122 087,    69 608,    52 479,    536 198,    276 698,    259 500
福建省,    653 312,    384 906,    268 406,    119 377,    80 995,    38 382,    154 762,    89 895,    64 867,    379 173,    214 016,    165 157
江西省,    650 125,    363 901,    286 224,    103 741,    70 721,    33 020,    124 631,    72 988,    51 643,    421 753,    220 192,    201 561
山东省,    1 106 619,    617 657,    488 962,    198 821,    134 094,    64 727,    367 317,    201 447,    165 870,    540 481,    282 116,    258 365
河南省,    1 146 334,    649 733,    496 601,    227 282,    151 289,    75 993,    114 654,    64 847,    49 807,    804 398,    433 597,    370 801
湖北省,    985 818,    533 123,    452 695,    142 930,    93 842,    49 088,    251 797,    139 621,    112 176,    591 091,    299 660,    291 431
湖南省,    1 183 644,    596 612,    587 032,    206 582,    133 383,    73 199,    209 797,    111 862,    97 935,    767 265,    351 367,    415 898
广东省,    2 462 187,    1 295 720,    1 166 467,    218 778,    138 002,    80 776,    470 917,    259 334,    211 583,    1 772 492,    898 384,    874 108
广西壮族自治区,    776 092,    405 512,    370 580,    87 036,    56 777,    30 259,    212 216,    114 785,    97 431,    476 840,    233 950,    242 890
海南省,    123 593,    62 374,    61 219,    10 398,    6 213,    4 185,    34 276,    18 600,    15 676,    78 919,    37 561,    41 358
四川省,    2 197 111,    1 114 150,    1 082 961,    327 569,    216 603,    110 966,    367 170,    212 746,    154 424,    1 502 372,    684 801,    817 571
贵州省,    418 175,    228 467,    189 708,    62 006,    41 125,    20 881,    99 351,    56 241,    43 110,    256 818,    131 101,    125 717
云南省,    672 512,    392 575,    279 937,    106 211,    71 901,    34 310,    170 137,    104 060,    66 077,    396 164,    216 614,    179 550
西藏自治区,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——,     ——
陕西省,    640 931,    364 772,    276 159,    125 023,    82 275,    42 748,    146 537,    84 161,    62 376,    369 371,    198 336,    171 035
甘肃省,    399 918,    220 359,    179 559,    81 941,    53 853,    28 088,    63 488,    37 198,    26 290,    254 489,    129 308,    125 181
青海省,    133 014,    78 171,    54 843,    22 499,    13 924,    8 575,    43 153,    24 491,    18 662,    67 362,    39 756,    27 606
宁夏回族自治区,    106 102,    56 632,    49 470,    21 274,    13 455,    7 819,    27 895,    14 967,    12 928,    56 933,    28 210,    28 723
新疆维吾尔自治区,    326 838,    178 684,    148 154,    97 301,    56 552,    40 749,    91 334,    49 839,    41 495,    138 203,    72 293,    65 910
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
省内单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    1985年7月1日常住地类 型,,,,,,,,,,,
  婚姻状况,,,,,,,,,,,,
,    合计,,,    城市,,,    镇,,,    乡村,,
  和现住地,,,,,,,,,,,,
,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
未婚,    9 570 285,    6 101 847,    3 468 438,    1 562 134,    1 051 170,    510 964,  2 160 746,  1 317 654,    843 092,  5 847 405,    3 733 023,    2 114 382
北京市,    40 064,    26 569,    13 495,    6 488,    4 363,    2 125,    5 830,    3 776,    2 054,    27 746,    18 430,    9 316
天津市,    15 544,    10 307,    5 237,    1 002,    676,    326,    2 514,    1 549,    965,    12 028,    8 082,    3 946
河北省,    328 354,    203 879,    124 475,    47 925,    31 409,    16 516,    51 422,    31 057,    20 365,    229 007,    141 413,    87 594
