表11—6 全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁人人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表11——6全国按现住地和1985年7月1日常住地类型分性别、迁移原因的迁入人口数(续10),,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    从本省其他县、市,,,,,,,,,,,,,,,    外省,,,,,,,,,,,,    其他,,
  迁移原因,,,,,,,,,,,,,,,  迁移原因,,,,,,,,,,,,,,,
,,,,    城市,,,    镇,,,    乡村,,,,,,,,,    城市,,,    镇,,,    乡村,,,,,
  和现住地,  合计,    男,    女,,,,,,,,,,,,  和现住地,  合计,    男,    女,,,,,,,,,,  小计,    男,    女
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,,,,  小计,    男,    女,  小计,    男,    女,合计,    男,    女,,,
总计,    23 025 734,  12 375 173,  10 650 561,    3 589 237,  2 310 340,    1 278 897,  4 851 486,  2 672 503,  2 178 983,  14 585 011,  7 392 330,    7 192 681,,,总计,11 065 361,    6 432 311,    4 633 050,  2 800 030,    1 872 702,    927 328,    1 549 201,  936 066,    613 135,6 716 130,3 623 543,3 092 587,  36 512,  25 690,    10 822
北京市,    84 336,    49 714,    34 622,    19 400,    11 874,    7 526,    12 990,    7 712,    5 278,    51 946,    30 128,    21 818,,,北京市,    672 662,    440 375,    232 287,    192 149,    120 378,    71 771,    80 482,    51 118,  29 364,    400 031,    268 879,    131 152,    8 694,    5 833,    2 861
天津市,    35 422,    18 889,    16 533,    4 045,    2 645,    1 400,    6 483,    3 498,    2 985,    24 894,    12 746,    12 148,,,天津市,    244 607,    138 932,    105 675,    71 999,    45 586,    26 413,    32 123,    18 561,  13 562,    140 485,    74 785,    65 700,    668,    532,    136
河北省,    812 532,    426 056,    386 476,    141 305,    92 124,    49 181,    126 571,    68 749,    57 822,    544 656,    265 183,    279 473,,,河北省,    520 387,    226 585,    293 802,    164 467,    100 553,    63 914,    78 152,    39 420,  38 732,    277 768,    86 612,    191 156,    311,    251,    60
山西省,    627 356,    346 431,    280 925,    119 509,    77 197,    42 312,    140 048,    76 562,    63 486,    367 799,    192 672,    175 127,,,山西省,    307 026,    194 322,    112 704,    52 755,    35 146,    17 609,    41 248,    26 302,  14 946,    213 023,    132 874,    80 149,    197,    180,    17
内蒙古自治区,    578 138,    304 885,    273 253,    94 560,    57 094,    37 466,    133 862,    71 400,    62 462,    349 716,    176 391,    173 325,,,内蒙古自治区,    254 306,    142 500,    111 806,    28 887,    19 122,    9 765,    31 826,    18 275,  13 551,    193 593,    105 103,    88 490,    104,    85,    19
辽宁省,    883 395,    444 515,    438 880,    173 630,    105 426,    68 204,    224 010,    111 504,    112 506,    485 755,    227 585,    258 170,,,辽宁省,    541 375,    323 992,    217 383,    115 723,    74 032,    41 691,    96 390,    56 814,  39 576,    329 262,    193 146,  136 116,    721,    507,    214
吉林省,    611 199,    298 711,    312 488,    102 242,    58 895,    43 347,    215 997,    106 976,    109 021,    292 960,    132 840,    160 120,,,吉林省,    237 293,    146 106,    91 187,    54 424,    36 894,    17 530,    44 603,    27 623,  16 980,    138 266,    81 589,    56 677,    217,    156,    61
黑龙江省,    1 055 517,    533 133,    522 384,    163 685,    91 966,    71 719,    256 700,    129 422,    127 278,    635 132,    311 745,    323 387,,,黑龙江省,    367 428,    238 833,    128 595,    50 436,    35 250,    15 186,    56 762,    36 540,  20 222,    260 230,    167 043,    93 187,    148,    89,    59
上海市,    173 150,    102 271,    70 879,    44 798,    29 505,    15 293,    40 945,    22 688,    18 257,    87 407,    50 078,    37 329,,,上海市,    665 526,    447 932,    217 594,    163 479,    110 582,    52 897,    108 060,    70 626,  37 434,    393 987,    266 724,    127 263,    5 086,    3 373,    1 713
江苏省,    1 188 589,    675 133,    513 456,    167 471,    118 392,    49 079,    150 876,    88 921,    61 955,    870 242,    467 820,    402 422,,,江苏省,    791 110,    397 571,    393 539,    250 764,    163 869,    86 895,    90 798,    50 833,  39 965,    449 548,    182 869,    266 679,    1 541,    1 264,    277
浙江省,    799 618,    452 092,    347 526,    110 379,    77 143,    33 236,    173 971,    102 136,    71 835,    515 268,    272 813,    242 455,,,浙江省,    335 886,    184 540,    151 346,    123 812,    86 761,    37 051,    48 344,    29 014,  19 330,    163 730,    68 765,    94 965,    1 834,    1 591,    243
安徽省,    869 545,    480 036,    389 509,    147 342,    99 755,    47 587,    133 841,    75 806,    58 035,    588 362,    304 475,    283 887,,,安徽省,    337 763,    167 652,    170 111,    106 154,    76 528,    29 626,    38 450,    23 843,  14 607,    193 159,    67 281,  125 878,    583,    479,    104
福建省,    722 698,    422 077,    300 621,    127 220,    85 053,    42 167,    170 933,    98 513,    72 420,    424 545,    238 511,    186 034,,,福建省,    251 044,    135 480,    115 564,    51 528,    35 691,    15 837,    31 654,    17 374,  14 280,    167 862,    82 415,    85 447,    1 573,    1 133,    440
江西省,    734 087,    407 884,    326 203,    109 809,    73 811,    35 998,    137 715,    79 792,    57 923,    486 563,    254 281,    232 282,,,江西省,    224 865,    151 494,    73 371,    50 727,    38 948,    11 779,    33 546,    23 737,    9 809,    140 592,    88 809,    51 783,    595,    508,    87
山东省,    1 190 017,    660 565,    529 452,    210 772,    140 302,    70 470,    397 862,    217 034,    180 828,    581 383,    303 229,    278 154,,,山东省,    609 432,    287 962,    321 470,    195 360,    118 974,    76 386,    142 207,    69 026,    73 181,    271 865,    99 962,    171 903,    965,    872,    93
河南省,    1 238 943,    698 321,    540 622,    241 860,    158 800,    83 060,    125 439,    70 532,    54 907,    871 644,    468 989,    402 655,,,河南省,    477 833,    278 024,    199 809,    173 997,    117 789,    56 208,    69 148,    41 776,    27 372,    234 688,  118 459,    116 229,    453,    392,    61
