表1-10省自治区直辖市15岁及15岁以上的文盲半文盲人口数,,,,,,,,,
,,,,,,,,,
单位：人、％,,,,,,,,,
,,,,,,,,,
,    15岁及15岁以上人口数,,,    文盲、,    半文盲人口数,,    文盲、半文盲占15岁及以上人口百分比,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    817 508 784,    418 956 809,    398 551 975,    181 609 097,    54 359 731,    127 249 366,    22.21,    12.98,    31.93
北京市,    8 638 368,    4 467 355,    4 171 013,    942 779,    239 687,    703 092,    10.91,    5.37,    16.86
天津市,    6 790 611,    3 440 624,    3 349 987,    787 597,    183 756,    603 841,    11.60,    5.34,    18.03
河北省,    43 345 829,    22 021 951,    21 323 878,    9 370 841,    2 826 826,    6 544 015,    21.62,    12.84,    30.69
山西省,    20 664 019,    10 737 904,    9 926 115,    3 266 564,    1 084 713,    2 181 851,    15.81,    10.10,    21.98
内蒙古自治区,    15 352 800,    8 008 278,    7 344 522,    3 328 158,    1 152 023,    2 176 135,    21.68,    14.39,    29.63
辽宁省,    30 297 154,    15 421 540,    14 875 614,    3 487 317,    1 014 263,    2 473 054,    11.51,    6.58,16.62
吉林省,    18 209 065,    9 302 868,    8 906 197,    2 603 289,    881 406,    1 721 883,    14.30,    9.47,    19.33
黑龙江省,    25 847 727,    13 243 332,    12 604 395,    3 859 223,    1 254 306,    2 604 917,    14.93,    9.47,    20.67
上海市,    10 910 018,    5 559 771,    5 350 247,    1 474 749,    331 484,    1 143 265,    13.52,    5.96,    21.37
江苏省,    51 133 135,    25 821 657,    25 311 478,    11 626 835,    3 110 284,    8 516 551,    22.74,    12.05,    33.65
浙江省,    31 793 866,    16 299 044,    15 494 822,    7 297 499,    2 164 747,    5 132 752,    22.95,    13.28,    33.13
安徽省,    40 231 450,    20 680 933,    19 550 517,    13 818 302,    4 376 198,    9 442 104,    34.35,    21.16,    48.30
福建省,    20 591 773,    10 526 911,    10 064 862,    4 767 273,    1 116 014,    3 651 259,    23.15,    10.60,    36.28
江西省,    25 723 318,    13 258 722,    12 464 596,    6 197 208,    1 636 894,    4 560 314,    24.09,    12.35,    36.59
山东省,    61 943 738,    31 164 424,    30 779 314,    14 256 068,    4 145 182,    10 110 886,    23.01,    13.30,    32.85
河南省,    60 485 269,    30 681 004,    29 804 265,    13 958 052,    4 335 815,    9 622 237,    23.08,    14.13,    32.28
湖北省,    38 613 805,    19 883 550,    18 730 255,    8 615 573,    2 492 252,    6 123 321,    22.31,    12.53,    32.69
湖南省,    43 693 909,    22 709 1 32,    20 984 777,    7 425 619,    2 082 098,    5 343 521,    16.99,    9.17,    25.46
广东省,    44 032 428,    22 293 333,    21 739 095,    6 632 323,    1 294 975,    5 337 348,    15.06,    5.81,    24.55
广西壮族自治区,    28 143 553,    14 658 217,    13 485 336,    4 572 697,    1 102 216,    3 470 481,    16.25,    7.52,    25.74
海南省,    4 388 847,    2 269 598,    2 119 249,    928 652,    225 175,    703 477,    21.16,    9.92,    33.19
四川省,    82 369 970,    42 598 439,    39 771 531,    17 500 653,    5 520 371,    11 980 282,    21.25,    12.96,    30.12
贵州省,    21 806 376,    11 298 766,    10 507 610,    8 008 639,    2 422 603,    5 586 036,    36.73,    21.44,    53.16
云南省,    25 268 476,    12 969 681,    12 298 795,    9 467 073,    3 174 149,    6 292 924,    37.47,    24.47,    51.17
西藏自治区,    1 414 603,    704 396,    710 207,    980 883,    390 864,    590 019,    69.34,    55.49,    83.08
陕西省,    23 387 564,    12 117 275,    11 270 289,    5 874 889,    1 985 871,    3 889 018,    25.12,    16.39,    34.51
甘肃省,    16 112 852,    8 353 317,    7 759 535,    6 310 630,    2 193 551,    4 117 079,    39.17,    26.26,    53.06
青海省,    3 086 277,    1 611 570,    1 474 707,    1 235 865,    433 647,    802 218,    40.04,    26.91,    54.40
宁夏回族自治区,    3 084 786,    1 585 006,    1 499 780,    1 032 746,    356 081,    676 665,    33.48,    22.47,    45.12
新疆维吾尔自治区,    10 147 198,    5 268 211,    4 878 987,    1 981 101,    832 280,    1 148 821,    19.52,    15.80,    23.55
