表1-11省自治区直辖市各行业门类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-11单位：人,,,,,,,,,,,,,,,,,,表1-11单位：人,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    Ⅳ、建筑业,,,    Ⅴ、交通运输、邮电通讯业,,,    Ⅵ、商业，公共饮食业、,,,Ⅶ、房地产管理、公用事业、,,,Ⅷ、卫生、体育和社会福利事业,,,,,,  Ⅸ、教育、文化艺术和广播电视事业,,,  Ⅹ、科学研究和综合技术服务事业,,,    Ⅺ、金融、保险业,,,Ⅻ、国家机关、政党机关和社会团体,,,    Ⅻ、其他行业,,
,    合计,,,    Ⅰ、农、林、牧、渔、水利业,,,    Ⅱ、工业,,,    Ⅲ、地质普查和勘探业,,,,,    地区别,,,,,,,    物资供销和仓储业,,,    居民服务和咨询服务业,,,,,,,,    地区别,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,  11 642 485,  9 759 181,  1 883 304,  11 751 280,  9 569 472,  2 181 808, 25 771 405,13 720 036,12 051 369, 6 188 251, 3 422 372, 2 765 879, 5 167 832, 2 407 710,2 760 122,,,总计,  15 102 055,  8 846 725,  6 255 330,  1 450 491,    914 083,    536 408,2 132 142, 1 289 832,  842 310, 12 952 647, 10 019 017,  2 933 630,  115 991,    82 566,  33 425
总计,  647 244 706,  356 230 253,  291 014 453,  467 593 223, 246 146 862,  221 446 361,  86 578 757,  49 452 189,37 126 568,    798 147,    600 208,  197 939,,,北京市,    498 740,    417 793,    80 947,    232 266,    186 759,    45 507,    577 955,  289 393,  288 562,  331 996,  176 236,  155 760,  154 046,    49 761,  104 285,,,北京市,    427 251,    197 014,    230 237,    239 589,    145 816,    93 773,    39 610,    19 981,    19 629,    513 975,    361 158,    152 817,    13 246,    10 152,    3 094
北京市,    6 225 657,    3 563 582,    2 662 075,    1 198 741,    597 191,    601 550,  1 992 604,    1 108 114,    884 490,    5 638,    4 214,    1 424,,,天津市,    221 246,    177 551,    43 695,    207 766,    169 697,    38 069,    418 813,  222 051,  196 762,  142 370,    81 204,    61 166,    83 443,    32 164,    51 279,,,天津市,    214 628,    100 818,    113 810,    47 292,    29 206,    18 086,    24 686,    13 896,    10 790,    198 072,    141 735,    56 337,    279,    212,    67
天津市,    4 995 332,    2 836 304,    2 159 028,    1 482 437,    806 312,    676 125,  1 927 912,    1 044 188,    883 724,    26 388,    17 270,    9 118,,,河北省,    525 148,    450 710,    74 438,    520 477,    447 545,    72 932,  1 005 870,  561 419,  444 451,  194 172,  109 246,    84 926,  239 903,    119 645,  120 258,,,河北省,    673 873,    364 919,    308 954,    45 701,    29 239,    16 462,    114 539,    70 799,    43 740,    720 847,    566 394,    154 453,    2 457,    1 444,    1 013
河北省,  34 101 127,  19 148 679,  14 952 448,  26 386 756,  14 137 855,    12 248 901,  3 582 722,    2 228 720,  1 354 002,    88 662,    60 744,    27 918,,,山西省,    329 095,    273 308,    55 787,    425 065,    375 030,    50 035,    602 774,  324 479,  278 295,  117 453,    66 222,    51 231,  156 490,    72 317,    84 173,,,山西省,    476 347,    249 469,    226 878,    32 773,    19 647,    13 126,    68 563,    40 355,    28 208,    448 806,    334 322,    114 484,    668,    464,    204
山西省,  14 951 958,    9 122 825,    5 829 133,    9 745 678,  5 542 770,    4 202 908,  2 530 347,    1 810 294,    720 053,    17 899,    14 148,    3 751,,,内蒙古自治区,    300 973,    236 942,    64 031,    307 638,    242 475,    65 163,    621 988,  318 787,  303 201,  117 942,    59 352,    58 590,  124 307,    56 858,    67 449,,,内蒙古自治区,    393 253,    221 036,    172 217,    28 318,    17 661,    10 657,    63 205,    37 382,    25 823,    349 114,    260 652,    88 462,    1 704,    1 300,    404
内蒙古自治区,  11 192 078,    6 643 888,    4 548 190,    7 255 141,  4 196 792,    3 058 349,  1 602 611,    974 955,    627 656,    25 884,    19 696,    6 188,,,辽宁省,    808 570,    613 928,    194 642,    698 416,    538 798,    159 618,  1 503 671,  735 309,  768 362,  381 871,  199 687,  182 184,  280 890,    111 129,  169 761,,,辽宁省,    684 806,    333 052,    351 754,    89 432,    55 939,    33 493,    119 986,    70 906,    49 080,    585 402,    430 492,    154 910,    11 296,    8 682,    2 614
辽宁省,  22 380 944,  12 781 816,    9 599 128,  11 044 334,  6 140 993,    4 903 341,  6 123 993,  3 506 855,  2 617 138,    48 277,    36 046,    12 231,,,吉林省,    338 292,    260 457,    77 835,    341 107,    262 491,    78 616,    858 856,  422 710,  436 146,  174 755,    88 570,    86 185,  161 644,    67 082,    94 562,,,吉林省,    459 256,    235 793,    223 463,    39 997,    25 191,    14 806,    78 026,    43 215,    34 811,    376 267,    281 438,    94 829,    3 477,    2 027,    1 450
吉林省,  12 865 126,    7 644 422,    5 220 704,    7 450 084,  4 460 006,    2 990 078,  2 561 575,  1 478 490,  1 083 085,    21 790,    16 952,    4 838,,,黑龙江省,    507 129,    377 085,    130 044,    515 304,    395 948,    119 356,    1 194 959,  578 987,  615 972,  279 268,  140 493,  138 775,  236 044,    92 735,  143 309,,,黑龙江省,    618 707,    312 116,    306 591,    49 018,    30 354,    18 664,    91 376,    54 210,    37 166,    653 955,    470 146,    183 809,    502,    362,    140
黑龙江省,  17 450 242,  10 697 978,    6 752 264,    9 265 711,  5 821 122,    3 444 589,  4 001 466,  2 396 407,  1 605 059,    36 803,    28 013,    8 790,,,上海市,    453 376,    398 994,    54 382,    344 160,    277 871,    66 289,    729 935,  391 881,  338 054,  342 104,  201 295,  140 809,  167 062,    53 604,  113 458,,,上海市,    348 817,    169 315,    179 502,    98 496,    63 940,    34 556,    35 789,    18 845,    16 944,    291 397,    213 561,    77 836,    1 961,    1 314,    647
上海市,    8 058 492,    4 380 222,    3 678 270,    988 546,    419 449,    569 097,  4 252 266,  2 166 329,  2 085 937,    4 583,    3 824,    759,,,江苏省,    779 259,    695 599,    83 660,    846 986,    648 823,    198 163,  1 669 397,  933 463,  735 934,  407 746,  248 227,  159 519,  301 095,  145 163,  155 932,,,江苏省,    884 431,    531 550,    352 881,    72 514,    45 492,    27 022,    106 973,    67 808,    39 165,    621 362,    494 722,    126 640,    2 916,    1 886,    1 030
江苏省,  41 867 966,  22 076 210,  19 791 756,  27 057 068,  13 485 934,    13 571 134,  9 091 645,  4 756 749,  4 334 896,    26 574,    20 794,    5 780,,,浙江省,    504 614,    462 274,    42 340,    569 897,    491 677,    78 220,  1 290 085,  675 281,  614 804,  341 473,  192 304,  149 169,  180 593,    81 653,  98 940,,,浙江省,    482 533,    254 896,    227 637,    33 943,    22 546,    11 397,    84 267,    48 173,    36 094,    417 805,    328 440,    89 365,    5 386,    4 388,    998
浙江省,  24 575 395,  14 360 613,  10 214 782,  15 055 501,  8 974 014,    6 081 487,  5 599 085,  2 816 644,  2 782 441,    10 213,    8 323,    1 890,,,安徽省,    453 746,    388 878,    64 868,    481 266,    387 097,    94 169,  1 055 047,  548 121,  506 926,  220 963,  127 724,    93 239,  199 692,  105 017,  94 675,,,安徽省,    614 307,    410 565,    203 742,    30 836,    19 890,    10 946,    76 786,    47 149,    29 637,    433 050,    336 812,    96 238,    1 560,    1 280,    280
安徽省,  33 465 671,  18 087 812,  15 377 859,  27 128 301,  14 053 095,    13 075 206,  2 745 103,  1 642 550,  1 102 553,    25 014,    19 634,    5 380,,,福建省,    412 000,    374 010,    37 990,    397 771,    349 597,    48 174,    751 594,  439 849,  311 745,  181 764,  113 201,    68 563,  129 513,    64 650,  64 863,,,福建省,    407 467,    234 004,    173 463,    18 623,    12 752,    5 871,    58 273,    35 625,    22 648,    340 634,    270 853,    69 781,    1 868,    1 130,    738
福建省,  14 955 085,    8 914 708,    6 040 377,  10 146 595,  5 770 423,    4 376 172,  2 097 004,  1 238 704,    858 300,    11 979,    9 910,    2 069,,,江西省,    211 989,    168 173,    43 816,    276 241,    217 488,    58 753,    660 816,  337 058,  323 758,  131 563,    71 653,    59 910,  153 261,    77 876,  75 385,,,江西省,    464 272,    298 689,    165 583,    29 517,    18 584,    10 933,    65 442,    38 950,    26 492,    354 187,    279 956,    74 231,    5 196,    3 372,    1 824
江西省,20 444 776,  11 264 435,    9 180 341,  15 942 095,  8 478 282,    7 463 813,  2 118 664,  1 250 856,    867 808,    31 533,    23 498,    8 035,,,山东省,    667 043,    585 410,    81 633,    567 839,    471 858,    95 981,  1 392 005,  783 958,  608 047,  290 901,  162 272,  128 629,  319 995,    158 086,  161 909,,,山东省,  1 032 449,    649 539,    382 910,    56 114,    36 967,    19 147,    132 287,    86 211,    46 076,    808 155,    655 947,    152 208,    4 601,    3 310,    1 291
山东省,  50 772 124,  27 017 542,  23 754 582,  40 009 664,  20 141 929,    19 867 735,  5 455 199,  3 255 021,  2 200 178,    35 872,    27 034,    8 838,,,河南省,    415 591,    354 665,    60 926,    603 849,    493 959,    109 890,  1 387 023,  775 936,  611 087,  268 866,  148 549,  120 317,  333 533,    178 132,  155 401,,,河南省,    979 854,    606 391,    373 463,    47 645,    30 828,    16 817,    139 098,    83 788,    55 310,    800 599,    657 276,    143 323,    16 608,    13 858,    2 750
