表1-12省自治区直辖市各职业大类的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,表1-12单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运输,,,,,
,    在业人口总数,,,    Ⅰ、各类专业、技术人员,,,    Ⅱ、国家机关、党群组织、,,,    Ⅲ、办事人员和有关人员,,,    Ⅳ、商业工作人员,,,,,    地区别,,,,,,,    工人和有关人员,,,    Ⅷ、不便分类的其他劳动者,,
    地区别,,,,,,,    企事业单位负责人,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,  15 511 513,  7 502 533,  8 008 980, 456 819 731, 237 806 378,  219 013 353,  98 125 481,  63 115 886,  35 009 595,    317 679,    182 822,    134 857
总计,647 244 706, 356 230 253, 291 014 453,  34 393 821,  18 829 927, 15 563 894, 11 328 317, 10 024 495, 1 303 822, 11 275 891, 8 382 217, 2 893 674, 19 472 273, 10 385 995, 9 086 278,,,北京市,    535 065,    246 098,    288 967,1 119 198,    535 968,    583 230,    2 340 111,  1 556 859,    783 252,    2 758,    1 605,    1 153
北京市,  6 225 657,  3 563 582,  2 662 075,  1 043 278,    463 637,    579 641,    419 098,  329 814,    89 284,  378 126,  240 735,  137 391,  388 023,  188 866,  199 157,,,天津市,    315 501,    161 978,    153 523,    1 426 256,    758 130,    668 126,    1 926 187,  1 153 377,    772 810,    4 012,    1 981,    2 031
天津市,  4 995 332,  2 836 304,  2 159 028,    618 852,    284 919,    333 933,    207 501,  170 812,    36 689,  204 758,  140 632,    64 126,  292 265,  164 475,  127 790,,,河北省,    575 833,    311 762,    264 071,  26 307 900,  14 074 119,  12 233 781,    3 901 276,  2 673 953,  1 227 323,    2 486,    1 547,    939
河北省,  34 101 127,  19 148 679,  14 952 448,  1 547 463,    817 662,    729 801,    492 993,  443 354,    49 639,  519 258,  392 528,  126 730,  753 918,  433 754,  320 164,,,山西省,    355 978,    194 722,    161 256,  9 625 857,  5 434 473,    4 191 384,    2 776 789,  2 157 366,    619 423,    11 861,    6 576,    5 285
山西省,  14 951 958,  9 122 825,  5 829 133,  1 031 642,    519 647,    511 995,    358 582,  325 987,    32 595,  346 525,  251 138,    95 387,  444 724,  232 916,  211 808,,,内蒙古自治区,    360 001,    180 466,    179 535,  7 142 172,  4 105 554,    3 036 618,    1 883 503,  1 299 765,    583 738,    15 025,    8 159,    6 866
内蒙古自治区,  11 192 078,  6 643 888,  4 548 190,    833 718,    420 306,    413 412,    255 864,  223 650,    32 214,  301 965,  218 674,    83 291,  399 830,  187 314,  212 516,,,辽宁省,    952 591,    400 573,    552 018,  10 775 962,  5 919 646,    4 856 316,    6 196 060,  3 972 234,  2 223 826,    34 220,    17 860,    16 360
辽宁省,  22 380 944,  12 781 816,  9 599 128,  1 940 400,    876 777,  1 063 623,    813 896,  682 771,  131 125,  608 625,  404 937,  203 688, 1 059 190,  507 018,  552 172,,,吉林省,    483 147,    213 267,    269 880,  7 377 630,  4 397 280,    2 980 350,    2 658 968,  1 731 885,    927 083,    3 048,    1 317,    1 731
吉林省,  12 865 126,  7 644 422,  5 220 704,  1 071 412,    492 445,    578 967,    340 979,  288 847,    52 132,  372 344,  271 342,  101 002,  557 598,  248 039,  309 559,,,黑龙江省,    817 365,    378 019,    439 346,  9 038 518,  5 651 800,    3 386 718,    4 069 639,  2 705 086,  1 364 553,    56 342,    24 070,    32 272
黑龙江省,  17 450 242,  10 697 978,  6 752 264,  1 553 713,    707 195,    846 518,    618 324,  521 919,    96 405,  510 496,  366 210,  144 286,  785 845,  343 679,  442 166,,,上海市,    699 053,    304 722,    394 331,    929 069,    371 912,    557 157,    4 068 455,  2 312 047,  1 756 408,    1 699,    887,    812
上海市,  8 058 492,  4 380 222,  3 678 270,  1 075 234,    536 257,    538 977,    295 695,  240 544,    55 151,  465 062,  317 733,  147 329,  524 225,  296 120,  228 105,,,江苏省,    1 275 532,    684 994,    590 538,  24 353 669,  11 138 418,  13 215 251,  10 715 553,  6 581 343,  4 134 210,    42 732,    30 842,11 890
江苏省,  41 867 966,  22 076 210,  19 791 756,  2 216 969,  1 260 408,    956 561,  1 175 247, 1 049 835,  125 412,  599 757,  441 315,  158 442, 1 488 507,  889 055,  599 452,,,浙江省,    781 633,    383 086,    398 547,  12 990 312,  7 785 659,    5 204 653,  7 446 262,  4 108 935,  3 337 327,    10 294,    5 290,    5 004
浙江省,  24 575 395,  14 360 613,  10 214 782,  1 285 050,    681 553,    603 497,    402 649,  368 689,    33 960,  378 439,  279 703,    98 736, 1 280 756,  747 698,  533 058,,,安徽省,    574 631,    290 484,    284 147,  26 588 652,  13 565 609,  13 023 043,  3 433 012,  2 381 752,  1 051 260,    10 781,    6 968,    3 813
安徽省,  33 465 671,  18 087 812,  15 377 859,  1 257 278,    762 652,    494 626,    426 475,  388 389,    38 086,  376 261,  292 913,    83 348,  798 581,  399 045,  399 536,,,福建省,    380 145,    198 004,    182 141,  9 792 662,  5 467 243,  4 325 419,  2 817 638,  1 977 280,    840 358,    5 364,    2 848,    2 516
福建省,  14 955 085,  8 914 708,  6 040 377,    825 203,    470 579,    354 624,    202 657,  185 597,    17 060,  303 341,  237 162,    66 179,  628 075,  375 995,  252 080,,,江西省,    400 257,    190 446,    209 811,  15 133 679,  7 780 357,  7 353 322,  2 803 755,  1 940 871,    862 884,    8 802,    5 591,    3 211
江西省,  20 444 776,  11 264 435,  9 180 341,  1 000 546,    596 549,    403 997,    295 189,  270 382,    24 807,  292 042,  223 896,    68 146,  510 506,  256 343,  254 163,,,山东省,    837 890,    446 159,    391 731,  39 120 057,  19 657 098,  19 462 959,  6 019 474,  3 691 618,  2 327 856,    11 992,    6 821,    5 171
山东省,  50 772 124,  27 017 542,  23 754 582,  2 291 739,  1 358 107,    933 632,    669 708,  617 200,    52 508,  771 444,  620 311,    151 133, 1 049 820,  620 228,  429 592,,,河南省,    636 669,    342 730,    293 939,  41 278 493,  21 056 268,  20 222 225,  3 925 214,  2 667 824,  1 257 390,    27 342,    19 517,    7 825
河南省,  50 191 516,  26 897 539,  23 293 977,  1 996 450,  1 164 116,    832 334,    648 983,  589 973,    59 010,  626 225,  482 315,    143 910, 1 052 140,  574 796,  477 344,,,湖北省,    856 231,    389 010,    467 221,  22 379 038,  11 479 337,  10 899 701,  4 279 318,  2 703 794,  1 575 524,    5 634,    3 216,    2 418
湖北省,  31 569 591,  17 105 583,  14 464 008,  1 757 187,    996 494,    760 693,    570 336,  510 140,    60 196,  594 218,  449 559,    144 659, 1 127 629,  574 033,  553 596,,,湖南省,    589 035,    264 042,    324 993,  27 363 362,  14 556 258,  12 807 104,  3 680 024,  2 489 470,  1 190 554,    8 165,    4 590,    3 575
湖南省,  34 897 417,  19 323 118,  15 574 299,  1 480 231,    839 873,    640 358,    463 034,  419 334,    43 700,  446 021,  339 433,    106 588,  867 545,  410 118,  457 427,,,广东省,    1 135 388,    511 152,    624 236,  20 254 603,  10 571 544,  9 683 059,  7 441 500,  4 134 653,  3 306 847,    1 784,    910,    874
广东省,  33 657 219,  18 383 788,  15 273 431,  1 817 338,  1 044 207,    773 131,    578 123,  517 043,    61 080,  697 129,  520 272,    176 857,  1 731 354, 1 084 007,  647 347,,,广西壮族自治区,    324 247,    133 541,    190 706,  19 024 151,  9 852 101,  9 172 050,  1 598 002,  1 061 778,    536 224,    2 101,    1 442,    659
广西壮族自治区,  22 925 557,  12 316 682,  10 608 875,    889 082,    543 734,    345 348,    271 949,  243 045,    28 904,  255 520,  203 459,    52 061,  560 505,  277 582,  282 923,,,海南省,    86 246,    30 693,    55 553,    2 371 256,  1 175 977,  1 195 279,    391 283,    283 013,    108 270,    573,    486,    87
海南省,  3 335 260,  1 800 880,  1 534 380,    195 013,    123 905,    71 108,    52 058,    48 734,    3 324,    77 956,    64 372,    13 584,  160 875,    73 700,    87 175,,,四川省,    1 142 181,    593 119,    549 062,  56 186 857, 28 587 350,  27 599 507,  5 822 341,  3 974 670,  1 847 671,    25 642,    14 868,    10 774
