表1-13省自治区直辖市不在业人口状况,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, 表1-13单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    市镇待业,,,    离休、退休、退职,,,    丧失工作能力,,,    其它,,
,    合计,,,    在校学生,,,    料理家务,,,    待升学,,,,,    地区别,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  5 740 225,  2 923 090,  2 817 135, 21 510 485,  13 072 035,    8 438 450,  28 111 328,  12 862 794,  15 248 534,  4 442 300,  3 018 594,  1 423 706
总计,  170 264 078,  62 726 556,  107 537 522, 39 158 574,  23 180 254,  15 978 320,  68 926 624,  6 306 966,  62 619 658,  2 374 542,  1 362 823,  1 011 719,,,北京市,    85 981,    52 216,    33 765,    743 692,    352 235,    391 457,    212 087,    92 735,    119 352,    45 426,    33 907,    11 519
北京市,    2 412 711,    903 773,    1 508 938,    627 727,    339 172,    288 555,    675 012,    22 401,    652 611,    22 786,    11 107,    11 679,,,天津市,    85 161,    42 305,    42 856,    503 969,    258 522,    245 447,    161 546,    72 672,    88 874,    15 682,    11 328,    4 354
天津市,    1 795 279,    604 320,    1 190 959,    389 631,    202 947,    186 684,    634 805,    14 376,    620 429,    4 485,    2 170,    2 315,,,河北省,    112 749,    52 859,    59 890,    794 324,    566 835,    227 489,  2 208 808,  1 021 102,  1 187 706,    139 993,    100 530,    39 463
河北省,    9 244 702,    2 873 272,    6 371 430,  1 795 841,    962 668,    833 173,    4 118 784,    133 117,  3 985 667,    74 203,    36 161,    38 042,,,山西省,    146 592,    73 186,    73 406,    452 869,    346 356,    106 513,    885 368,    442 595,    442 773,    125 251,    81 465,    43 786
山西省,    5 712 061,    1 615 079,    4 096 982,  1 046 268,    554 836,    491 432,    2 931 858,    54 501,  2 877 357,    123 855,    62 140,    61 715,,,内蒙古自治区,    178 418,    87 611,    90 807,    395 753,    297 636,    98 117,    508 806,    281 714,    227 092,    176 758,    120 353,    56 405
