表1-15省自治区直辖市家庭户规模,,,,,,,,,,,
,,,,,,,,,,,
单位：人,,,,,,,,,,,
,,,,,,,,,,,
    地区别,    合计,    一人户,    二人户,    三人户,  四人户,  五人户,  六人户,  七人户,  八人户,  九人户,十人及以上户
总计,  276 911 767,  17 355 508,  30 605 168,  65 717 790, 71 510 544,  49 114 451,    23 284 783,    10 860 512,    4 762 215,    2 025 666,  1 675 130
北京市,    3 101 665,    378 274,    575 808,    1 005 408,  664 870,    283 775,    115 649,    46 331,    18 494,    7 416,    5 640
天津市,    2 539 286,    273 134,    396 271,    870 747,  551 055,    254 689,    108 380,    47 322,    21 163,    9 060,    7 465
河北省,    15 302 097,    882 610,    1 774 700,    3 500 323,  4 441 575,    2 776 853,    1 105 671,    482 820,    197 029,    76 468,    64 048
山西省,    7 144 111,    491 020,    845 253,    1 549 430,  1 951 229,    1 349 153,    581 653,    235 623,    87 196,    32 303,    21 251
内蒙古自治区,    5 273 146,    252 246,    522 143,    1 275 829,  1 452 381,    989 942,    457 834,    192 782,    77 466,    30 630,    21 893
辽宁省,    10 810 526,    443 608,    1 305 755,    4 063 048,  2 736 032,    1 426 992,    545 634,    188 644,    66 621,    22 431,    11 761
吉林省,    6 277 160,    198 616,    609 580,    1 978 243,  1 754 689,    1 001 785,    446 096,    178 706,    67 755,    25 057,    16 633
黑龙江省,    8 895 075,    263 905,    888 256,    2 682 633,  2 477 181,    1 486 273,    670 180,    267 919,    100 403,    36 047,    22 278
上海市,    4 065 274,    491 663,    794 003,    1 469 130,    755 405,    358 597,    127 189,    44 994,    15 960,    5 188,    3 145
江苏省,    17 815 925,    1 313 477,    2 213 696,    5 282 876,  4 527 948,  2 662 200,    1 067 291,    436 168,    179 581,    73 106,    59 582
浙江省,    11 684 715,    1 178 481,    1 640 971,    3 350 315,  3 028 332,  1 607 940,    576 423,    203 619,    66 633,    21 310,    10 691
安徽省,    13 320 101,    834 619,    1 322 075,    2 571 240,  3 357 017,  2 745 367,    1 379 127,    652 327,    275 082,    109 207,    74 040
福建省,    6 577 547,    382 007,    566 875,    1 102 795,  1 550 611,  1 408 245,    774 720,    389 826,    191 227,    94 839,    116 402
江西省,    8 329 303,    388 678,    684 293,    1 434 415,  2 067 059,  1 846 440,    994 191,    502 379,    228 104,    99 328,    84 416
山东省,    21 874 449,    1 326 569,    2 789 209,    5 771 112,  6 032 260,  3 567 429,    1 444 439,    573 892,    217 253,    84 624,    67 662
河南省,    19 735 114,    976 326,    1 846 979,    3 761 349,  5 209 580,  4 207 861,    2 001 325,    975 988,    433 428,    182 107,    140 171
湖北省,    13 003 134,    590 432,    1 313 490,    2 953 451,  3 779 645,  2 510 084,    1 107 247,    469 056,    177 682,    62 924,    39 123
湖南省,    15 648 776,    1 072 020,    1 938 051,    3 536 792,  4 584 280,  2 888 642,    1 065 532,    381 395,    123 819,    38 499,    19 746
广东省,    13 436 117,    1 014 148,    1 198 911,    2 145 237,  2 929 948,  2 743 125,    1 624 700,    884 281,    443 807,    217 299,    234 661
广西壮族自治区,    8 847 909,    571 957,    715 995,    1 280 176,  1 792 977,  1 762 671,    1 219 030,    748 083,    400 933,    192 567,    163 520
海南省,1 386 326,    112 342,    131 225,    209 930,    266 379,    252 602,    169 312,    111 422,    65 389,    33 137,    34 588
四川省,    28 475 224,    2 304 976,    3 506 005,    7 687 756,  7 743 031,    4 375 780,    1 741 942,    693 547,    263 452,    96 085,    62 650
贵州省,    7 210 364,    394 692,    660 872,    1 254 088,  1 486 771,    1 546 872,    983 043,    520 267,    227 277,    87 363,    49 119
云南省,    7 964 195,    372 855,    668 710,    1 380 901,  1 878 098,    1 531 047,    1 016 244,    581 705,    292 176,    134 648,    107 811
西藏自治区,    402 441,    31 162,    40 364,    50 728,    58 263,    54 711,    46 063,    39 168,    30 521,    21 378,    30 083
陕西省,    7 762 770,    371 452,    804 675,    1 675 782,  2 102 766,    1 553 839,    739 195,    318 482,    120 378,    44 697,    31 504
甘肃省,    4 771 514,    160 675,    319 103,    843 752,  1 241 258,    1 007 576,    577 991,    319 823,    159 620,    74 400,    67 316
青海省,    916 390,    48 551,    77 806,    160 463,    188 698,    171 414,    112 933,    68 530,    40 580,    22 500,    24 915
宁夏回族自治区,    992 237,    37 617,    75 728,    177 468,    227 728,    200 500,    133 843,    73 008,    36 291,    16 669,    13 385
新疆维吾尔自治区,    3 348 876,    197 396,    378 366,    692 373,    673 478,    542 047,    351 906,    232 405,    136 895,    74 379,    69 631
