表1-16省自治区直辖市出生人口数,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,    合计,,,,    1989年上半年,,,,    1989年下半年,,,,    1990年上半年,,,
    地区别,,,,,,,,,,,,,,,,
,  合计,    男,    女,性别比,  小计,    男,    女,  性别比,  小计,    男,    女,性别比,  小计,    男,    女,  性别比
总计,35 110 945, 18 505 929, 16 605 016,  111.45, 11 324 448, 5 973 626, 5 350 822,    111.64, 13 300 439,  6 995 458, 6 304 981,  110.95, 10 486 058,  5 536 845,  4 949 213,  111.87
北京市,    218 277,    113 077,    105 200,  107.49,    73 943,    38 101,    35 842,    106.30,    78 933,    41 024,    37 909,  108.22,    65 401,    33 952,    31 449,  107.96
天津市,    204 409,    107 138,    97 271,  110.14,    67 987,    35 549,    32 438,    109.59,    76 446,    40 148,    36 298,  110.61,    59 976,    31 441,    28 535,  110.18
河北省,  1 854 637,    981 807,    872 830,  112.49,    646 634,  341 867,  304 767,    112.17,  687 093,  361 938,  325 155,  111.31,  520 910,  278 002,  242 908,  114.45
山西省,    961 005,    502 597,    458 408,  109.64,    320 029,  168 080,  151 949,    110.62,  337 566,  175 539,  162 027,  108.34,  303 410,  158 978,  144 432,  110.07
内蒙占自治区,    630 484,    327 873,    302 611,  108.35,    198 666,  103 247,    95 419,    108.20,  227 546,  118 534,  109 012,  108.73,  204 272,  106 092,    98 180,  108.06
辽宁省,    919 996,    482 240,    437 756,  110.16,    309 793,  161 997,  147 796,    109.61,  315 789,  165 848,  149 941,  110.61,  294 414,  154 395,  140 019,  110.27
吉林省,    704 997,    367 146,    337 851,  108.67,    251 829,  131 828,  120 001,    109.86,  224 243,  115 860,  108 383,  106.90,  228 925,  119 458,  109 467,  109.13
黑龙江省,    949 341,    491 394,    457 947,  107.30,    333 060,  172 838,  160 222,    107.87,  308 611,  159 559,  149 052,  107.05,  307 670,  158 997,  148 673,  106.94
上海市,    224 707,    115 004,    109 703,  104.83,    73 636,    37 564,    36 072,    104.14,    87 110,    44 623,    42 487,  105.03,    63 961,    32 817,    31 144,  105.37
江苏省,  1 976 150,  1 056 691,    919 459,  114.93,  606 225,  324 358,  281 867,    115.07,  763 981,  406 753,    357 228,  113.86,    605 944,  325 580,    280 364,  116.13
浙江省,    899 359,    486 128,    413 231,  117.64,  284 727,  153 908,  130 819,    117.65,  348 751,  187 838,    160 913,  116.73,    265 881,  144 382,    121 499,  118.83
安徽省,  2 001 314,  1 052 256,    949 058,  110.87,  593 499,  313 512,  279 987,    111.97,  783 457,  411 085,    372 372,  110.40,    624 358,  327 659,    296 699,  110.43
福建省,  1 030 725,    540 577,    490 148,  110.29,  322 433,  169 350,  153 083,    110.63,  406 932,  211 805,    195 127,  108.55,    301 360,  159 422,    141 938,  112.32
江西省,  1 290 689,    678 458,    612 231,  110.82,  364 355,  192 331,  172 024,    111.80,  545 457,  285 286,    260 171,  109.65,    380 877,  200 841,    180 036,  111.56
山东省,  2 408 990,  1 289 151,  1 119 839,  115.12,  818 544,  435 358,  383 186,    113.62,  888 386,  475 777,    412 609,  115.31,    702 060,  378 016,    324 044,  116.66
河南省,  3 159 824,  1 698 368,  1 461 456,  116.21,  1 100 486,  590 224,  510 262,    115.67,  1 152 407,  617 713,    534 694,  115.53,    906 931,  490 431,    416 500,  117.75
湖北省,  1 878 781,    982 233,    896 548,  109.56,    557 282,  291 614,  265 668,    109.77,  770 870,  402 152,    368 718,  109.07,    550 629,  288 467,    262 162,  110.03
湖南省,  2 087 897,  1 094 843,    993 054,  110.25,    616 438,  323 962,  292 476,    110.77,  840 498,  439 717,    400 781,  109.72,    630 961,  331 164,    299 797,  110.46
广东省,  2 015 197,  1 064 577,    950 620,  111.99,    627 912,  332 502,  295 410,    112.56,  800 932,  421 105,    379 827,  110.87,    586 353,  310 970,    275 383,  112.92
广西壮族自治区,  1 322 626,    712 855,    609 771,  116.91,    440 972,  235 992,  204 980,    115.13,  528 350,  285 215,    243 135,  117.31,    353 304,  191 648,    161 656,  118.55
海南省,    232 276,    124 172,    108 104,  114.86,    78 969,    42 366,    36 603,    115.74,    81 954,    43 636,    38 318,  113.88,    71 353,    38 170,    33 183,  115.03
四川省,  2 770 393,  1 463 330,  1 307 063,  111.96,    858 665,  456 456,  402 209,    113.49,  1 098 231,    579 649,    518 582,  111.78,  813 497,  427 225,  386 272,  110.60
贵州省,  1 125 927,    566 446,    559 481,  101.24,    346 886,  176 966,  169 920,    104.15,  446 250,    224 949,    221 301,  101.65,  332 791,  164 531,  168 260,    97.78
云南省,  1 270 149,    657 802,    612 347,  107.42,    397 206,  205 701,  191 505,    107.41,  477 173,    247 463,    229 710,  107.73,  395 770,  204 638,  191 132,    107.07
西藏自治区,    99 131,    50 352,    48 779,  103.22,    38 400,    19 681,    18 719,    105.14,    30 547,    15 381,    15 166,  101.42,    30 184,    15 290,    14 894,    102.66
陕西省,  1 175 327,    619 219,    556 108,  111.35,    402 569,  211 210,  191 359,    110.37,  415 676,    218 676,    197 000,  111.00,    357 082,    189 333,    167 749,    112.87
甘肃省,    764 376,    401 800,    362 576,  110.82,    253 940,  133 070,  120 870,    110.09,  291 196,    151 949,    139 247,  109.12,    219 240,    116 781,    102 459,    113.98
青海省,    153 068,    78 166,    74 902,  104.36,    51 535,    26 280,    25 255,    104.06,    53 142,    27 115,    26 027,  104.18,    48 391,    24 771,    23 620,    104.87
宁夏回族自治区,    171 057,    88 405,    82 652,  106.96,    57 658,    29 863,    27 795,    107.44,    58 943,    30 359,    28 584,  106.21,    54 456,    28 183,    26 273,    107.27
新疆维吾尔自治区,    609 836,    311 824,    298 012,104.63,    230 170,  117 851,    112 319,    104.93,    173 969,    88 762,    85 207,  104.17,    205 697,    105 211,  100 486,    104.70
