表1-17  省、自治区、直辖市有生育的妇女按孩次分的出生人口数,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,省、自治区、直辖市有生育的妇女按孩次分的出生人口数(1989．1．1．-1990．6．30)(续01),,,,,,
(1989．1．1．-1990．6．30．),,,,,,,,,,,,,,,,表1-17单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1990年上半年,,,,
,    育龄,    1989年上半年,,,,,,    1989年下半年,,,,,,,,    地区别,,,,,,
    地区别,    妇女,,,,,,,,,,,,,,,,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
,    人数,  小计,  一孩,  二孩,    三孩,    四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上,,,总计,  10 164 423,    5 031 119,    3 209 712,    1 235 614,    416 704,    271 274
总计,    310 719 517,  10 933 280,    5 156 267,    3 544 887,    1 418 308,    489 419,  324 399,12 918 596,  6 634 047,  3 918 236,  1 547 654,    512 029,    306 630,,,北京市,    61 660,    45 434,    14 235,    1 707,    239,    45
北京市,    3 103 515,    68 477,    49 134,    16 660,    2 300,    323,    60,    74 098,    53 033,    18 170,    2 487,    342,    66,,,天津市,    57 384,    39 942,    14 354,    2 628,    381,    79
天津市,    2 538 343,    65 497,    46 298,    15 468,    3 140,    487,    104,    74 027,    54 745,    15 850,    2 914,    430,    88,,,河北省,    505 247,    244 905,    185 297,    56 301,    14 320,    4 424
河北省,    16 506 304,    633 556,    272 932,    244 151,    88 094,    21 913,    6 466,    668 898,    339 761,    225 786,    78 230,    19 334,    5 787,,,山西省,    295 857,    130 676,    104 795,    42 038,    13 055,    5 293
山西省,    7 791 021,    311 687,    132 310,    110 473,    47 786,    15 056,    6 062,    329 228,    153 501,    109 248,    46 702,    14 131,    5 646,,,内蒙古自治区,    199 732,    102 461,    68 737,    20 352,    5 315,    2 867
内蒙古自治区,    6 073 658,    193 169,    96 175,    66 613,    21 345,    5 799,    3 237,    222 897,    123 785,    68 443,    22 083,    5 617,    2 969,,,辽宁省,    288 453,    206 299,    71 419,    8 886,    1 434,    415
辽宁省,    11 704 844,    302 151,    215 663,    73 106,    10 924,    1 828,    630,    309 458,    234 660,    63 146,    9 723,    1 467,    462,,,吉林省,    220 524,    136 936,    63 236,    14 733,    3 880,    1 739
吉林省,    7 296 098,    241 579,    140 632,    74 807,    18 785,    4 967,    2 388,    216 911,    138 292,    58 517,    14 573,    3 723,    1 806,,,黑龙江省,    302 404,    200 473,    76 252,    18 017,    5 068,    2 594
黑龙江省,    10 494 665,    325 741,    197 019,    95 936,    22 771,    6 612,    3 403,    303 643,    201 025,    77 150,    18 050,    4 899,    2 519,,,上海市,    61 170,    56 126,    4 637,    352,    48,    7
上海市,    3 683 624,    67 882,    61 827,    5 607,    395,    45,    8,    82 595,    76 739,    5 381,    417,    44,    14,,,江苏省,    581 160,    351 783,    163 835,    47 336,    12 619,    5 587
江苏省,    19 048 609,    579 605,    342 068,    166 942,    50 359,    14 213,    6 023,    735 010,    472 865,    188 243,    53 996,    14 235,    5 671,,,浙江省,    255 807,    180 078,    65 164,    8 573,    1 493,    499
浙江省,    11 799 958,    269 066,    187 046,    68 138,    10 843,    2 238,    801,    334 069,    247 977,    71 850,    11 359,    2 120,    763,,,安徽省,    608 729,    279 271,    208 238,    82 385,    26 353,    12 482
安徽省,    15 203 387,    576 848,    266 857,    191 144,    79 012,    26 452,    13 383,    766 551,    387 370,    243 519,    93 267,    28 976,    13 419,,,福建省,    287 368,    132 662,    92 505,    41 948,    13 744,    6 509
福建省,    7 872 706,    303 153,    137 678,    98 656,    44 669,    15 278,    6 872,    384 875,    180 204,    122 626,    55 465,    18 221,    8 359,,,江西省,    365 146,    153 001,    116 862,    58 194,    22 238,    14 851
江西省,    9 861 315,    348 764,    146 558,    113 502,    54 559,    20 703,    13 442,    525 403,    233 465,    167 114,    78 147,    28 586,    18 091,,,山东省,    678 726,    341 907,    230 779,    76 730,    21 143,    8 167
山东省,    23 574 015,    796 237,    371 188,    284 249,    101 642,    28 168,    10 990,    862 837,    440 253,    281 343,    102 981,    27 775,    10 485,,,河南省,    870 887,    370 972,    309 804,    140 851,    36 808,    12 452
河南省,    23 091 898,    1 057 007,    419 351,    383 682,    184 250,    51 279,    18 445,  1 111 466,    505 754,    368 261,    175 312,    46 626,    15 513,,,湖北省,    541 202,    235 395,    193 643,    75 062,    24 217,    12 885
湖北省,    14 681 395,    546 029,    232 190,    204 353,    73 145,    23 854,    12 487,    757 420,    354 784,    258 386,    98 008,    30 485,    15 757,,,湖南省,    616 522,    278 386,    216 037,    82 896,    26 352,    12 851
湖南省,    16 302 650,    600 710,    267 654,    214 382,    80 285,    25 549,    12 840,    822 753,    381 039,    283 784,    108 190,    33 493,    16 247,,,广东省,    570 900,    232 189,    175 061,    95 882,    42 233,    25 535
