,,,,,,,,,,,,,,,,,,,,,
省、自治区、直辖市15—64岁按活产子女数分的妇女人数,,,,,,,,     省、自治区、直辖市15—64岁按活产子女数分的妇女人数(续01),,,,,,,,,,,,,
表1-18单位：人,,,,,,,,   表1-18单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,    15-64,  没有,  活产,  活产,    活产,,,,  活产,  活产,  活产,  活产,  活产,    活产,  活产,  活产,  活产,  活产,  活产,  活产15,平均每个
    地区别,    岁妇女,  活产,,,,,,    地区别,,,,,,,,,,,,  个及15,妇女活产
,    人数,  子女,  1个,  2个,    3个,,,,  4个,  5个,  6个,  7个,  8个,    9个,  10个,  1 1个,  12个,  13个,  14个,  个以上,子女数
总计,  364 219 700,  102 166 734, 67 697 301,  67 601 600,    46 511 613,,,总计,  31 668 559, 21 104 014,  13 218 435,  7 191 210,    3 816 412,    1 801 695,  878 461,    319 919,    160 508,    53 292,    19 808,    10 139,    2.10
北京市,    3 809 907,    968 212,    1 346 904,    718 131,    331 912,,,北京市,    214 265,    122 807,    63 261,    27 097,    10 914,    4 130,    1 591,    445,    169,    47,    12,    10,    1.57
天津市,    3 059 325,    701 403,    1 124 296,    535 695,    266 255,,,天津市,    186 402,    121 609,    69 368,    33 267,    13 919,    4 843,    1 644,    415,    169,    31,    8,    1,    1.69
河北省,    19 440 670,    4 880 662,    3 412 726,  4 688 458,  2 866 524,,,河北省,    1 681 509,    994 590,    533 459,    238 114,    94 436,    33 407,    11 774,    3 288,    1 278,    277,    121,    47,    2.02
山西省,    9 130 398,    2 482 558,    1 416 836,  1 878 035,  1 342 080,,,山西省,    890 785,    544 398,    305 271,    150 339,    70 269,    28 771,    13 970,    4 105,    1 986,    645,    229,    121,    2.13
内蒙古自治区,    6 957 078,    1 994 758,    1 219 385,  1 272 231,    847 865,,,内蒙古自治区,    590 459,    400 678,    270 320,    165 867,    98 555,    51 243,    27 516,    10 261,    5 118,    1 807,    689,    326,    2.18
辽宁省,  13 764 502,    3 322 752,    4 482 125,  2 395 365,    1 330 540,,,辽宁省,    906 458,    593 519,    369 752,    196 685,    98 648,    42 062,    18 051,    5 391,    2 296,    599,    180,    79,    1.81
吉林省,    8 377 946,    2 168 569,    2 181 921,  1 574 617,    869 145,,,吉林省,    587 553,    395 042,    268 535,    161 769,    91 937,    44 610,    21 887,    7 256,    3 490,    1 026,    407,    182,    1.97
黑龙江省,    11 971 388,    3 274 768,    2 854 724,  2 220 362,    1 320 998,,,黑龙江省,    909 355,    589 012,    375 549,    213 980,    115 853,    53 993,    27 123,    9 212,    4 399,    1 328,    513,    219,    1.96
上海市,    4 642 999,    941 477,    2 052 049,    752 213,    403 934,,,上海市,    252 017,    138 379,    65 151,    24 411,    9 388,    2 684,    957,    221,    91,    23,    3,    1,    1.54
江苏省,    22 696 430,    5 614 898,    6 006 955,  4 494 113,    2 703 473,,,江苏省,  1 682 606,  1 050 093,    615 620,    301 409,    141 220,    54 208,    21 586,    6 521,    2 511,    883,    225,    109,    1.89
浙江省,    13 975 566,    3 620 839,    3 278 483,  2 786 923,    1 679 253,,,浙江省,  1 073 231,    686 962,    431 199,    228 495,    114 794,    46 222,    20 175,    5 817,    2 332,    594,    172,    75,    1.96
安徽省,    17 791 532,    5 488 411,    2 456 134,  2 950 897,    2 432 167,,,安徽省,  1 797 847,  1 229 970,    743 646,    374 873,    181 826,    79 146,    36 346,    11 956,    5 474,    1 926,    605,    308,    2.18
福建省,    9 189 073,    2 532 975,    1 315 528,  1 732 176,    1 409 041,,,福建省,    902 464,    573 362,    361 230,    197 921,    98 704,    40 411,    17 357,    5 090,    2 060,    500,    168,    86,    2.23
江西省,    11 403 999,    3 266 548,    1 419 064,  1 946 473,    1 561 747,,,江西省,  1 055 186,    746 172,    549 984,    368 662,    235 401,    132 483,    72 589,    28 196,    14 328,    4 581,    1 742,    843,    2.47
山东省,    27 866 789,    7 715 363,    5 505 538,  5 791 822,    3 595 491,,,山东省,  2 366 994,  1 505 267,    823 011,    360 490,    137 928,    44 763,    14 596,    3 765,    1 310,    333,    90,    28,    1.94
河南省,    26 947 625,    8 102 263,    3 933 646,  4 986 549,    3 843 207,,,河南省,  2 562 658,  1 725 903,  1 020 740,    480 299,    190 768,    66 649,    24 132,    6 759,    2 786,    852,    291,    123,    2.09
湖北省,    17 086 776,    4 585 996,    2 823 565,  3 678 326,    2 244 972,,,湖北省,  1 441 679,    965 788,    623 222,    352 181,    194 617,    96 740,    47 924,    17 809,    8 989,    3 292,    1 123,    553,    2.16
湖南省,    19 179 122,    5 129 846,    2 770 181,  3 940 494,    2 758 326,,,湖南省,  1 737 398,  1 119 638,    737 629,    446 058,    272 380,    138 791,    77 237,    28 969,    14 698,    4 791,    1 804,    882,    2.28
广东省,    19 523 208,    6 306 282,    2 439 693,  3 184 346,    2 894 265,,,广东省,  2 038 594,  1 345 220,    763 610,    348 199,    136 782,    45 368,    15 141,    3 872,    1 388,    318,    88,    42,    2.11
广西壮族自治区,    12 213 599,    3 741 506,    1 365 347,  1 841 496,    1 685 698,,,广西壮族自治区,  1 401 021,  1 019 100,    631 035,    314 576,    136 157,    49 516,    19 267,    5 633,    2 338,    615,    213,    81,    2.34
海南省,    1 905 472,    568 243,    252 357,    291 958,    278 731,,,海南省,    218 300,    141 874,    82 822,    41 222,    18 508,    7 276,    2 742,    944,    339,    110,    25,    21,    2.26
四川省,    36 440 213,    10 619 683,    7 737 360,  6 384 485,    3 811 932,,,四川省,  2 775 710,  2 016 634,    1 372 437,    808 553,    484 826,    252 355,    110 220,    39 563,    18 338,    5 376,    1 860,    881,    2.06
贵州省,    9 706 603,    3 120 715,    1 138 661,  1 119 180,    1 179 796,,,贵州省,    982 571,    755 151,    564 156,    366 857,    235 747,    126 982,    67 497,    26 770,    14 692,    5 024,    1 841,    963,    2.56
云南省,    11 304 023,    3 355 204,    1 425 280,  1 873 756,    1 299 253,,,云南省,  1 004 478,    773 902,    595 904,    407 706,    274 220,    153 990,    82 521,    32 069,    17 388,    5 563,    1 901,    888,    2.52
西藏自治区,    649 964,    242 120,    81 018,    76 774,    60 025,,,西藏自治区,    46 755,    37 330,    30 466,    25 180,    19 963,    13 772,    8 715,    4 310,    2 279,    829,    280,    148,    2.48
陕西省,    10 437 304,    2 807 321,  1 595 026,  2 152 124,    1 622 773,,,陕西省,  1 011 759,    599 979,    332 540,    162 389,    81 386,    38 307,    19 830,    7 466,    4 136,    1 447,    557,    264,    2.14
甘肃省,    7 300 188,    2 184 992,    995 782,  1 346 980,    1 054 788,,,甘肃省,    683 367,    438 525,    274 251,    154 291,    85 835,    41 737,    22 562,    8 972,    5 059,    1 857,    762,    428,    2.19
青海省,    1 401 298,    458 115,    200 280,    187 241,    159 841,,,青海省,    126 014,    88 311,    63 955,    44 017,    31 067,    18 982,    12 190,    5 598,    3 581,    1 320,    502,    284,    2.40
