表1-19省自治区直辖市15--64岁按存活子女数分的妇女人数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-19单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,  存活,  存活,  存活,    存活,  存活15,平均每个
,    15-64,  没有,  存活,  存活,  存活,  存活,  存活,  存活,  存活,  存活,  存活,  存活,,,    地区别,,,,,  个及15,妇女存活
    地区别,    岁妇女,  存活,,,,,,,,,,,,,,  11个,  12个,  13个,    14个,  个以上,子女数
,    人数,  子女,  1个,  2个,  3个,  4个,  5个,  6个,  7个,  8个,  9个,  10个,,,总计,    34 207,    8 226,    1 566,    369,    125,   1.96
总计,    364 219 700,    102 990 203, 70 047 279, 70 991 279,    48 820 028,    32 469 813,    20 371 157,  11 080 605,    4 894 994,    1 803 153,    556 557,    150 139,,,北京市,    59,    10,    2,-,    1,    1.52
北京市,    3 809 907,    972 905,  1 359 807,    727 514,    336 814,    215 121,    118 060,    53 252,    19 155,    5 548,    1 376,    283,,,天津市,    126,    30,    4,-,-,    1.65
天津市,    3 059 325,    704 397,  1 133 110,    540 437,    270 453,    188 481,    119 125,    63 190,    27 453,    9 396,    2 554,    569,,,河北省,    675,    144,    14,    6,    1,    1.97
河北省,    19 440 670,    4 903 387,  3 474 020,  4 766 207,    2 886 172,      1 674 723,    969 767,    486 612,    195 095,    63 315,    16 787,  3 745,,,山西省,    798,    179,    36,    13,    1,    2.04
山西省,    9 130 398,    2 499 836,  1 454 331,  1 932 709,    1 376 109,    893 449,    526 956,    270 734,    116 596,    42 139,    12 999,    3 513,,,内蒙古自治区,    2 622,    697,    179,    36,    12,    2.06
内蒙古自治区,    6 957 078,    2 006 550,  1 249 738,  1 317 418,    880 440,    609 574,    404 206,    250 424,    135 561,    64 156,    26 266,    9 199,,,辽宁省,    1 091,    225,    31,    4,    1,    1.74
辽宁省,    13 764 502,    3 341 248,  4 535 834,  2 431 922,    1 356 167,    926 839,    590 671,    336 678,    157 509,    61 638,    19 539,    5 105,,,吉林省,    1 773,    412,    71,    15,    13,    1.88
吉林省,    8 377 946,    2 185 702,  2 218 721,  1 604 545,    885 716,    597 390,    396 425,    252 503,    138 116,    64 736,    24 446,    7 362,,,黑龙江省,    2 626,    629,    119,    19,    6,    1.89
黑龙江省,    11 971 388,    3 293 092,  2 896 599,  2 259 977,    1 348 343,    918 277,    585 858,    352 452,    186 050,    84 579,    32 480,    10 282,,,上海市,    15,        4,1,-,-,    1.47
上海市,    4 642 999,    947 964,  2 079 544,    769 406,    417 943,    246 147,    120 586,    45 400,    12 623,    2 783,    493,    90,,,江苏省,    465,    89,    15,    2,-,    1.77
江苏省,    22 696 430,    5 659 282,  6 193 892,  4 685 427,    2 806 862,    1 660 706,    950 896,    471 897,    187 764,    60 297,    15 540,    3 296,,,浙江省,    563,    99,    16,    3,    3,    1.84
浙江省,    13 975 566,    3 647 620,  3 372 216,  2 899 806,    1 750 902,    1 093 458,    654 588,    346 088,    145 106,    48 813,    13 203,    3 082,,,安徽省,    496,    98,    9,    2,    1,    2.02
安徽省,    17 791 532,    5 525 963,  2 555 212,  3 133 787,    2 608 220,    1 868 251,    1 180 499,    600 693,    230 598,    68 242,    16 371,    3 090,,,福建省,    1 527,    323,    55,    12,    2,    2.14
