表1-1省自治区直辖市户数人口数和性别比,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    表1-1单位：人、％,,,,
单位：人、％,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,    人口数,,,
,    户数,,,    人口数,,,,,,,,,,,,,    家庭户
    地区别,,,,    合计,,,,    家庭户,,,,,,,,,    平均
,    合计,    家庭户,    集体户,,,,,,,,,,    地区别,    集体户,,,
,,,,    合计,    男,    女,    性别比,    小计,    男,    女,,,,,,,    每户
总计,  278 622 052,  276 911 767,    1 710 285,1 130 510 638[注],  581 820 407,    548 690 231,    106.04,  1 097 776 366,    556 667 903,  541 108 463,,,,,,,    人数
北京市,    3 132 264,    3 101 665,    30 599,    10 819 414,    5 593 461,    5 225 953,    107.03,    9 919 351,    4 901 928,    5 017 423,,,,    小计,    男,    女,
天津市,    2 551 973,    2 539 286,    12 687,    8 785 427,    4 470 746,    4 314 681,    103.62,    8 469 004,    4 220 142,    4 248 862,,,总计,    32 734 272,    25 152 504,    7 581 768,    3.96
河北省,    15 366 059,    15 302 097,    63 962,    61 082 755,  31 210 112,    29 872 643,    104.48,    59 566 955,    29 965 410,    29 601 545,,,北京市,    900 063,    691 533,    208 530,    3.20
山西省,    7 186 753,    7 144 111,    42 642,    28 758 846,  14 958 318,    13 800 528,    108.39,    27 736 534,    14 097 413,    13 639 121,,,天津市,    316 423,    250 604,    65 819,    3.34
内蒙古自治区,    5 293 400,    5 273 146,    20 254,    21 456 518,  11 155 668,    10 300 850,    108.30,    21 110 649,    10 906 810,    10 203 839,,,河北省,    1 515 800,    1 244 702,    271 098,    3.89
辽宁省,    10 835 895,    10 810 526,    25 369,    39 459 694,  20 152 574,    19 307 120,    104.38,    38 777 581,    19 648 111,    19 129 470,,,山西省,    1 022 312,    860 905,    161 407,    3.88
吉林省,    6 290 248,    6 277 160,    13 088,    24 659 790,  12 624 084,    12 035 706,    104.89,    24 254 682,    12 347 673,    11 907 009,,,内蒙古自治区,    345 869,    248 858,    97 011,    4.00
黑龙江省,    8 914 870,    8 895 075,    19 795,    35 215 932,  18 048 747,    17 167 185,    105.14,    34 691 689,    17 672 973,    17 018 716,,,辽宁省,    682 113,    504 463,    177 650,    3.59
上海市,    4 099 635,    4 065 274,    34 361,    13 341 852,    6 806 091,    6 535 761,    104.14,    12 589 650,    6 220 806,    6 368 844,,,吉林省,    405 108,    276 411,    128 697,    3.86
江苏省,    17 898 886,    17 815 925,    82 961,    67 056 812,  34 123 252,    32 933 560,    103.61,    65 220 147,    32 754 949,    32 465 198,,,黑龙江省,    524 243,    375 774,    148 469,    3.90
浙江省,    11 764 467,    11 684 715,    79 752,    41 446 015,  21 363 128,    20 082 887,    106.37,    40 386 689,    20 618 838,    19 767 851,,,上海市,    752 202,    585 285,    166 917,    3.10
安徽省,  13 376 524,    13 320 101,    56 423,    56 181 005,  29 026 412,    27 154 593,    106.89,    55 168 803,    28 215 400,    26 953 403,,,江苏省,    1 836 665,    1 368 303,    468 362,    3.66
福建省,    6 641 810,    6 577 547,    64 263,    30 048 275,  15 434 048,    14 614 227,    105.61,    29 158 900,    14 741 569,    14 417 331,,,浙江省,    1 059 326,    744 290,    315 036,    3.46
