表1-20省自治区直辖市的死亡人口数,,,,
,,,,
单位：人、％,,,,
,,,,
,    合计,,,
    地区别,,,,
,    合计,    男,    女,    性别比
总计,    10 328 899,    5 647 315,    4 681 584,    120.63
北京市,    84 436,    46 053,    38 383,    119.98
天津市,    75 235,    40 747,    34 488,    118．15
河北省,    497 768,    280 674,    217 094,    129.29
山西省,    261 332,    149 299,    112 033,    133.26
内蒙古自治区,    173 127,    102 181,    70 946,    144.03
辽宁省,    339 460,    191 777,    147 683,    129.86
吉林省,    222 769,    129 665,    93 104,    1 39.27
黑龙江省,    264 468,    154 799,    109 669,    141.15
上海市,    128 493,    67 220,    61 273,    109.71
江苏省,    583 709,    317 966,    265 743,    119.65
浙江省,    376 152,    210 715,    165 437,    127.37
安徽省,    457 059,    246 450,    210 609,    117.02
福建省,    254 162,    138 783,    115 379,    120.28
江西省,    348 690,    185 274,    163 416,    113.38
山尔省,    783 302,    427 002,    356 300,    119.84
河南省,    762 037,    417 718,    344 319,    121.32
湖北省,    529 512,    290 258,    239 254,    121.32
湖南省,    638 281,    351 132,    287 149,    122.28
广东省,    499 498,    268 001,    231 497,    115.77
广西壮族自治区,    367 455,    194 201,    173 254,    112.09
海南省,    50 684,    28 183,    22 501,    125.25
四川省,1 138 639,    602 457,    536 182,    112.36
贵州省,    333 450,    174 247,    159 203,    109.45
云南省,    416 260,    217 785,    198 475,    109.73
西藏自治区,    28 963,    15 208,    13 755,    110.56
陕西省,    306 599,    174 516,    132 083,    132.13
甘肃省,    190 277,    103 594,    86 683,    119.51
青海省,    42 694,    23 113,    19 581,    118.04
宁夏回族自治区,    34 383,    19 482,    14 901,    130.74
新疆维吾尔自治区,    140 005,    78 815,    61 190,    128.80
