表1-21省自治区直辖市按现住地和1985年7月1日常住地分的人口迁移状况,,,,,,,,,,
,,,,,,,,,,
单位：人,,,,,,,,,,
,,,,,,,,,,
,,    本省其它县、市,,,,    外省,,,,
    现住地,    合计,,,,,,,,,    其它
,,    小计,  由街道迁入,    由镇迁入,    由乡迁入,    小计,  山街道迁入,    山镇迁入,    由乡迂入,
总计,    34 127 607,    23 025 734,    3 589 237,    4 851 486,  14 585 011,11065 361,    2 800 030,    1 549 201,    6 716 130,    36 512
北京市,    765 692,    84 336,    19 400,    12 990,    51 946,    672 662,    192 149,    80 482,    400 031,    8 694
天津市,    280 697,    35 422,    4 045,    6 483,    24 894,    244 607,    71 999,    32 123,    140 485,    668
河北省,    1 333 230,    812 532,    141 305,    126 571,    544 656,    520 387,    164 467,    78 152,    277 768,    311
山西省,    934 579,    627 356,    119 509,    140 048,    367 799,    307 026,    52 755,    41 248,    213 023,    197
内蒙古自治区,    832 548,    578 138,    94 560,    133 862,    349 716,    254 306,    28 887,    31 826,    193 593,    104
辽宁省,    1 425 491,    883 395,    173 630,    224 010,    485 755,    541 375,    115 723,    96 390,    329 262,    721
吉林省,    848 709,611 199,    102 242,    215 997,    292 960,    237 293,    54 424,    44 603,    138 266,    217
黑龙江省,    1 423 093,    1 055 517,    163 685,    256 700,    635 132,    367 428,    50 436,    56 762,    260 230,    148
上海市,    843 762,    173 150,    44 798,    40 945,    87 407,    665 526,    163 479,    108 060,    393 987,    5 086
江苏省,    1 981 240,    1 188 589,    167 471,    150 876,    870 242,    791 110,    250 764,    90 798,    449 548,    1 541
浙江省,    1 137 338,    799 618,    110 379,    173 971,    515 268,    335 886,    123 812,    48 344,    163 730,    1 834
安徽省,    1 207 891,    869 545,    147 342,    133 841,    588 362,    337 763,    106 154,    38 450,    193 1 59,    583
福建省,    975 315,    722 698,      127 220,    170 933,    424 545,    251 044,    51 528,    31 654,    167 862,    1 573
江西省,    959 547,    734 087,    109 809,    137 715,    486 563,    224 865,    50 727,    33 546,    140 592,    595
山东省,1 800 414,    1 190 017,    210 772,    397 862,    581 383,    609 432,    195 360,    142 207,    271 865,    965
河南省,1 717 229,    1 238 943,    241 860,    125 439,    871 644,    477 833,    173 997,    69 148,    234 688,    453
湖北省,    1 520 136,    1 088 391,    153 022,    279 571,    655 798,    431 121,    110 265,    60 920,    259 936,    624
湖南省,    1 570 282,    1 297 956,    220 874,    230 775,    846 307,    271 802,    93 237,    47 701,    130 864,    524
广东省,    3 931 685,    2 671 046,    234 566,    512 080,    1 924 400,    1 257 508,    210 104,    103 209,    944 195,3 131
广西壮族自治区,    1 031 293,    888 402,    92 943,    237 055,    558 404,    142 505,    35 893,    29 290,    77 322,    386
海南省,    293 322,    142 873,    11 701,    38 663,    92 509,    150 101,    22 753,    12 142,    115 206,    348
四川省,    2 817 738,    2 345 256,    346 237,    397 028,    1 601 991,    469 876,    204 828,    91 640,    173 408,    2 606
贵州省,    655 586,    464 694,    65 392,    108 660,    290 642,    190 408,    29 046,    24 333,    137 029,    484
云南省,    986 559,    732 225,    111 519,    185 852,    434 854,    250 264,    37 111,    33 280,    179 873,    4 070
西藏自治区,-,-,-,-,-,-,-,-,-,-
陕西省,    1 021 040,    706 154,    133 753,    161 216,    411 185,    314 588,    106 920,    55 030,    152 638,    298
甘肃省,    649 010,    449 631,    88 102,    70 422,    291 107,    199 196,    50 621,    25 223,    123 352,    183
青海省,    266 761,    150 900,    24 206,    49 058,    77 636,    115 819,    16 356,    13 905,    85 558,    42
宁夏回族自治区,    214 749,    122 752,    23 675,    32 251,    66 826,        91 912,    13 086,    11 600,    67 226,    85
新疆维吾尔自治区,    702 671,    360 912,    105 220,    100 612,    155 080,    341 718,    23 149,    17 135,    301 434,    41
