表1-22省自治区直辖市人口迁移原因,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,   表1-22单位：人,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,    投亲靠友,,,    退休退职,,,    随迁家属,,,    婚姻迁入,,,    其它,,
,    合计,,,    工作调动,,,    分配录用,,,    务工经商,,,    学习培训,,,,,    地区别,,,,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,  小计,    男,    女,,,总计,  3 361 890,  1 444 521,  1 917 369,    533 781,    452 546,    81 235, 3 558 962, 1 413 420, 2 145 542, 4 753 932,  427 453, 4 326 479, 3 106 595, 2 156 796,  949 799
总计,34 127 607, 18 833 174, 15 294 433,  4 054 005,  2 952 158,  1 101 847,  2 054 705, 1 456 563,  598 142, 8 563 385, 5 918 554, 2 644 831, 4 140 352, 2 611 163, 1 529 189,,,北京市,    73 672,    25 959,    47 713,    6 599,    5 195,    1 404,    47 959,    19 052,    28 907,    45 188,    8 274,    36 914,    35 848,    27 386,    8 462
北京市,    765 692,    495 922,    269 770,    78 771,    58 006,    20 765,    57 175,    41 335,    15 840,  289 468,  221 912,    67 556,  131 012,    88 803,    42 209,,,天津市,    49 849,    21 081,    28 768,    3 246,    2 815,    431,    30 668,    12 678,    17 990,    32 921,    1 617,    31 304,    10 750,    8 358,    2 392
天津市,    280 697,    158 353,    122 344,    33 797,    23 661,    10 136,    24 204,    19 633,    4 571,    51 757,    40 239,    11 518,    43 505,    28 271,    15 234,,,河北省,    113 960,    44 252,    69 708,    28 440,    25 487,    2 953,  173 782,    69 358,  104 424,  290 315,    12 808,  277 507,    85 308,    67 782,    17 526
河北省,  1 333 230,    652 892,    680 338,    189 350,    133 435,    55 915,    86 051,    58 553,    27 498,  195 425,  145 477,    49 948,  170 599,    95 740,    74 859,,,山西省,    114 450,    39 477,    74 973,    14 456,    13 671,    785,  129 381,    47 335,    82 046,    91 470,    8 635,    82 835,  103 124,    73 758,    29 366
山西省,    934 579,    540 933,    393 646,    91 127,    69 266,    21 861,    55 067,    39 341,    15 726,  205 651,  178 917,    26 734,  129 853,    70 533,    59 320,,,内蒙古自治区,    150 960,    77 013,    73 947,    2 469,    1 978,    491,    50 448,17 943,    32 505,  112 729,    11 557,  101 172,  151 012,    77 764,    73 248
内蒙古自治区,    832 548,    447 470,    385 078,    72 620,    55 547,    17 073,    40 941,    27 714,    13 227,  140 411,  1 16 801,    23 610,  110 958,    61 153,    49 805,,,辽宁省,    255 994,    127 194,    128 800,    8 322,    6 849,    1 473,  189 314,    72 741,  116 573,  210 082,    31 373,  178 709,  124 407,    84 758,    39 649
辽宁省,  1 425 491,    769 014,    656 477,    145 800,    109 342,    36 458,    79 391,    49 712,    29 679,  231 175,  179 569,    51 606,  181 006,  107 476,    73 530,,,吉林省,    137 163,    76 460,    60 703,    2 757,    2 121,    636,  165 721,    61 734,  103 987,  113 865,    16 140,    97 725,    80 257,    55 742,    24 515
吉林省,    848 709,    444 973,    403 736,    106 611,    76 385,    30 226,    33 135,    20 588,    12 547,    80 232,    62 108,    18 124,  128 968,    73 695,    55 273,,,黑龙江省,    369 555,    198 220,    171 335,    3 035,    2 394,    641,  180 946,    64 455,  116 491,  165 005,    27 454,  137 551,  151 534,    84 205,    67 329
黑龙江省,  1 423 093,    772 055,    651 038,    94 089,    70 659,    23 430,    51 807,    34 277,    17 530,  247 799,  201 477,    46 322,  159 323,    88 914,    70 409,,,上海市,    86 424,    39 470,    46 954,    25 912,    20 911,    5 001,    46 474,    20 326,    26 148,    32 504,    8 511,    23 993,    63 942,    43 265,    20 677
上海市,    843 762,    553 576,    290 186,    150 181,    105 223,    44 958,    40 195,    28 880,    11 315,  281 341,  211 838,    69 503,  116 789,    75 152,41 637,,,江苏省,    122 024,    49 103,    72 921,    45 791,    38 178,    7 613,    143 916,    61 453,    82 463,  401 612,    24 957,  376 655,  122 732,    95 790,    26 942
江苏省,  1 981 240,  1 073 968,    907 272,    242 389,    174 383,    68 006,    128 048,    93 224,    34 824,  521 100,  365 252,  155 848,  253 628,171 628,    82 000,,,浙江省,40 788,    15 557,    25 231,    24 605,    19 652,    4 953,    121 164,    46 621,    74 543,  185 007,    10 367,  174 640,  108 021,    85 674,    22 347
浙江省,1 137 338,    638 223,    499 115,    144 807,    108 600,    36 207,    93 324,    65 331,    27 993,  294 381,  204 488,    89 893,  125 241,    81 933,    43 308,,,安徽省,    105 513,    41 425,    64 088,    15 302,    12 855,    2 447,    134 256,    52 173,    82 083,  246 424,    15 697,  230 727,  109 446,    83 463,    25 983
安徽省,  1 207 891,    648 167,559 724,    157 428,    120 494,    36 934,    70 456,    54 622,    15 834,  221 199,  166 577,    54 622,  147 867,  100 861,    47 006,,,福建省,    67 426,    26 407,    41 019,    12 447,    10 229,    2 218,    89 015,    34 199,    54 816,  149 802,    8 375,  141 427,    72 705,    48 235,    24 470
福建省,    975 315,    558 690,    416 625,    108 606,    82 284,    26 322,    63 653,    47 223,    16 430,  300 768,  228 861,    71 907,  110 893,    72 877,    38 016,,,江西省,    66 846,    25 726,    41 120,    11 793,    9 751,    2 042,  125 862,    50 989,    74 873,  115 578,    7 985,  107 593,  116 146,    77 584,    38 562
江西省,    959 547,    559 886,    399 661,    141 307,    103 638,    37 669,    75 534,    57 488,    18 046,  191 175,  146 340,    44 835,  115 306,    80 385,    34 921,,,山东省,    218 261,    85 121,    133 140,    34 214,    30 358,    3 856,  220 978,    83 929,  137 049,  277 687,    9 787,  267 900,  126 469,    87 119,    39 350
山东省,  1 800 414,    949 399,    851 015,    243 145,    178 073,    65 072,    175 596,  126 375,    49 221,  263 096,  195 686,    67 410,  240 968,  152 951,    88 017,,,河南省,    99 812,    39 391,    60 421,    47 064,    43 731,    3 333,  226 778,    87 977,  138 801,  252 505,    14 800,  237 705,  182 227,  130 889,    51 338
河南省,  1 717 229,    976 737,    740 492,    233 051,    174 124,    58 927,    126 168,    90 828,    35 340,  324 248,  260 758,    63 490,  225 376,  134 239,    91 137,,,湖北省,    92 662,    38 168,    54 494,    9 901,    7 632,    2 269,  161 955,    67 190,    94 765,  193 968,    23 850,  170 118,  215 605,  144 692,    70 913
湖北省,  1 520 136,    878 184,    641 952,    145 499,    112 619,    32 880,    81 381,    58 229,    23 152,  393 787,  273 256,  120 531,  225 378,  152 548,    72 830,,,湖南省,    113 384,    40 133,    73 251,    36 933,    32 931,    4 002,  158 620,    65 952,    92 668,  277 764,    20 693,  257 071,  163 672,  113 291,    50 381
湖南省,  1 570 282,    822 290,    747 992,    196 887,    133 158,    63 729,    134 567,    94 296,    40 271,  252 535,  170 334,    82 201,  235 920,  151 502,    84 418,,,广东省,    140 364,    49 639,    90 725,    27 255,    19 870,    7 385,  302 550,  131 689,  170 861,  287 049,    7 731,  279 318,  246 039,  148 484,    97 555
广东省,  3 931 685,  1 998 335,  1 933 350,    310 696,    208 669,    102 027,    112 598,    83 027,    29 571, 2 306 138, 1 215 585, 1 090 553,  198 996,  133 641,    65 355,,,广西壮族自治区,    105 383,    40 144,    65 239,    8 452,    6 163,    2 289,110 106,    46 827,    63 279,  131 513,    13 525,  117 988,  111 530,    81 625,    29 905
广西壮族自治区,  1 031 293,    562 378,    468 915,    129 778,    88 071,    41 707,    69 823,    48 986,    20 837,  215 902,  144 828,    71 074,  148 806,    92 209,    56 597,,,海南省,    43 537,    23 379,    20 158,    2 612,    1 726,    886,    35 713,    15 508,    20 205,    27 142,    2 304,    24 838,    18 274,    12 488,    5 786
海南省,    293 322,    174 223,    119 099,    32 150,    21 198,    10 952,    11 720,    8 799,    2 921,    99 526,    74 447,    25 079,    22 648,    14 374,    8 274,,,四川省,    324 623,    119 087,    205 536,    90 458,    77 661,    12 797,  188 922,    78 319,  110 603,  621 277,    70 647,  550 630,  224 680,  180 460,  44 220
四川省,  2 817 738,  1 491 020,  1 326 718,    426 496,    315 707,    110 789,    148 773,  104 193,    44 580,  485 332,  347 837,  137 495,  307 177,  197 109,  110 068,,,贵州省,    47 002,    18 393,    28 609,    8 158,    6 738,    1 420,    73 234,    29 473,    43 761,    94 445,    11 652,    82 793,    78 326,    59 793,  18 533
贵州省,    655 586,    386 237,    269 349,    63 741,    47 430,    16 311,    36 040,    26 405,    9 635,  172 765,  132 014,    40 751,    81 875,    54 339,    27 536,,,云南省,    71 448,    29 380,    42 068,    25 814,    21 503,    4 311,    81 905,    34 183,    47 722,  126 894,    27 398,    99 496,    92 982,    76 160,  16 822
云南省,    986 559,    610 100,    376 459,    140 064,    104 401,    35 663,    67 289,    44 849,    22 440,  248 640,  188 755,    59 885,  131 523,    83 471,    48 052,,,西藏自治区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
西藏自治区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,陕西省,    101 385,    37 230,    64 155,    19 473,    17 658,    1 815,    99 300,    39 492,    59 808,    91 636,    13 529,    78 107,  125 048,    82 413,  42 635
陕西省,  1 021 040,    608 438,    412 602,    164 648,    123 179,    41 469,    66 312,    46 911,    19 401,  177 496,  134 253,    43 243,  175 742,    1 13 773,    61 969,,,甘肃省,    72 742,    26 607,    46 135,    7 933,    6 923,    1 010,    91 381,    35 357,    56 024,    79 522,    7 090,    72 432,    83 297,    51 213,  32 084
甘肃省,    649 010,    360 031,    288 979,    77 889,    56 913,    20 976,    49 399,    36 521,    12 878,    98 759,    80 452,    18 307,    88 088,    58 955,    29 133,,,青海省,    17 478,    7 332,    10 146,    4 187,    3 554,    633,    49 410,    17 716,    31 694,    19 902,    2 891,    17 011,    25 603,    18 212,    7 391
青海省,    266 761,    168 414,    98 347,    35 570,    27 516,    8 054,    21 316,    13 475,    7 841,    75 012,    66 175,    8 837,    18 283,11 543,    6 740,,,宁夏回族自治区,    26 750,    10 249,    16 501,    1 405,    1 021,    384,    48 904,    19 460,    29 444,    24 788,    2 165,    22 623,    18 015,    13 261,    4 754
宁夏回族自治区,    214 749,    115 212,    99 537,    22 719,    16 093,    6 626,    13 928,    10 023,    3 905,    35 510,    29 345,    6 165,    22 730,    13 595,    9 135,,,新疆维吾尔自治区,    132 435,    72 924,    59 511,    4 748,    2 991,    1 757,    80 300,    29 291,    51 009,    55 338,    5 641,    49 697,    59 596,    42 932,    16 664
