表1-3省自治区直辖市按农业户口和非农业户口分的人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表1-3单位：人,,,,,,,,,,,,,,,,,,表1-3单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    农业户口,,,    非农业户口,,,,,,,,,,,,,,,    其它,,,,,
,,,,    农业户口,,,,,,,,,,,,    人住本县、市不满一年，,,,,,,    常住本县、市，户口在本县3市,,,    常住本县、市一年以上，,,,    人住本县、市不满一年，,,,,,,,,,    原住本县、市，现在国外,,
,    合计,,,,,,,,,,,,,,    地区别,,,,    合计,,,,,,    户口在外县、市,,,    离开户口登记地一年以上,,,,,    地区别,    人住本县、市，户口待定,,,,,
    地区别,,,,    合计,,,    常住本县、市，户口在本县、市,,,    常住本县、市一年以上，,,,,,,    离开户口登记地一年以上,,,,,,,,,,,,,,,,,,,,,    工作或学习，暂无户口,,
,,,,,,,,,,    户口在外县、市,,,,,,  小计,    男,    女,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    合计,    男,    女,    小计,    男,    女,  小汁,    男,    女,,,总计,1 370 669,  933 107,  437 562, 219 931 980, 120 821 432, 99 110 548, 215 402 531, 118 209 494, 97 193 037, 4 350 276, 2 495 551,1 854 725,  179 173,  116 387,  62 786,,,总计,8 535 536, 4 169 619, 4 365 917,  237 024,  155 470,    81 554
总计,1 130 510 638,  581 820 407,  548 690 231,  901 806 098, 456 673 886, 445 132 212,  884 726 134,  447 459 081,  437 267 053, 15 709 295,  8 281 698,    7 427 597,,,北京市,    28 916,    21 168,    7 748,  6 373 517,  3 377 496,  2 996 021,  6 265 187,  3 316 577,  2 948 610,    105 555,    59 283,    46 272,    2 775,    1 636,    1 139,,,北京市,    83 953,  42 240,    41 713,    48 956,    28 688,    20 268
北京市,  10 819 414,    5 593 461,    5 225 953,    4 312 988,  2 145 037,    2 167 951,    3 904 047,    1 875 595,    2 028 452,    380 025,    248 274,    131 751,,,天津市,    5 325,    3 503,    1 822,  4 808 170,  2 510 218,  2 297 952,  4 762 682,  2 483 542,  2 279 140,    44 723,    26 213,    18 510,    765,    463,    302,,,天津市,    46 966,  22 000,    24 966,    3 817,    2 439,    1 378
天津市,    8 785 427,    4 470 746,    4 314 681,    3 926 474,  1 936 089,    1 990 385,    3 790 095,    1 867 693,    1 922 402,    131 054,    64 893,    66 161,,,河北省,    22 741,11 409,    11 332,  8 513 340,  4 883 684,  3 629 656,  8 334 636,  4 771 050,  3 563 586,    173 614,  109 404,    64 210,    5 090,    3 230,    1 860,,,河北省,  285 674,  139 925,  145 749,    1 476,    1 242,    234
河北省,    61 082 755,  31 210 112,  29 872 643,  52 282 265,26 185 261,    26 097 004,  51 734 441,    25 928 041,    25 806 400,    525 083,    245 811,    279 272,,,山西省,    42 194,    32 880,    9 314,  6 027 674,  3 495 742,  2 531 932,  5 890 915,  3 411 772,  2 479 143,    133 247,    81 612,    51 635,    3 512,    2 358,    1 154,,,山西省,  236 674,  119 555,  117 119,    977,    716,    261
山西省,    28 758 846,  14 958 318,  13 800 528,  22 493 521,  11 342 305,    11 151 216,  21 869 889,    10 997 785,    10 872 104,    581 438,    311 640,    269 798,,,内蒙古自治区,    36 517,    25 607,    10 910,  6 488 991,  3 403 521,  3 085 470,  6 372 747,  3 342 115,3 030 632,    111 841,    58 803,    53 038,    4 403,    2 603,    1 800,,,内蒙古自治区,  337 075,  166 183,  170 892,    1 489,    1 221,    268
内蒙古自治区,    21 456 518,  11 155 668,  10 300 850,  14 628 963,  7 584 743,    7 044 220,  14 133 676,    7 316 889,    6 816 787,    458 770,    242 247,    216 523,,,辽宁省,    71 040,    53 467,    17 573,  16 351 813,  8 557 878,  7 793 935,  16 162 879,  8 453 720,7 709159,    180 088,    98 705,    81 383,    8 846,    5 453,    3 393,,,辽宁省,  280 943,  143 954,  136 989,    7 261,    5 326,    1 935
辽宁省,    39 459 694,  20 152 574,  19 307 120,  22 819 677,  11 445 416,  11 374 261,  22 187 341,    11 112 110,    11 075 231,    561 296,    279 839,    281 457,,,吉林省,    24 490,    15 556,    8 934,  9 311 747,  4 777 290,  4 534 457,  9 189 551,  4 717 103,  4 472 448,    116 793,    57 344,    59 449,    5 403,    2 843,    2 560,,,吉林省,  298 893,  148 617,  150 276,    2 744,    1 890,    854
吉林省,    24 659 790,  12 624 084,  12 035 706,  15 046 406,    7 696 287,    7 350 119,  14 659 288,    7 502 193,    7 157 095,    362 628,    178 538,    184 090,,,黑龙江省,    69 299,    49 279,    20 020,  14 323 543,  7 315 550,  7 007 993,  14 119 601,  7 214 735,  6 904 866,    196 485,    96 541,    99 944,    7 457,    4 274,    3 183,,,黑龙江省,  607 645,  305 804,  301 841,    3 639,    2 272,    1 367
黑龙江省,    35 215 932,  18 048 747,  17 167 185,  20 281 105,    10 425 121,    9 855 984,  19 228 152,    9 859 464,    9 368 688,    983 654,    516 378,    467 276,,,上海市,    48 232,    37 821,    10 411,  8 673 429,  4 525 541,  4 147 888,  8 499 382,  4 423 351,  4 076 031,    167 871,    97 669,    70 202,    6 176,    4 521,    1 655,,,上海市,    60 757,    30 539,    30 218,    66 336,    40 946,    25 390
上海市,    13 341 852,    6 806 091,    6 535 761,    4 541 330,  2 209 065,    2 332 265,    4 173 285,    1 963 266,    2 210 019,    319 813,    207 978,    111 835,,,江苏省,    62 868,    39 192,    23 676,  12 589 405,  6 894 053,  5 695 352,  12 284 642,  6 704 898,  5 579 744,    295 619,  183 301,  112 318,    9 144,    5 854,    3 290,,,江苏省,  716 060,  350 537,  365 523,    12 165,    8 925,    3 240
江苏省,    67 056 812,  34 123 252,    32 933 560,  53 739 182,    26 869 737,    26 869 445,    52 740 841,    26 348 277,  26 392 564,    935 473,    482 268,    453 205,,,浙江省,    47 280,    31 142,    16 138,  6 531 406,  3 646 169,  2 885 237,  6 385 078,  3 558 843,  2 826 235,    139 324,    82 263,    57 061,    7 004,    5 063,    1 941,,,浙江省,  327 892,  159 330,  168 562,    4 349,    2 995,    1 354
