表1-5省自治区直辖市按市镇县分的人口数(第二种口径),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, 表1-5单位：人,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    镇,,,,    县,,,
,        合计,,,,    市,,,,,,    地区别,,,,,,,,
    地区别,,,,,,,,,,,,  小计,    男,    女,  其中非农业户口,    小计,    男,    女,    其中非农业户口
,  合计,    男,    女,  其中非农业户口,    小计,    男,    女,    其中非农业户口,,,总计,    84 922 671,    44 807 419,    40 115 252,    57 378 047,    834 365 458,    427 641 955,    406 723 503,    31 887 531
总计,  1 130 510 638,    581 820 407,    548 690 231,    219 931 979,    211 222 509,    109 371 033,    101 851 476,    130 666 401,,,北京市,    582 911,    316 863,    266 048,    445 630,    2 874 077,    1 434 824,    1 439 253,    212 519
北京市,    10 819 414,    5 593 461,    5 225 953,    6 373 517,    7 362 426,    3 841 774,    3 520 652,    5 715 368,,,天津市,    256 039,    142 415,    113 624,    195 490,    2 674 344,    1 341 210,    1 333 134,    91 414
天津市,    8 785 427,    4 470 746,    4 314 681,    4 808 170,    5 855 044,    2 987 121,    2 867 923,    4 521 266,,,河北省,    3 091 754,    1 688 003,    1 403 751,    1 717 611,    49 348 876,    25 005 471,    24 343 405,    1 141 445
河北省,    61 082 755,    31 210 112,    29 872 643,    8 513 340,    8 642 125,    4 516 638,    4 125 487,    5 654 284,,,山西省,    1 915 013,    1 092 444,    822 569,    1 568 594,    20 466 088,    10 486 633,    9 979 455,    706 804
山西省,    28 758 846,    14 958 318,    13 800 528,    6 027 674,    6 377 745,    3 379 241,    2 998 504,    3 752 276,,,内蒙古自治区,    2 833 099,    1 451 818,    1 381 281,    2 174 923,    13 659 631,    7 145 281,    6 514 350,    823 344
内蒙古自治区,    21 456 518,11 155 668,    10 300 850,    6 488 991,    4 963 788,    2 558 569,    2 405 219,    3 490 724,,,辽宁省,    3 288 997,    1 663 291,    1 625 706,    2 137 771,    19 284 281,    9 897 824,    9 386 457,    1 450 452
辽宁省,    39 459 694,    20 152 574,    19 307 120,    16 351 813,    16 886 416,    8 591 459,    8 294 957,    12 763 590,,,吉林省,    3 214 611,    1 622 637,    1 591 974,    2 603 662,    14 236 791,    7 342 961,    6 893 830,    988 002
吉林省,    24 659 790,    12 624 084,    12 035 706,    9 311 747,    7 208 388,    3 658 486,    3 549 902,    5 720 083,,,黑龙江省,    5 357 048,    2 715 844,    2 641 204,    4 143 669,    18 326 337,    9 457 401,    8 868 936,    1 423 655
黑龙江省,    35 215 932,    18 048 747,    17 167 185,    14 323 543,    11 532 547,    5 875 502,    5 657 045,    8 756 219,,,上海市,    621 964,    336 630,    285 334,    586 084,    4 505 504,    2 207 803,    2 297 701,    536 109
上海市,    13 341 852,    6 806 091,    6 535 761,    8 673 429,    8 214 384,    4 261 658,    3 952 726,    7 551 236,,,江苏省,    4 129 428,    2 134 912,    1 994 516,    3 125 047,    52 588 254,    26 583 104,    26 005 150,    2 548 684
江苏省,    67 056 812,    34 123 252,    32 933 560,    12 589 405,    10 339 130,    5 405 236,    4 933 894,    6 915 674,,,浙江省,    6 328 880,    3 233 399,    3 095 481,    2 568 796,    28 528 500,    14 732 043,    13 796 457,    853 389
浙江省,    41 446 015,    21 363 128,    20 082 887,    6 531 406,    6 588 635,    3 397 686,    3 190 949,    3 109 221,,,安徽省,    3 102 612,    1 615 487,    1 487 125,    2 012 694,    46 156 961,    23 782 918,    22 374 043,    1 380 074
安徽省,    56 181 005,    29 026 412,    27 154 593,    7 611 246,    6 921 432,    3 628 007,    3 293 425,    4 218 478,,,福建省,    2 439 906,    1 276 851,    1 163 055,    1 430 707,    23 629 190,    12 090 733,    11 538 457,    1 170 758
福建省,    30 048 275,    15 434 048,    14 614 227,    4 871 999,    3 979 179,    2 066 464,    1 912 715,    2 270 534,,,江西省,    2 421 814,    1 289 983,    1 131 831,    1 994 631,    30 034 949,    15 475 953,    14 558 996,    1 644 488
江西省,    37 710 177,    19 491 767,    18 218 410,    6 510 328,    5 253 414,    2 725 831,    2 527 583,    2 871 209,,,山东省,    6 448 627,    3 398 210,    3 050 417,    3 012 679,    61 316 868,    30 975 031,    30 341 837,    1 704 995
山东省,    84 392 104,    42 913 185,    41 478 919,    11 347 369,    16 626 609,    8 539 944,    8 086 665,    6 629 695,,,河南省,    4 224 411,    2 265 942,    1 958 469,    2 587 255,    72 504 696,    36 910 781,    35 593 915,    2 228 719
河南省,    85 534 200,    43 802 724,    41 731 476,    10 416 517,    8 805 093,    4 626 001,    4 179 092,    5 600 543,,,湖北省,    3 798 272,    1 996 547,    1 801 725,    2 396 542,    38 455 359,    19 786 406,    18 668 953,      1 336 414
湖北省,    53 970 501,    27 828 085,    26 142 416,    10 263 331,    11 716 870,    6 045 132,    5 671 738,    6 530 375,,,湖南省,    3 281 998,    1 762 715,    1 519 283,    2 581 200,    49 719 761,    25 739 819,    23 979 942,    1 712 792
湖南省,    60 657 992,    31 497 631,    29 160 361,    8 732 244,    7 656 233,    3 995 097,    3 661 136,    4 438 252,,,广东省,    7 454 811,    3 905 626,    3 549 185,    4 686 141,    39 736 260,    20 231 007,    19 505 253,    1 728 684
广东省,    62 829 741,    32 151 260,    30 678 481,    13 549 082,    15 638 670,    8 014 627,    7 624 043,    7 134 257,,,广西壮族自治区,    3 098 831,    1 674 824,    1 424 007,    2 120 701,      35 964 413,    18 822 292,    17 142 121,    1 263 046
广西壮族自治区,    42 244 884,    22 156 180,    20 088 704,    5 484 006,    3 181 640,    1 659 064,    1 522 576,    2 100 259,,,海南省,    743 458,    407 028,    336 430,    553 084,    4 987 675,    2 577 003,    2 410 672,    310 980
海南省,    6 558 076,    3 418 860,    3 139 216,    1 248 461,    826 943,    434 829,    392 114,    384 397,,,四川省,    6 099 416,    3 302 650,    2 796 766,    5 248 267,    85 586 170,    44 152 532,    41 433 638,    2 506 458
四川省,    107 218 310,    55 545 645,    51 672 665,    15 248 834,    15 532 724,    8 090 463,    7 442 261,    7 494 109,,,贵州省,    1 861 914,    984 617,    877 297,    1 249 183,    26 159 390,    13 486 627,    12 672 763,    588 965
贵州省,    32 391 051,    16 768 810,    15 622 241,    3 856 691,    4 369 747,    2 297 566,    2 072 181,    2 018 543,,,云南省,    3 111 018,    1 660 929,    1 450 089,    1 867 485,    31 460 318,    16 071 385,    15 388 933,    1 088 833
云南省,    36 972 587,    18 995 900,    17 976 687,    4 507 803,    2 401 251,    1 263 586,    1 137 665,    1 551 485,,,西藏自治区,    82 896,    44 993,    37 903,    55 247,    1 943 105,    962 151,    980 954,    103 457
西藏自治区,    2 196 029,    1 098 912,    1 097 117,    279 147,    170 028,    91 768,    78 260,    120 443,,,陕西省,    2 107 029,    1 200 474,    906 555,    1 783 177,    25 801 646,13 259 311,    12 542 335,740 028
陕西省,    32 882 286,    17 070 054,    15 812 232,    5 811 276,    4 973 611,    2 610 269,    2 363 342,    3 288 071,,,甘肃省,    1 024 745,    572 828,    451 917,    880 916,    17 449 460,    8 964 458,    8 485 002,    359 663
甘肃省,    22 371 085,    11 591 905,    10 779 180,    3 591 048,    3 896 880,    2 054 619,    1 842 261,    2 350 469,,,青海省,    355 106,    192 937,    162 169,    290 380,       3 290 560,    1 690 819,    1 599 741,    310 417
青海省,    4 456 952,    2 310 183,    2 146 769,    1 239 764,        811 286,    426 427,    384 859,    638 967,,,宁夏回族自治区,    410 259,    220 546,    189 713,    363 766,    3 444 669,    1 752 303,    1 692 366,    126 900
宁夏回族自治区,    4 655 445,    2 389 470,    2 265 975,    1 086 866,    800 517,    416 621,    383 896,    596 200,,,新疆维吾尔自治区,    1 235 804,    635 976,    599 828,    996 715,    10 231 325,    5 275 871,    4 955 454,    806 043
新疆维吾尔自治区,    15 156 883,    7 823 195,    7 333 688,    4 282 932,    3 689 754,    1 911 348,    1 778 406,    2 480 174,,,,,,,,,,,
