表1-6省自治区直辖市人口年龄状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,   表1-6单位：人,,,,,,,,,,,,,,,,,,表1-6单位：人,,,,,,,,,,,,,,,,,,  表1-6单位：人,,,,,,,,,,,,,,,,,,省、自治区、直辖市人口年龄状况(续04),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    表1-6单位：人,,,,,,,,,
,    合计,,,    0-4岁,,,    5—9岁,,,    10—14岁,,,,,,    15—19岁,,,    20—24岁,,,    25—29岁,,,    30—34岁,,,    35—39岁,,,,,,    40—44岁,,,    45—49岁,,,      50一54岁,,,    55—59岁,,,    60—64岁,,,,,,    65—69岁,,,    70—74岁,,,    75—79岁,,,    80—84岁,,,    85—89岁,,,,,,,,,,,,,,
  地区别,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,    地区别,,,,,,,,,,,,,,,,,,,    90-94岁,,,    95-99岁,,,    100岁及以上,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  地区别,,,,,,,,,
总计,1 130 510 638, 581 820 407, 548 690 231, 116 438 419,  61 049 130, 55 389 289,    99 336 743,    51 630 875,    47 705 868,    97 226 692,    50 183 593,    47 043 099,,,总计,120 158 421,  61 650 589,  58 507 832, 125 761 174,  64 233 023, 61 528 151, 104267 525, 53 512 983, 50 754 542, 83 875 707, 43 706 133, 40 169 574, 86 351 812, 44 568 847, 41 782 965,,,总计,  63 707 664,  33 335 977,  30 371 687,  49 087 941,  25 855 900, 23 232 041, 45 619 559, 24 110 355, 21 509 204, 41 709 335, 21 839 937, 19 869 398, 33 976 254, 17 481 948, 16 494 306,,,总计,  26 332 520,  12 917 485,  13 415 035,  18 050 580,  8 344 204,  9 706 376, 10 933 924,  4 689 104,  6 244 820,  5 352 690,  1 993 954,  3 358 736,  1 907 544,  605 746,  1 301 798,,,,小计,  男,  女,小计,    男,    女,小计,  男,  女
北京市,  10 819 414,  5 593 461,  5 225 953,    808 443,    416 720,    391 723,    806 621,    416 320,    390 301,    565 982,    293 066,    272 916,,,北京市,    799 123,    427 952,    371 171,  1 062 480,    592 917,  469 563,  1 257 523,  669 755,  587 768, 1 165 917,  605 343,  560 574,  984 498,  499 226,  485 272,,,北京市,    633 025,    316 822,    316 203,    500 030,    243 871,  256 159,    587 985,  289 084,298 901,  553 492,  287 386,  266 106,  407 414,  209 224,  198 190,,,北京市,    288 042,    144 992,    143 050,    184 984,    90 570,    94 414,    121 781,    55 537,    66 244,    63 353,    25 288,    38 065,    23 319,    7 956,    15 363,,,总计,351 602,  94 520, 257 082,  57 851,  14 549,  43 302,    6 681,  1 555,  5 126
天津市,    8 785 427,  4 470 746,  4 314 681,    727 345,    377 689,    349 656,    702 242,    361 695,    340 547,    565 229,    290 738,    274 491,,,天津市,    662 596,    342 805,    319 791,    757 904,    392 088,  365 816,  923 482,  471 741,  451 741,  936 209,  476 164,  460 045,  844 338,  426 145,  418 193,,,天津市,    575 168,    290 374,    284 794,    401 399,    199 955,  201 444,    397 355,  196 804,  200 551,  393 892,  200 187,  193 705,  330 380,  167 135,  163 245,,,天津市,    236 839,    119 130,    117 709,    155 313,    78 062,    77 251,    102 851,    49 742,    53 109,    50 882,    22 136,    28 746,    18 178,    6 948,    11 230,,,北京市,    4 675,    1 267,    3 408,    687,    162,    525,    40,    3,    37
河北省,  61 082 755,  31 210 112,  29 872 643,  6 898 867,  3 593 900,  3 304 967,    6 133 172,    3 170 091,    2 963 081,    4 704 887,    2 424 170,    2 280 717,,,河北省,  5 436 742,  2 743 011,  2 693 731,  6 051 089,  3 031 226,  3 019 863,  5 469 723, 2 753 542, 2 716 181, 5 026 858, 2 597 203, 2 429 655, 5 055 963, 2 598 200, 2 457 763,,,河北省,  3 728 021,  1 928 693,  1 799 328,  2 453 252,  1 285 133,  1 168 119,  2 387 449, 1 267 730,  1 119 719, 2 280 069, 1 185 836, 1 094 233, 1 907 190,  965 112,  942 078,,,河北省,  1 456 278,    711 152,    745 126,    993 012,    475 671,    517 341,    658 055,  302 954,  355 101,  321 528,  134 087,  187 441,  102 044,    37 045,    64 999,,,天津市,    3 368,    1 100,    2 268,    430,    104,    326,    27,    4,    23
山西省,  28 758 846,  14 958 318,  13 800 528,  3 029 943,  1 580 469,  1 449 474,    2 691 498,    1 408 556,    1 282 942,    2 373 386,    1 231 389,    1 141 997,,,山西省,  3 056 740,  1 573 514,  1 483 226,  3 033 577,  1 569 362,  1 464 215,  2 731 813, 1 415 678, 1 316 135, 2 376 321, 1 249 952, 1 126 369, 2 165 288, 1 131 494, 1 033 794,,,山西省,  1 558 217,    819 963,    738 254,  1 134 169,695 852,    528 317,  1 129 240,  607 465,  521 775, 1 089 264,  579 614,  509 650,  839 953,  431 290,  408 663,,,山西省,    660 690,    331 497,    329 193,    462 374,    226 991,    235 383,    274 778,  130 919,  143 859,  116 578,    50 914,    65 664,    30 665,    11 939,    18 726,,,河北省,  16 416,    4 867,  11 549,    2 042,    476,    1 566,    98,    13,    85
内蒙古自治区,  21 456 518,  11 155 668,  10 300 850,  2 046 258,  1 061 642,    984 616,    2 119 802,    1 093 556,    1 026 246,    1 937 658,    992 192,    945 466,,,内蒙古自治区,  2 446 084,  1 245 298,  1 200 786,  2 343 826,  1 218 109,  1 125 717,  2 183 337, 1 130 706, 1 052 631, 1 856 859,  962 284,  894 575, 1 621 360,  835 219,  786 141,,,内蒙古自治区,  1 070 679,    552 954,    517 725,    840 995,    430 678,    410 317,    875 830,  466 442,  409 388,  733 056,  402 418,  330 638,  520 897,  291 737,  229 160,,,内蒙古自治区,    395 687,    220 517,    175 170,    248 557,    138 574,    109 983,140 055,    75 672,    64 383,    57 499,    29 101,    28 398,    15 660,    7 430,    8 230,,,山西省,    3 874,    1 317,    2 557,    429,    132,    297,    49,    11,    38
