表1-7省自治区直辖市人口的文化程度状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,表1-7单位：人,,,,,,,,,,,,,,,表1-7单位：人,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,    大学专科,,,    中专,,,    高中,,,    初中,,,,,,    小学,,,    不识字或识字很少,,
,    6岁及6岁以上人口数,,,    大学本科,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,,,
    地区别,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,,,总计,  9 618 959,  6 559 621,  3 059 338,  17 283 681,  10 130 670,  7 153 011, 72 603 846,  44 632 787,  27 971 059,  263 384 863,  159 569 272, 103 815 591,,,总计,420 205 292, 220 236 874, 199 968 418, 204 854 804, 64 818 106, 140 036 698
总计,994 089 929,  510 365 844, 483 724 085, 6 138 484, 4 418 514,  1 719 970,,,北京市,    402 433,    222 908,    179 525,    484 619,    225 585,    259 034,  1 568 733,    808 535,    760 198,    3 305 479,    1 865 835,  1 439 644,,,北京市,  2 442 928,  1 295 430,    1 147 498,    1 059 660,    300 666,    758 994
北京市,  9 867 772,  5 102 874,  4 764 898,  603 920,    383 915,    220 005,,,天津市,    227 789,    138 302,    89 487,    339 564,    163 500,    176 064,  1 059 931,    558 193,    501 738,    2 582 912,    1 459 892,  1 123 020,,,天津市,  2 603 314,  1 331 149,    1 272 165,    931 275,    257 640,    673 635
天津市,  7 927 278,  4 025 749,  3 901 529,  182 493,    117 073,    65 420,,,河北省,    371 303,    248 843,    122 460,    766 908,    441 249,    325 659,  3 787 814,  2 286 336,  1 501 478,    15 094 177,8 915 482,  6 178 695,,,河北省,  22 491 581,  11 691 281,  10 800 300,  10 235 213,  3 255 125,  6 980 088
河北省,  52 958 191,  26 984 026,  25 974 165,  211 195,    145 710,    65 485,,,山西省,    258 462,    174 624,    83 838,    542 546,    312 597,    229 949,  1 994 815,  1 163 324,    831 491,    8 412 832,    4 852 669,  3 560 163,,,山西省,  10 275 740,  5 255 812,    5 019 928,    3 529 858,  1 219 254,  2 310 604
山西省,  25 153 456,  13 076 648,  12 076 808,  139 203,    98 368,    40 835,,,内蒙古自治区,    209 026,    136 172,    72 854,    429 675,    247 877,    181 798,  1 730 741,    984 536,    746 205,    5 465 549,    3 249 369,  2 216 180,,,内蒙古自治区,  7 166 807,  3 763 740,    3 403 067,    3 877 171,  1 418 618,  2 458 553
内蒙古自治区,  18 987 292,    9 875 123,    9 112 169,  108 323,    74 811,    33 512,,,辽宁省,    638 703,    396 002,    242 701,    872 048,    456 701,    415 347,  3 443 316,  1 925 252,  1 518 064,    12 754 902,    6 960 885,  5 794 017,,,辽宁省,  13 523 591,  6 874 800,    6 648 791,    4 112 275,  1 334 113,  2 778 162
辽宁省,  35 729 586,  18 216 263,  17 513 323,  384 751,  268 510,    116 241,,,吉林省,    313 510,    198 049,    115 461,    587 944,    306 526,    281 418,  2 544 245,1 401 493,  1 142 752,    6 503 452,    3 657 449,  2 846 003,,,吉林省,  8 704 503,  4 389 791,    4 314 712,    3 080 286,  1 120 455,  1 959 831
吉林省,  21 950 950,  11 221 810,  10 729 140,  217 010,  148 047,    68 963,,,黑龙江省,    515 980,    316 843,    199 137,    738 156,    372 659,    365 497,  3 393 001,  1 878 423,  1 514 578,    10 022 016,    5 681 048,  4 340 968,,,黑龙江省,  12 008 097,  6 102 589,    5 905 508,    4 582 317,  1 615 060,  2 967 257
黑龙江省,  31 497 077,  16 133 180,  15 363 897,  237 510,  166 558,    70 952,,,上海市,    438 521,    290 538,    147 983,    514 579,    248 639,    265 940,  2 092 349,  1 144 487,    947 862,    4 215 492,    2 338 448,  1 877 044,,,上海市,  3 027 339,  1 564 825,    1 462 514,    1 618 205,    405 659,  1 212 546
上海市,  12 340 096,    6 293 970,    6 046 126,  433 611,  301 374,    132 237,,,江苏省,    620 872,    449 059,    171 813,    903 926,    557 009,    346 917,  4 919 336,  3 133 707,  1 785 629,    17 713 987,    10 708 670,  7 005 317,,,江苏省,  23 340 407,  11 944 573,  11 395 834,  12 168 467,  3 357 836,  8 810 631
江苏省,  60 034 888,  30 425 952,  29 608 936,  367 893,  275 098,    92 795,,,浙江省,    299 450,    212 349,    87 101,    511 291,    305 326,    205 965,  2 398 461,  1 447 102,    951 359,    9 850 180,    5 799 139,  4 051 041,,,浙江省,  16 437 257,  8 937 372,    7 499 885,  8 014 259,  2 527 502,  5 486 757
浙江省,  37 696 940,  19 368 679,  18 328 261,  186 042,  139 889,    46 153,,,安徽省,    310 559,    229 234,    81 325,    594 566,    379 962,    214 604,  2 235 227,  1 530 281,    704 946,    11 219 078,    7 594 978,  3 624 100,,,安徽省,  19 495 406,  10 585 867,    8 909 539,  15 260 872,  4 962 398,  10 298 474
安徽省,  49 301 034,  25 428 686,  23 872 348,  185 326,  145 966,    39 360,,,福建省,    212 606,    156 735,    55 871,    418 797,    267 416,    151 381,  1 681 996,  1 132 339,    549 657,    5 075 416,    3 441 622,  1 633 794,,,福建省,  12 984 605,  6 791 067,    6 193 538,  5 454 856,  1 398 264,  4 056 592
福建省,  25 984 614,  13 307 883,  12 676 731,  156 338,  120 440,    35 898,,,江西省,    239 855,    185 351,    54 504,    509 301,    330 402,    178 899,  2 172 947,  1 475 083,    697 864,    7 114 313,    4 714 793,  2 399 520,,,江西省,  15 346 579,  8 021 177,    7 325 402,  7 243 965,  2 070 159,  5 173 806
江西省,  32 760 827,  16 904 488,  15 856 339,  133 867,  107 523,    26 344,,,山东省,    554 744,    403 126,    151 618,  1 217 827,    760 094,    457 733,  4 815 788,  3 165 485,  1 650 303,21 254 691,    13 128 717,  8 125 974,,,山东省,  30 611 980,  15 127 786,  15 484 194,  15 531 705,  4 736 668,  10 795 037
山东省,  74 254 854,  37 524 077,  36 730 777,  268 119,  202 201,    65 918,,,河南省,    507 434,    349 437,    157 997,    901 397,    545 311,    356 086,  5 159 422,  3 296 111,  1 863 311,    22 697 970,    13 782 712,  8 915 258,,,河南省,29 719 127,  14 848 264,  14 870 863,15 053 171,  4 823 322,  10 229 849
河南省,  74 256 647,  37 808 993,  36 447 654,  218 126,  163 836,    54 290,,,湖北省,    546 164,    388 339,    157 825,    979 066,    579 444,    399 622,  3 806 193,  2 418 124,  1 388 069,    12 497 548,    7 711 422,  4 786 126,,,湖北省,  19 351 561,  9 965 668,  9 385 893,  9 290 835,  2 798 006,  6 492 829
