表1-9省自治区直辖市每十万人拥有小学以上文化程度的人口数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,    高中,,,    初中,,,    小学,,
  地区别,,,,,,,,,,,,,,,,,,,,,
,合计,  男,  女,小计,  男,  女,小计,  男,  女,  小计,  男,  女,小计,  男,  女,小计,  男,  女,小计,  男,  女
总计,    69 812,  39 411,  30 401,    543,    391,    152,    851,    580,    271,    1 529,    896,    633,  6 422,  3 948,  2 474, 23 298, 14 115,  9 183,  37 169, 19 481, 17 688
北京市,    80 565,  43 925,  36 640,  5 524,    3 512,  2 012,  3 681,  2 039,    1 642,    4 432,  2 063,    2 369, 14 349,  7 396,  6 953, 30 234, 17 066, 13 168,  22 345, 11 849, 10 496
天津市,    78 558,  42 312,  36 246,  2 050,    1 315,    735,  2 558,  1 553,1 005,    3 813,  1 836,    1 977, 11 902,  6 268,  5 634, 29 003, 16 393, 12 610,  29 232, 14 947, 14 285
河北省,    69 795,  38 765,31 030,    345,    238,    107,    607,    407,    200,    1 253,    721,    532,  6 188,  3 735,  2 453, 24 659, 14 565, 10 094,  36 743, 19 099, 17 644
山西省,    74 825,  41 031,  33 794,    481,    340,    141,    894,    604,    290,    1 878,  1 082,    796,  6 903,  4 026,  2 877, 29 111, 16 792, 12 319,  35 558, 18 187, 17 371
内蒙古自治区,    69 933,  39 139,  30 794,    501,    346,    155,    967,    630,    337,    1 988,  1 147,    841,  8 011,  4 557,  3 454, 25 296, 15 039, 10 257,  33 170, 17 420, 15 750
辽宁省,    79 701,  42 556,  37 145,    970,    677,    293,  1 610,    998,    612,    2 198,  1 151,  1 047,  8 680,  4 853,  3 827, 32 153, 17 547, 14 606,  34 090, 17 330, 16 760
吉林省,    75 846,  40 600,  35 246,    872,    595,    277,  1 260,    796,    464,    2 363,  1 232,  1 131,  10 226,  5 633,  4 593, 26 139, 14 700,11 439,  34 986, 17 644, 17 342
黑龙江省,    75 948,  40 968,  34 980,    670,    470,    200,  1 456,    894,    562,    2 083,  1 052,  1 031,  9 575,  5 301,  4 274, 28 280, 16 031,12 249,  33 884, 17 220, 16 664
上海市,    78 491,  43 106,  35 385,    3 174,  2 206,    968,  3 210,  2 127,    1 083,    3 767,  1 820,  1 947,  15 317,  8 378,  6 939, 30 860, 17 119, 13 741,  22 163, 11 456, 10 707
江苏省,    71 043,  40 174,  30 869,    546,    408,    138,    921,    666,    255,    1 342,    827,    515,  7 301,  4 651,  2 650, 26 291, 15 894, 10 397,  34 642, 17 728, 16 914
