表2-10省自治区直辖市的县(含镇)按人口数分组的县个数,,,,,,,,,,
,,,,,,,,,,
单位：个,,,,,,,,,,
,,,,,,,,,,
,    县数,    1 000 000,    900 000-,    700 000-,    500 000-,    300 000-,    200 000-,    100 000-,    50 000-,    50 000
    地区别,,,,,,,,,,
,    合计,    人以上,    999 999人,    899 999人,    699 999人,    499 999人,    299 999人,    199 999人,    99 999人,    人以下
总计,    1 911,    118,    53,    152,    269,    506,    300,    271,    107,    135
北京市,    8,-,-,-,    3,    3,    2,-,-,-
天津市,    5,-,-,    2,    1,    2,-,-,-,-
河北省,    127,-,-,    3,    21,    58,    32,    13,-,-
山西省,    93,-,-,-,    1,    21,    26,    30,    15,-
内蒙占自治区,    72,-,-,-,    2,    15,    21,    16,    10,    8
辽宁省,    38,-,    1,    4,    13,    17,    1,    1,    1,-
吉林省,    26,    2,-,    3,    4,    10,    5,    1,    1,-
黑龙江省,    54,-,-,    1,    6,    25,    12,    3,    6,    1
上海市,    9,-,-,    2,    5,  2,-,-,-,-
江苏省,    50,    19,    7,    8,    8,    6,    2,-,-,-
浙江省,    52,    1,    2,    6,    8,    24,    5,    5,    1,-
安徽省,    63,    17,    2,    10,    15,    12,    2,    4,    1,-
福建省,    55,    4,    2,    3,    6,    19,    7,    13,    1,-
江西省,    75,    1,    1,    5,    12,    22,    22,    11,    1,-
山东省,    78,    8,    5,    14,    29,    18,    3,-,-,    1
河南省,    104,    14,    9,    19,    37,    22,    3,-,-,-
湖北省,    51,    2,    6,    6,    14,    15,    5,    1,      2,-
湖南省,    78,    7,    3,    19,    15,    21,    9,    4,-,-
广东省,    76,    10,    4,    12,    15,    22,    7,    5,    1,-
广西壮族自治区,    76,    5,    2,    7,    8,    32,    11,    11,-,-
海南省,    18,-,-,-,    2,    7,    4,    3,-,    2
四川省,    169,    24,    9,    23,    19,    26,    14,    21,    18,    15
贵州省,    72,    2,-,    3,    10,    18,    24,    14,    1,-
云南省,    114,    2,-,    1,    4,    32,    32,    33,    9,    1
西藏自治区,    70,-,-,-,-,-,-,-,    6,    64
陕西省,    86,-,-,    1,    10,    22,    22,    21,    6,    4
甘肃省,    67,-,-,-,-,    22,    14,    21,    5,    5
青海省,    38,-,-,-,-,    4,    2,    4,    8,    20
宁夏回族自治区,    16,-,-,-,-,    2,     7,    4,    2,    1
新疆维吾尔自治区,    71,-,-,-,    1,    7,    6,    32,    12,    13
