表2-1省自治区直辖市的市(不含市辖县)按人口数分组的个数,,,,,,,,,
,,,,,,,,,
单位：个,,,,,,,,,
,,,,,,,,,
,,    4 000 000,    2 000 000-,    1 000 000-,    800 000-,    500 000-,    300 000-,    100 000-,    100 000
    地区别,    市数合计,,,,,,,,
,,    人以上,    3 999 999人,    1 999 999人,    999 999人,    799 999人,    499 999人,    299 999人,    人以下
总计,    458,    5,    12,     78,    45,    109,    113,    81,    15
北京市,    1,    1,-,-,-,-,-,-,-
天津市,    1,    1,-,-,-,-,-,-,-
河北省,    22,-,-,    4,-,    8,    10,-,-
山西省,    13,-,    1,    1,-,    4,    4,    3,-
内蒙古自治区,    16,-,-,    1,      2,1,4,6,2
辽宁省,    20,    1,    1,    4,       2,    8,    3,    1,-
吉林省,    21,-,    1,    1,       2,    4,    8,    5,-
黑龙江省,    29,-,    1,    2,     2,    10,    6,    3,5
上海市,    1,    1,-,-,-,-,-,-,-
江苏省,    25,-,    1,    10,    4,      5,    4,    1,-
浙江省,    24,-,-,    5,    4,    9,    4,    2,-
安徽省,    18,-,-,    3,-,    7,    4,    4,-
福建省,    14,-,-,    1,-,2,    7,    4,-
江西省,    15,-,-,    3,  2,    1,    5,    3,    1
山东省,    32,-,    3,    12,    6,    9,    1,    1,-
河南省,    25,-,-,    4,       2,    6,      5,    8,-
湖北省,    29,    1,-,    6,      5,    8,    9,-,-
湖南省,    25,-,-,    4,     2,    8,    7,    3,    1
广东省,    19,-,    1,    4,    4,    2,    5,    3,-
广西壮族自治区,    12,-,-,    4,    1,    1,    1,    4,    1
海南省,    3,-,-,-,-,-,    2,-,    1
四川省,    25,-,    2,    3,    4,    6,    6,    4,-
贵州省,    8,-,-,    2,-,      2,    3,    1,-
云南省,    11,-,-,    1,    1,      2,    4,     2,    1
西藏自治区,    2,-,-,-,-,-,-,    1,    1
陕西省,    11,-,    1,-,    1,   3,    6,-,-
甘肃省,    13,-,-,    2,    1,-,    4,    6,-
青海省,    3,-,-,-,-,    1,-,-,    2
宁夏回族自治区,    4,-,-,-,-,    1,-,    3,-
新疆维吾尔自治区,    16,-,-,    1,-,    1,    1,    13,-
,,,,,,,,,
注：第二部分分市、镇、县的表均按第一口径汇总。,,,,,,,,,
