表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,    329 517 606,    169 754 140,    159 763 466,    153 064 306,    79 706 753,    73 357 553,    176 453 300,    90 047 387,    86 405 913
北京市,    7 362 426,    3 841 774,    3 520 652,    5 983 964,    3 138 073,    2 845 891,    1 378 462,    703 701,    674 761
  市辖区,    7 362 426,    3 841 774,    3 520 652,    5 983 964,    3 138 073,    2 845 891,    1 378 462,    703 701,    674 761
    东城区,    606 203,    309 679,    296 524,    606 203,    309 679,    296 524,-,-,-
    西城区,    755 813,    385 216,    370 597,    755 813,    385 216,    370 597,-,-,-
    崇文区,    417 651,    211 320,    206 331,    417 651,    211 320,    206 331,-,-,-
    宦武区,    556 877,    290 204,    266 673,    556 877,    290 204,    266 673,-,-,-
    朝阳区,    1 448 441,    762 960,    685 481,    1 073 423,    572 073,    501 350,    375 018,    190 887,    184 131
    丰台区,    789 151,    417 835,    371 316,    592 706,    316 655,    276 051,    196 445,    101 180,    95 265
    石景山区,    308 811,    164 619,    144 192,    308 811,    164 619,    144 192,-,-,-
    海淀区,    1 442 776,    763 046,    679 730,    1 210 465,    642 298,    568 167,    232 311,    120 748,    111 563
    门头沟区,    270 343,    143 986,    126 357,    152 426,    83 395,    69 031,    117 917,    60 591,    57 326
    房山区,    766 360,    392 909,    373 451,    309 589,    162 614,    146 975,    456 771,    230 295,    226 476
天津市,    5 804 023,    2 947 098,    2 856 925,    4 558 206,    2 322 067,    2 236 139,    1 245 817,    625 031,    620 786
  市辖区,    5 804 023,    2 947 098,    2 856 925,    4 558 206,    2 322 067,    2 236 139,    1 245 817,    625 031,    620 786
    和平区,    487 570,    238 135,    249 435,    487 570,    238 135,    249 435,-,-,-
    河东区,    623 997,    318 889,    305 108,    623 997,    318 889,    305 108,-,-,-
    河西区,    650 557,    327 894,    322 663,    650 557,    327 894,    322 663,-,-,-
    南开区,    691 227,    352 839,    338 388,    691 227,    352 839,    338 388,-,-,-
    河北区,    609 704,    308 874,    300 830,    609 704,    308 874,    300 830,-,-,-
    红桥区,    568 470,    288 658,    279 812,    568 470,    288 658,    279 812,-,-,-
    塘沽区,    442 165,    233 186,    208 979,    363 371,    194 230,    169 141,    78 794,    38 956,    39 838
    汉沽区,    166 348,    84 445,81 903,    104 192,    53 564,    50 628,    62 156,    30 881,    31 275
    大港区,    306 885,    159 452,    147 433,    193 698,    102 007,    91 691,    113 187,    57 445,    55 742
    东郊区,    292 637,    148 086,    144 551,    72 239,    36 512,    35 727,    220 398,    111 574,    108 824
    两郊区,    293 307,    148 766,    144 541,    64 519,    33 205,    31 314,    228 788,    115 561,    113 227
    南郊区,    359 182,    180 040,    179 142,    72 820,    36 824,    35 996,    286 362,    143 216,    143 146
    北郊区,    311 974,    157 834,    154 140,    55 842,    30 436,    25 406,    256 132,    127 398,    128 734
河北省,    13 963 315,    7 173 393,    6 789 922,    6 296 054,    3 317 388,    2 978 666,    7 667 261,    3 856 005,    3 811 256
  石家庄市,    1 372 109,    709 883,    662 226,    1 077 297,    563 193,    514 104,    294 812,    146 690,    148 122
    长安区,    340 925,    177 539,    163 386,    340 925,    177 539,    163 386,-,-,-
    桥东区,    227 923,    119 865,    108 058,    227 923,      119 865,    108 058,-,-,-
    桥西区,    189 758,    97 705,    92 053,    189 758,    97 705,    92 053,-,-,-
    新华区,    245 243,    128 995,    116 248,    245 243,    128 995,    116 248,-,-,-
    郊区,    254 275,    126 424,    127 851,    19 020,    10 571,    8 449,    235 255,    115 853,    119 402
    井陉矿区,    113 985,    59 355,    54 630,    54 428,    28 518,    25 910,    59 557,    30 837,    28 720
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  唐山市,    1 484 515,    761 390,    723 125,    996 351,    514 314,    482 037,    488 164,    247 076,    241 088
    路南区,    197 951,    103 582,    94 369,    197 951,    103 582,    94 369,-,-,-
    路北区,    396 843,    204 444,    192 399,    396 843,    204 444,    192 399,-,-,-
    东矿区,    401 621,    204 081,    197 540,    294 160,    149 446,    144 714,    107 461,    54 635,    52 826
    开平区,    359 959,    182 456,    177 503,    40 716,    21 092,    19 624,    319 243,    161 364,    157 879
    新区,    128 141,    66 827,    61 314,    66 681,    35 750,    30 931,    61 460,    31 077,    30 383
  秦皇岛市,    518 912,    268 152,    250 760,    358 006,    187 125,    170 881,    160 906,    81 027,    79 879
    海港区,    329 097,    172 510,    156 587,    261 779,    138 526,    123 253,    67 318,    33 984,    33 334
    山海关区,    134 639,    68 187,    66 452,    75 945,    38 603,    37 342,    58 694,    29 584,    29 110
    北戴河区,    55 176,    27 455,    27 721,    20 282,    9 996,    10 286,    34 894,    17 459,    17 435
  邯郸市,    1 769 315,947 444,    821 871,    880 995,    504 142,    376 853,    888 320,    443 302,    445 018
    邯山区,    207 628,    112 048,    95 580,    168 964,    93 034,    75 930,    38 664,    19 014,    19 650
    丛台区,    252 920,    131 306,    121 614,    198 958,    103 482,    95 476,    53 962,    27 824,    26 138
    复兴区,    196 495,    117 963,    78 532,    157 469,    97 996,    59 473,    39 026,    19 967,    19 059
    峰峰矿区,    477 279,    263 824,    213 455,    274 431,    163 517,    110 914,    202 848,    100 307,    102 541
    武安市,    634 993,    322 303,    312 690,    81 173,    46 113,    35 060,    553 820,    276 190,    277 630
  邢台市,    396 001,    210 144,    185 857,    300 398,    163 407,    136 991,    95 603,    46 737,    48 866
    桥东区,    184 650,    94 396,    90 254,    152 949,    78 803,    74 146,    31 701,    15 593,    16 108
    桥西区,211 351,    115 748,    95 603,    147 449,    84 604,    62 845,    63 902,    31 144,    32 758
  保定市,    594 966,    305 455,    289 511,    471 270,    243 835,    227 435,    123 696,    61 620,   62 076
    新市区,    260 979,    134 695,    126 284,    195 126,    102 035,    93 091,    65 853,    32 660,    33 193
    北市区,    164 602,    84 666,    79 936,    149 861,    77 263,    72 598,    14 741,    7 403,    7 338
    南市区,    169 385,    86 094,    83 291,    126 283,    64 537,    61 746,    43 102,    21 557,    21 545
  张家口市,    719 672,    369 540,    350 132,    558 286,    283 689,    274 597,    161 386,    85 851,    75 535
    桥东区,    218 018,    110 324,    107 694,    170 482,    85 983,    84 499,    47 536,    24 341,    23 195
    桥西区,    206 427,    103 215,    103 212,    169 141,    83 967,    85 174,    37 286,    19 248,    18 038
    宣化区,    226 675,    119 966,       106 709,    183 517,    95 210,    88 307,    43 158,    24 756,    18 402
    下花园区,    68 552,    36 035,    32 517,    35 146,    18 529,    16 617,    33 406,    17 506,    15 900
  承德市,    365 519,    188 333,    177 186,    248 609,    128 393,    120 216,    116 910,    59 940,    56 970
    双桥区,    206 523,    104 399,    102 124,    152 015,    76 515,    75 500,    54 508,    27 884,    26 624
    双滦区,    88 134,    46 417,    41 717,    46 388,    25 011,    21 377,    41 746,    21 406,    20 340
    鹰手营子矿区,    70 862,    37 517,    33 345,    50 206,    26 867,    23 339,    20 656,    10 650,    10 006
  沧州市,    314 842,    160 309,    154 533,    203 828,    104 163,    99 665,    111 014,    56 146,    54 868
    新华区,    88 146,    46 028,    42 118,    88 146,    46 028,    42 118,-,-,-
    运河区,    115 682,    58 135,    57 547,    115 682,    58 135,    57 547,-,-,-
    郊区,    111 014,    56 146,    54 868,-,-,-,    111 014,    56 146,    54 868
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  省、自治区、直辖市的市按居委会、村委会分的人口数(续02),,,,,,,,,
  表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  廊坊市,    1 078 010,    548 790,    529 220,    191 686,    101 785,    89 901,    886 324,    447 005,    439 319
    安次区,    591 194,    303 160,    288 034,    160 722,    85 776,    74 946,    430 472,    217 384,    213 088
    霸州市,    486 816,    245 630,    241 186,    30 964,    16 009,    14 955,    455 852,    229 621,    226 231
  邢台地区,    823 672,    418 093,    405 579,    217 187,    115 895,    101 292,    606 485,    302 198,    304 287
    南宫市,    429 351,    213 711,    215 640,    80 383,    40 767,    39 616,    348 968,    172 944,    176 024
    沙河市,    394 321,    204 382,    189 939,    136 804,    75 128,    61 676,    257 517,    129 254,    128 263
  石家庄地区,    1 267 459,    637 061,    630 398,    207 907,    107 955,    99 952,    1 059 552,    529 106,    530 446
    辛集市,    581 982,    292 320,    289 662,    156 408,    80 683,    75 725,    425 574,    211 637,    213 937
    藁城市,    685 477,    344 741,    340 736,    51 499,    27 272,    24 227,    633 978,    317 469,    316 509
  保定地区,    1 511 178,    761 172,    750 006,    277 191,    139 492,    137 699,    1 233 987,    621 680,    612 307
    定州市,    1 024 589,    513 756,    510 833,    170 104,    85 842,    84 262,    854 485,    427 914,    426 571
    涿州市,    486 589,    247 416,    239 173,    107 087,    53 650,    53 437,    379 502,    193 766,    185 736
  沧州地区,    1 417 364,    719 339,    698 025,    182 171,    93 161,    89 010,    1 235 193,    626 178,    609 015
    泊头市,    494 656,    250 714,    243 942,    70 002,    35 328,    34 674,    424 654,    215 386,    209 268
    任丘市,    569 378,    288 228,    281 150,    92 670,    47 473,    45 197,    476 708,    240 755,    235 953
    黄骅市,    353 330,    180 397,    172 933,    19 499,    10 360,    9 139,    333 831,    170 037,    163 794
  衡水地区,    329 781,    168 288,    161 493,    124 872,    66 839,    58 033,    204 909,    101 449,    103 460
    衡水市,    329 781,    168 288,    161 493,    124 872,    66 839,    58 033,    204 909,    101 449,    103 460
