表2-3省自治区直辖市的市按街道乡镇分的人口数,,,,,,,,,,,,
,,,,,,,,,,,,
单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,    合计,    男,    女,,,,,,,,,
,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
总计,  329 522 200,  169 756 916,  159 765 284,  131 141 889,  68 073 225,    63 068 664,    83 787 595,  43 024 680,  40 762 915,    114 592 716,  58 659 011, 55 933 705
北京市,    7 362 426,    3 841 774,    3 520 652,    5 961 098,    3 124 813,    2 836 285,    234 843,    118 901,    115 942,    1 166 485,    598 060,    568 425
  市辖区,    7 362 426,    3 841 774,    3 520 652,    5 961 098,    3 124 813,    2 836 285,    234 843,    118 901,    115 942,    1 166 485,    598 060,    568 425
    东城区,    606 203,    309 679,    296 524,    606 203,    309 679,    296 524,-,-,-,-,-,-
    西城区,    755 813,    385 216,    370 597,    755 813,    385 216,    370 597,-,-,-,-,-,-
    崇文区,    417 651,    211 320,    206 331,    417 651,    211 320,    206 331,-,-,-,-,-,-
    宣武区,    556 877,    290 204,    266 673,    556 877,    290 204,    266 673,-,-,-,-,-,-
    朝阳区,  1 448 441,    762 960,    685 481,    1 073 423,    572 073,    501 350,-,-,-,    375 018,    190 887,    184 131
    丰台区,    789 151,    417 835,    371 316,    592 706,    316 655,    276 051,-,-,-,    196 445,    101 180,    95 265
    石景山区,    308 811,    164 619,    144 192,    308 811,    164 619,    144 192,-,-,-,-,-,-
    海淀区,    1 442 776,    763 046,    679 730,    1 210 465,    642 298,    568 167,-,-,-,    232 311,    120 748,    111 563
    门头沟区,    270 343,    143 986,    126 357,    142 053,    77 863,    64 190,    66 893,    34 376,    32 517,    61 397,    31 747,    29 650
    房山区,    766 360,    392 909,    373 451,    297 096,    154 886,    142 210,    167 950,    84 525,    83 425,    301 314,    153 498,    147 816
天津市,    5 804 023,    2 947 098,    2 856 925,    4 351 094,    2 215 391,    2 135 703,    470 789,    238 477,    232 312,    982 140,    493 230,    488 910
  市辖区,    5 804 023,    2 947 098,    2 856 925,    4 351 094,    2 215 391,    2 135 703,    470 789,    238 477,    232 312,    982 140,    493 230,    488 910
    和平区,    487 570,    238 135,    249 435,    487 570,    238 135,    249 435,-,-,-,-,-,-
    河东区,    623 997,    318 889,    305 108,    623 997,    318 889,    305 108,-,-,-,-,-,-
    河西区,    650 557,    327 894,    322 663,    650 557,    327 894,    322 663,-,-,-,-,-,-
    南开区,    691 227,    352 839,    338 388,    691 227,    352 839,    338 388,-,-,-,-,-,-
    河北区,    609 704,    308 874,    300 830,    609 704,    308 874,    300 830,-,-,-,-,-,-
    红桥区,    568 470,    288 658,    279 812,    568 470,    288 658,    279 812,-,-,-,-,-,-
    塘沽区,    442 165,    233 186,    208 979,    363 371,    194 230,    169 141,-,-,-,    78 794,    38 956,    39 838
    汉沽区,    166 348,    84 445,    81 903,    104 192,    53 564,    50 628,-,-,-,    62 156,    30 881,    31 275
    大港区,    306 885,    159 452,    147 433,    192 429,    101 286,    91 143,    41 609,    21 114,    20 495,    72 847,    37 052,    35 795
    东郊区,    292 637,    148 086,    144 551,    22 990,    11 814,    11 176,    49 249,    24 698,    24 551,    220 398,    111 574,    108 824
    西郊区,    293 307,    148 766,    144 541,-,-,-,    103 642,    52 915,    50 727,    189 665,    95 851,    93 814
    南郊区,    359 182,    180 040,    179 142,-,-,-,    169 167,    85 129,    84 038,    190 015,    94 911,    95 104
    北郊区,    311 974,    157 834,    154 140,    36 587,    19 208,    17 379,    107 122,    54 621,    52 501,    168 265,    84 005,    84 260
河北省,    13 963 315,    7 173 393,    6 789 922,    5 497 126,    2 869 587,    2 627 539,    2 639 107,    1 368 628,    1 270 479,    5 827 082,    2 935 178,  2 891 904
  石家庄市,    1 372 109,    709 883,    662 226,    1 056 229,    551 489,    504 740,    101 301,    51 475,    49 826,    214 579,    106 919,    107 660
    长安区,    340 925,    177 539,    163 386,    340 925,    177 539,    163 386,-,-,-,-,-,-
    桥东区,    227 923,    119 865,    108 058,    227 923,    119 865,    108 058,-,-,-,-,-,-
    桥西区,    189 758,    97 705,    92 053,    189 758,    97 705,    92 053,-,-,-,-,-,-
    新华区,    245 243,    128 995,    116 248,    245 243,    128 995,    116 248,-,-,-,-,-,-
    郊区,    254 275,    126 424,    127 851,-,-,-,    75 180,    38 137,    37 043,    179 095,    88 287,    90 808
    井陉矿区,    113 985,    59 355,    54 630,    52 380,    27 385,    24 995,    26 121,    13 338,    12 783,    35 484,    18 632,    16 852
  唐山市,    1 484 515,    761 390,    723 125,    985 239,    508 627,    476 612,    41 532,    21 062,    20 470,    457 744,    231 701,    226 043
    路南区,    197 951,    103 582,    94 369,    197 951,    103 582,    94 369,-,-,-,-,-,-
    路北区,    396 843,204 444,    192 399,    396 843,    204 444,    192 399,-,-,-,-,-,-
    东矿区,    401 621,    204 081,    197 540,    294 160,    149 446,    144 714,-,-,-,    107 461,    54 635,    52 826
    开平区,    359 959,    182 456,    177 503,    29 604,    15 405,    14 199,    41 532,    21 062,    20 470,    288 823,    145 989,    142 834
    新区,    128 141,    66 827,    61 314,    66 681,    35 750,    30 931,-,-,-,    61 460,    31 077,    30 383
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
表2-3单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,    街道,,,    镇,,,    乡,,
    市名,    合计,    男,    女,,,,,,,,,
,,,, 小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  秦皇岛市,    518 912,    268 152,    250 760,    356 262,    186 322,    169 940,    12 634,    6 242,    6 392,    150 016,    75 588,    74 428
    海港区,    329 097,    172 510,    1 56 587,    261 779,    138 526,    123 253,-,-,-,    67 318,    33 984,    33 334
    山海关区,    134 639,    68 187,    66 452,    75 945,    38 603,    37 342,-,-,-,    58 694,    29 584,    29 110
    北戴河区,    55 176,    27 455,    27 721,    18 538,    9 193,    9 345,    12 634,    6 242,    6 392,    24 004,    12 020,    11 984
  邯郸市,    1 769 315,    947 444,    821 871,    514 745,    288 630,    226 115,    767 666,    414 325,    353 341,    486 904,    244 489,  242 415
    邯山区,    207 628,    112 048,    95 580,    158 318,    87 152,    71 166,    32 833,    16 714,    16 119,    16 477,    8 182,    8 295
    丛台区,    252 920,    131 306,    121 614,    198 958,    103 482,    95 476,-,-,-,    53 962,    27 824,    26 138
    复兴区,    196 495,    117 963,    78 532,    157 469,    97 996,    59 473,-,-,-,    39 026,    19 967,    19 059
    峰峰矿区,    477 279,    263 824,    213 455,-,-,-,    477 279,    263 824,    213 455,-,-,-
    武安市,    634 993,    322 303,    312 690,-,-,-,    257 554,    133 787,    123 767,    377 439,    188 516,    188 923
  邢台市,    396 001,    210 144,    185 857,    300 398,    163 407,    136 991,-,-,-,    95 603,    46 737,    48 866
    桥东区,    184 650,    94 396,    90 254,    152 949,    78 803,    74 146,-,-,-,    31 701,    15 593,    16 108
    桥西区,    211 351,    115 748,    95 603,    147 449,    84 604,    62 845,-,-,-,    63 902,    31 144,    32 758
  保定市,    594 966,    305 455,    289 511,    471 270,    243 835,    227 435,-,-,-,    123 696,    61 620,    62 076
    新市区,    260 979,    134 695,    126 284,    195 126,    102 035,    93 091,-,-,-,    65 853,    32 660,    33 193
    北市区,    164 602,    84 666,    79 936,    149 861,    77 263,    72 598,-,-,-,    14 741,    7 403,    7 338
    南市区,    169 385,    86 094,    83 291,    126 283,    64 537,    61 746,-,-,-,    43 102,    21 557,    21 545
  张家口市,    719 672,    369 540,    350 132,    558 286,    283 689,    274 597,-,-,-,    161 386,    85 851,    75 535
    桥东区,    218 018,    110 324,    107 694,    170 482,    85 983,    84 499,-,-,-,    47 536,    24 341,    23 195
    桥西区,    206 427,    103 215,    103 212,    169 141,    83 967,    85 174,-,-,-,    37 286,    19 248,    18 038
    宣化区,    226 675,    119 966,    106 709,    183 517,    95 210,    88 307,-,-,-,    43 158,    24 756,    18 402
