表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
总计,335 043 971, 172 785 428, 162 258 543, 143 232 103, 76 152 556, 67 079 547,  188 452 831,  94 940 131,  93 512 700,    3 359 037,  1 692 741,    1 666 296,    42.75
北京市,    7 362 426,    3 841 774,    3 520 652,    5 715 368,  2 990 519,  2 724 849,    1 561 038,    803 436,    757 602,    86 020,    47 819,    38 201,    77.63
  市辖区,    7 362 426,    3 841 774,    3 520 652,    5 715 368,  2 990 519,  2 724 849,    1 561 038,    803 436,    757 602,    86 020,    47 819,    38 201,    77.63
    东城区,    606 203,    309 679,    296 524,    575 144,    291 991,    283 153,    21 686,    12 286,    9 400,    9 373,    5 402,    3 971,    94.88
    西城区,    755 813,    385 216,    370 597,    716 843,    361 291,    355 552,    28 614,    18 204,    10 410,    10 356,    5 721,    4 635,    94.84
    崇文区,    417 651,    211 320,    206 331,    402 738,    203 228,    199 510,    11 964,    6 471,    5 493,    2 949,    1 621,    1 328,    96.43
    宣武区,    556 877,    290 204,    266 673,    537 003,    278 861,    258 142,    15 719,    8 993,    6 726,    4 155,    2 350,    1 805,    96.43
    朝阳区,    1 448 441,    762 960,    685 481,  1 116 844,    592 791,    524 053,    317 124,    162 060,    155 064,    14 473,    8 109,    6 364,    77.11
    丰台区,    789 151,    417 835,    371 316,    557 621,    294 616,    263 005,    225 196,    119 928,    105 268,    6 334,    3 291,    3 043,    70.66
    石景山区,    308 811,    164 619,    144 192,    269 230,    144 076,    125 154,    37 963,    19 641,    18 322,    1 618,    902,    716,    87.18
    海淀区,    1 442 776,    763 046,    679 730,    1 160 800,    610 496,    550 304,    257 822,    138 534,    119 288,    24 154,    14 016,    10 138,    80.46
    门头沟区,    270 343,    143 986,    126 357,    156 210,    85 657,    70 553,    112 411,    57 420,    54 991,    1 722,    909,    813,    57.78
    房山区,    766 360,    392 909,    373 451,    222 935,    127 512,    95 423,    532 539,    259 899,    272 640,    10 886,    5 498,    5 388,    29.09
