表2-5省自治区直辖市的镇按居委会村委会分的户数和人口数,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表2-5单位：人、户,,,,,,,,
单位：人、户,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    村委会,,,,,,,
,,,,,    居委会,,,,,,,,,,,    家庭户,,,,    集体户,,,
,    合计,,,,,,,,,,,,,,    地区别,,,,,,,,
,,,,,    家庭户,,,,    集体户,,,,,,,,    人口数,,,,    人口数,,
    地区别,,,,,,,,,,,,,,,,  户数,,,,    户数,,,
,,    人口数,,,,    人口数,,,,    人口数,,,,,,,    小计,    男,    女,,    小计,    男,    女
,    户数,,,,    户数,,,,    户数,,,,,,总计,    46 025 331,    192 751 574,    97 628 258,    95 123 316,    126 418,    1 579 841,    1 110 854,    468 987
,,    合计,    男,    女,,    小计,    男,    女,,  小计,    男,    女,,,北京市,    354 485,    1 194 857,    584 271,    610 586,    1 696,    35 136,    25 394,    9 742
总计,  64 662 711,  266 507 059,    136 868 613,  129 638 446,  18 117 739,  64 600 107,  32 225 846,  32 374 261,    393 223,    7 575 537,    5 903 655,  1 671 882,,,天津市,    117 514,    424 599,    209 085,    215 514,    28,    323,    216,    107
北京市,    534 938,    1 812 904,    926 528,    886 376,    175 766,    498 475,    252 173,    246 302,    2 991,    84 436,    64 690,    19 746,,,河北省,    2 764 747,    10 933 606,    5 504 039,    5 429 567,    2 199,    24 685,    20 040,    4 645
天津市,    192 833,    680 961,    351 716,    329 245,    73 866,    215 068,    108 511,    106 557,    1 425,    40 971,    33 904,    7 067,,,山西省,    1 859 073,    7 410 391,    3 750 650,    3 659 741,    3 585,    46 933,    40 749,    6 184
河北省,    3 479 392,    13 724 024,    7 033 833,    6 690 191,    690 549,    2 365 203,    1 172 306,    1 192 897,    21 897,    400 530,    337 448,    63 082,,,内蒙古自治区,    434 092,    1 879 870,    969 206,    910 664,    560,    5 414,    3 840,    1 574
