表2-6省自治区直辖市的镇按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,    合计,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,  非农业
    地区别,,,,,,,,,,,,,  户口占
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  的比例
总计,266 513 213,  136 872 086,  129 641 127,56 491 865,31 515 401,24 976 464,    207 632 461,    104 191 755,    103 440 706,    2 388 887,  1 164 930,    1 223 957,    21.20
北京市,    1 812 904,    926 528,    886 376,    559 676,    320 236,  239 440,    1 229 427,    594 502,    634 925,    23 801,    11 790,    12 011,    30.87
天津市,    681 540,    352 002,    329 538,    197 872,    114 945,    82 927,    478 156,    234 469,    243 687,    5 512,    2 588,    2 924,    29.03
河北省,    13 724 024,    7 033 833,    6 690 191,  1 905 504,  1 137 386,    768 118,    11 753 773,    5 864 888,    5 888 885,    64 747,    31 559,    33 188,    13.88
山西省,    9 262 309,    4 817 055,    4 445 254,  1 785 127,  1 077 669,    707 458,    7 392 471,    3 696 914,    3 695 557,    84 711,    42 472,    42 239,    19.27
内蒙古自治区,    4 364 467,    2 243 224,    2 121 243,  2 054 769,  1 075 417,    979 352,    2 216 968,    1 121 566,    1 095 402,    92 730,    46 241,    46 489,    47.08
辽宁省,    8 790 094,    4 480 759,    4 309 335,  2 312 055,  1 238 582,  1 073 473,    6 408 526,    3 206 055,    3 202 471,    69 513,    36 122,    33 391,    26.30
吉林省,    5 790 411,    2 958 313,    2 832 098,  2 310 539,  1 182 843,  1 127 696,    3 403 810,    1 737 167,    1 666 643,    76 062,    38 303,    37 759,    39.90
黑龙江省,    7 886 892,    4 035 251,    3 851 641,  3 303 512,  1 684 573,  1 618 939,    4 450 914,    2 283 868,    2 167 046,    132 466,    66 810,    65 656,    41.89
上海市,    914 067,    475 775,    438 292,  599 947,    325 764,  274 183,    308 016,    146 787,    161 229,    6 104,    3 224,    2 880,    65.63
江苏省,  13 394 450,    6 767 497,    6 626 953, 2 735 458, 1 491 740,  1 243 718,    10 488 125,    5 191 972,    5 296 153,    170 867,    83 785,    87 082,    20.42
浙江省,    8 762 084,    4 506 776,    4 255 308, 1 800 518, 1 023 556,    776 962,    6 871 341,    3 438 602,    3 432 739,    90 225,    44 618,    45 607,    20.55
安徽省,    8 499 973,    4 381 049,    4 118 924, 2 158 470, 1 185 110,    973 360,    6 279 672,    3 163 545,    3 116 127,    61 831,    32 394,    29 437,    25.39
福建省,    9 866 768,    5 000 165,    4 866 603, 1 663 060,    940 876,    722 184,    7 991 737,    3 958 688,    4 033 049,211 971,    100 601,    111 370,    16.86
江西省,    6 321 325,    3 270 464,    3 050 861, 2 041 310,  1 128 308,    913 002,    4 181 954,    2 094 798,    2 087 156,    98 061,    47 358,    50 703,    32.29
山东省,  20 391 147,  10 350 156,  10 040 991, 2 672 360,  1 553 102,  1 119 258,    17 514 030,    8 700 812,    8 813 218,    204 757,    96 242,    108 515,    13.11
河南省,  16 044 193,    8 235 109,    7 809 084, 2 772 506,  1 582 164,  1 190 342,    13 098 785,    6 568 063,    6 530 722,    172 902,    84 882,    88 020,    17.28
湖北省,  18 306 179,    9 387 184,    8 918 995, 2 590 190,  1 462 320,  1 127 870,    15 649 340,    7 892 030,    7 757 310,    66 649,    32 834,    33 815,    14.15
湖南省,11 987 624,    6 206 269,    5 781 355, 2 666 904,  1 498 764,  1 168 140,    9 250 864,    4 676 441,    4 574 423,    69 856,    31 064,    38 792,    22.25
广东省,  40 802 729,  20 816 498,  19 986 231, 5 617 020,  3 189 578,  2 427 442,    34 873 608,    17 478 301,    17 395 307,    312 101,    148 619,    163 482,    13.77
广西壮族自治区,  11 884 301,    6 248 964,    5 635 337, 1 921 771,  1 096 380,    825 391,    9 896 841,    5 119 371,    4 777 470,    65 689,    33 213,    32 476,    16.17
海南省,    3 771 352,    1 950 862,    1 820 490,    659 154,    375 266,    283 888,    3 093 147,    1 565 951,    1 527 196,    19 051,    9 645,    9 406,    17.48
四川省,    15 613 413,    8 111 879,    7 501 534,  4 992 324, 2 805 295, 2 187 029,    10 531 874,    5 264 074,    5 267 800,    89 215,    42 510,    46 705,    31.97
贵州省,    4 587 431,    2 375 222,    2 212 209,  1 267 814,    708 250,    559 564,    3 266 128,    1 641 391,    1 624 737,    53 489,    25 581,    27 908,    27.64
云南省,    9 497 680,    4 883 222,    4 614 458,  1 719 330,    987 204,    732 126,    7 758 307,    3 886 042,    3 872 265,    20 043,    9 976,    10 067,    18.10
西藏自治区,    181 333,    95 546,    85 787,    79 234,    43 510,    35 724,    100 697,    51 345,    49 352,    1 402,    691,    711,    43.70
陕西省,  6 872 876,  3 584 944,    3 287 932,  1 678 281,    979 718,    698 563,    5 131 110,    2 573 298,    2 557 812,    63 485,    31 928,31 557,    24.42
甘肃省,  3 185 199,  1 664 959,    1 520 240,  841 410,    480 611,    360 799,    2 321 010,    1 173 660,    1 147 350,    22 779,    10 688,    12 091,    26.42
青海省,    741 848,    388 157,    353 691,  319 899,    169 848,    150 051,    413 065,    214 027,    199 038,    8 884,    4 282,    4 602,    43.12
宁夏回族自治区,    678 970,    351 830,    327 140,  278 659,    150 364,    128 295,    394 315,    198 600,    195 715,    5 996,    2 866,    3 130,    41.04
新疆维吾尔自治区,    1 895 630,    972 594,    923 036,  987 192,    506 022,    481 170,    884 450,    454 528,    429 922,    23 988,    12 044,    11 944,    52.08
