表2-7省自治区直辖市的镇按人口数分组的镇个数,,,,,,,,,,
,,,,,,,,,,
单位：个,,,,,,,,,,
,,,,,,,,,,
,,    10 0000,    50 000-,    30 000-,    20 000-,    10 000-,    5 000--,    3 000-,    3 000,    未批准的
    地区别,    镇数合计,,,,,,,,,
,,    人以上,    99 999人,    49 999人,    29 999人,    19 999人,    9 999人,    4 999人,    人以下,    镇数
总计,    11 999,    87,    1 396,    3 003,    3 096,    3 381,    788,    115,    64,    69
北京市,    77,    1,    6,    9,    32,    23,    6,-,-,-
天津市,    35,-,    6,    13,    7,    7,    2,-,-,-
河北省,    652,-,    27,    131,    238,    240,    15,-,    1,-
山西省,    497,-,    16,    79,    123,    204,    70,    5,-,-
内蒙古自治区,    256,-,    8,    39,    69,    100,    31,    4,    4,    1
辽宁省,    446,    2,    26,    112,    187,    110,    8,    1,-,-
吉林省,    288,    2,    32,    76,    93,    72,    11,    2,-,-
黑龙江省,    388,    6,    43,    78,    143,    87,    21,    7,    3,-
上海市,    46,    1,    6,    15,    13,    4,    5,    2,-,-
江苏省,    568,    4,    90,    234,    162,    61,    14,    2,    1,-
浙江省,    739,    4,    23,    57,    158,    408,    81,    5,    3,-
安徽省,    468,-,    15,    66,    125,    205,    47,    5,    2,    3
福建省,    269,    9,    68,    96,    58,    34,    3,-,    1,-
江西省,    278,    1,    21,    90,    77,    74,    14,    1,-,-
山东省,    856,    15,    214,    398,    182,    42,    5,-,-,-
河南省,    383,-,    145,    175,    46,    12,    2,-,-,    3
湖北省,    783,    3,    139,    341,    176,    108,    10,    5,    1,-
湖南省,    650,-,    22,    106,    204,    247,    28,    11,        5,    27
广东省,    1 298,    31,    287,    390,    293,    246,    37,    5,    6,    3
广西壮族自治区,    329,    4,    89,    133,    57,    42,    4,-,-,-
海南省,    204,-,    6,    19,    58,    88,    30,    1,2,-
四川省,    903,    1,    33,    98,    281,    385,    73,    18,    8,    6
贵州省,    395,-,    4,    16,    34,    208,    119,    12,2,-
云南省,    357,    2,    54,    124,    84,    76,    14,    2,    1,-
西藏自治区,    29,-,-,-,-,    4,    9,    9,    7,-
陕西省,    388,    1,    9,    57,    98,    150,    64,    7,    2,-
甘肃省,    178,-,    3,    33,    53,    67,    20,    1,    1,-
青海省,    59,-,    2,    4,    9,    11,    6,-,    3,    24
宁夏回族自治区,    49,-,-,    5,    10,    24,    6,    3,    1,-
新疆维吾尔自治区,    131,-,    2,    9,    26,    42,    33,    7,    10,    2
