表2-9省自治区直辖市的县(不含县辖镇)按农业户口和非农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,    合计,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    地区别,,,,,,,,,,,,,    户口占
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,    的比例
总计,528 953 454, 272 162 893, 256 790 561,  20 208 012,  13 153 475,  7 054 537,    505 720 806,  257 542 000,    248 178 806,    3 024 636,    1 467 418,    1 557 218,    3.82
北京市,    1 644 084,    825 159,    818 925,    98 473,    66 741,    31 732,    1 522 523,    747 099,    775 424,    23 088,    11 319,    11 769,    5.99
天津市,    2 248 843,    1 131 623,  1 117 220,    89 032,    60 191,    28 841,    2 138 631,    1 061 954,    1 076 677,    21 180,    9 478,    11 702,    3.96
河北省,  33 040 787,  16 794 970,  16 245 817,    734 183,    531 389,    202 794,    32 200 640,    16 211 472,    15 989 168,    105 964,    52 109,    53 855,    2.22
山西省,  11 312 318,    5 833 953,    5 478 365,    336 995,    250 041,    86 954,    10 910 525,    5 551 053,    5 359 472,    64 798,    32 859,    31 939,    2.98
内蒙占自治区,  10 542 366,    5 533 704,    5 008 662,    511 748,    308 743,    203 005,    9 897 954,    5 160 841,    4 737 113,    132 664,    64 120,    68 544,    4.85
辽宁省,  10 458 385,    5 374 912,    5 083 473,    763 069,    474 149,    288 920,    9 615 515,    4 861 238,    4 754 277,    79 801,    39 525,    40 276,    7.30
吉林省,    6 358 019,    3 286 281,    3 071 738,    404 935,    230 836,    174 099,    5 876 948,    3 019 246,    2 857 702,    76 136,    36 199,    39 937,    6.37
黑龙江省,10 129 223,    5 234 208,    4 895 015,    999 654,    536 817,    462 837,    9 017 293,    4 642 346,    4 374 947,    112 276,    55 045,    57 231,    9.87
上海市,    4 213 401,    2 068 658,    2 144 743,    522 246,    309 634,    212 612,    3 659 183,    1 742 976,    1 916 207,    31 972,    16 048,    15 924,    12.39
江苏省,  30 513 937,  15 475 862,  15 038 075,    1 421 782,    898 316,    523 466,    28 760 776,    14 415 728,    14 345 048,    331 379,    161 818,    169 561,    4.66
浙江省,  15 165 681,    7 889 085,    7 276 596,  457 944,    310 795,147 149,    14 617 768,    7 535 304,    7 082 464,    89 969,    42 986,    46 983,    3.02
安徽省,  36 814 055,  19 000 281,  17 813 774,  997 013,    678 016,    318 997,    35 647 569,    18 233 894,    17 413 675,    169 473,    88 371,    81 102,    2.71
福建省,  13 806 100,    7 092 123,    6 713 977,  568 839,    374 658,    194 181,    13 013 566,    6 616 012,    6 397 554,    223 695,    101 453,    122 242,    4.12
江西省,  22 433 407,  11 585 010,  10 848 397,    1 252 753,    810 873,    441 880,    21 042 266,    10 709 797,    10 332 469,    138 388,    64 340,    74 048,    5.58
山东省,  30 100 388,  15 242 199,  14 858 189,823 712,    555 174,    268 538,    28 986 222,    14 550 136,    14 436 086,    290 454,    136 889,    153 565,    2.74
河南省,  54 646 790,  27 850 558,  26 796 232,    1 515 625,1 031 871,    483 754,    52 780 815,    26 647 394,    26 133 421,    350 350,    171 293,    179 057,    2.77
湖北省,  10 577 520,    5 527 527,    5 049 993,    494 904,  344 751,    150 153,    10 064 334,    5 173 444,    4 890 890,    18 282,    9 332,    8 950,    4.68
湖南省,  33 699 024,  17 517 039,  16 181 985,    1 067 003,  718 084,    348 919,    32 564 795,    16 767 134,    15 797 661,    67 226,    31 821,    35 405,    3.17
广东省,    5 301 747,    2 766 859,    2 534 888,    670 992,  419 956,    251 036,    4 598 471,    2 330 887,    2 267 584,    32 284,    16 016,    16 268,    12.66
广西壮族自治区,  22 742 934,  11 897 909,  10 845 025,    950 275,  613 887,    336 388,    21 742 435,    11 258 674,    10 483 761,    50 224,    25 348,    24 876,    4.18
海南省,    1 912 313,    1 008 627,    903 686,    199 181,  120 864,    78 317,    1 687 669,    874 415,    813 254,    25 463,    13 348,    12 115,    10.42
四川省,  71 311 584,  36 901 051,  34 410 533,  2 223 357,  1 514 186,    709 171,    68 827 608,    35 261 539,    33 566 069,    260 619,    125 326,    135 293,    3.12
贵州省,  21 508 642,  11 103 553,  10 405 089,    432 225,    293 419,    138 806,    21 021 654,    10 783 776,    10 237 878,    54 763,    26 358,    28 405,    2.01
云南省,  21 603 156,  11 079 022,  10 524 134,    724 244,    490 989,    233 255,    20 857 113,    10 577 038,    10 280 075,    21 799,    10 995,    10 804,    3.35
西藏自治区,    1 795 539,    886 842,    908 697,    78 755,    48 044,    30 711,    1 713 720,    837 256,    876 464,    3 064,    1 542,    1 522,    4.39
陕西省, 17 923 070,    9 263 993,    8 659 077,    539 816,    370 853,    168 963,    17 274 439,    8 839 355,    8 435 084,    108 815,    53 785,    55 030,    3.01
甘肃省, 13 131 274,    6 772 365,    6 358 909,    291 488,    204 464,    87 024,    12 803 171,    6 550 267,    6 252 904,    36 615,    17 634,    18 981,    2.22
青海省,    2 881 538,    1 484 125,    1 397 413,    279 809,    160 386,    119 423,    2 569 249,    1 307 724,    1 261 525,    32 480,    16 015,    16 465,    9.71
宁夏回族自治区,    2 717 777,    1 386 628,    1 331 149,    98 738,61 435,    37 303,    2 605 652,    1 318 831,    1 286 821,    13 387,    6 362,    7 025,    3.63
新疆维吾尔自治区,    8 419 552,    4 348 767,    4 070 785,    659 222,    363 913,    295 309,    7 702 302,    3 955 170,    3 747 132,    58 028,    29 684,    28 344,    7.83
