表3-10省自治区直辖市的市少数民族人口的文化程度状况(第二种口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    不识字或识字很少,,
,    6岁及6岁以上人口数,,,    大学本科,,,    大学专科,,,    中专,,,,,    地区别,,,,,,,,,,,,
    地区别,,,,,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,    合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    1 102 752,    579 389,    523 363,    2 400 244,    1 302 927,  1 097 317,    2 317 338,    1 219 136,    1 098 202,    997 598,    343 177,    654 421
总计,  7 820 067,    4 028 295,    3 791 772,    265 703,    175 998,    89 705,    283 647,    175 656,    107 991,    452 785,    232 012,    220 773,,,北京市,    55 983,    28 377,    27 606,    91 155,    51 002,    40 153,    60 813,    32 166,    28 647,    19 912,    5 965,    13 947
北京市,    287 416,    149 368,    138 048,    24 918,    15 019,    9 899,    15 685,    8 546,    7 139,    18 950,    8 293,    10 657,,,天津市,    25 069,    12 567,    12 502,    53 114,    28 791,    24 323,    40 783,    21 196,    19 587,    14 144,    3 995,    10 149
天津市,    151 035,    76 134,    74 901,    4 906,    3 007,    1 899,    5 232,    3 092,    2 140,    7 787,    3 486,    4 301,,,河北省,    30 695,    15 519,    15 176,    83 906,    45 409,    38 497,    69 918,    36 457,    33 461,    21 158,    6 760,    14 398
河北省,    231 684,    118 787,    112 897,    5 603,    3 748,    1 855,    8 032,    4 721,    3 311,    12 372,    6 173,    6 199,,,山西省,    7 394,    3 754,    3 640,    20 429,    11 029,    9 400,    15 078,    7 757,    7 321,    4 152,    1 155,    2 997
山西省,    51 997,    26 564,    25 433,    1 223,    847,    376,    1 617,    947,    670,    2 104,    1 075,    1 029,,,内蒙古自治区,    102 745,    50 895,    51 850,    171 410,    90 641,    80 769,    142 500,    68 872,    73 628,    57 693,    21 958,    35 735
内蒙古自治区,    567 083,    282 475,    284 608,    22 171,    13 863,    8 308,    27 970,    15 982,    11 988,    42 594,    20 264,    22 330,,,辽宁省,    156 333,    85 743,    70 590,    459 226,    245 403,    213 823,    330 120,    170 553,    159 567,    90 718,    30 024,    60 694
